question_id,question
dsq000001,Bộ luật Dân sự có điều chỉnh các tranh chấp về đất đai giữa các hộ gia đình không?
dsq000002,Những loại quan hệ nào được coi là quan hệ dân sự và chịu sự điều chỉnh của Bộ luật Dân sự?
dsq000003,"Công ty A ký hợp đồng thuê văn phòng với Công ty B. Sau đó, Công ty A không thanh toán tiền thuê đúng hạn. Hỏi tranh chấp này có thuộc phạm vi điều chỉnh của Bộ luật Dân sự không?"
dsq000004,Thế nào là 'quan hệ dân sự' theo quy định của Bộ luật Dân sự?
dsq000005,Điều 1 của Bộ luật Dân sự quy định về vấn đề gì?
dsq000006,"Ở Việt Nam, quyền của người dân được pháp luật bảo vệ phải không?"
dsq000007,Nhà nước có những trách nhiệm gì đối với quyền dân sự của người dân?
dsq000008,Anh A bị từ chối cấp phép xây dựng nhà dù đã đáp ứng đủ điều kiện. Hỏi hành vi này có vi phạm quy định về quyền dân sự không?
dsq000009,Quyền dân sự được hiểu như thế nào?
dsq000010,Điều 2 Bộ luật Dân sự quy định như thế nào về việc bảo vệ quyền dân sự?
dsq000011,Tôi có thể bị hạn chế quyền tự do ngôn luận nếu phát ngôn của tôi gây ảnh hưởng xấu đến đạo đức xã hội không?
dsq000012,Những lý do nào được pháp luật cho phép để hạn chế quyền của công dân?
dsq000013,Một người bị bắt vì tội trộm cắp tài sản. Việc người này bị hạn chế quyền tự do đi lại có hợp pháp không?
dsq000014,"Thế nào là 'trật tự, an toàn xã hội' trong ngữ cảnh hạn chế quyền dân sự?"
dsq000015,Điều luật quy định quyền dân sự có thể bị hạn chế trong những trường hợp nào?
dsq000016,Một công ty nước ngoài có được hưởng sự bảo vệ quyền tài sản như một công ty Việt Nam không?
dsq000017,Nguyên tắc bình đẳng trong pháp luật dân sự được thể hiện cụ thể như thế nào trong thực tế?
dsq000018,Ông A từ chối cho bà B thuê nhà vì bà là người khuyết tật. Hành vi này có vi phạm pháp luật không?
dsq000019,Thế nào là 'quyền nhân thân' được bảo vệ theo nguyên tắc bình đẳng?
dsq000020,Điều luật quy định về nguyên tắc bình đẳng trong pháp luật dân sự nêu rõ những gì?
dsq000021,Hai bên tự thỏa thuận giá bán nhà thấp hơn giá thị trường thì thỏa thuận đó có được pháp luật công nhận không?
dsq000022,Những yếu tố nào quyết định hiệu lực của một thỏa thuận dân sự?
dsq000023,Ông A ép con trai phải ký hợp đồng cho ông toàn bộ tài sản sau khi con trai kết hôn. Hợp đồng này có hiệu lực không?
dsq000024,Thế nào là 'điều cấm của luật' trong các giao dịch dân sự?
dsq000025,"Điều luật nào quy định về hiệu lực của cam kết, thỏa thuận trong trường hợp không vi phạm điều cấm của luật và không trái đạo đức xã hội?"
dsq000026,"Nếu tôi biết rõ chiếc xe máy mình bán đã bị tai nạn, nhưng lại giấu thông tin này đi thì có vi phạm nguyên tắc của luật dân sự không?"
dsq000027,"Nguyên tắc thiện chí, trung thực trong luật dân sự được thể hiện như thế nào trong các giao dịch hàng ngày?"
dsq000028,"Công ty A biết đối tác đang gặp khó khăn tài chính nhưng vẫn cố tình đòi nợ với lãi suất cao ngất ngưởng, vượt quá thỏa thuận ban đầu. Hành vi này có vi phạm nguyên tắc thiện chí không?"
dsq000029,Thế nào là 'thiện chí' trong thực hiện nghĩa vụ dân sự?
dsq000030,"Điều 3 Bộ Luật Dân sự quy định như thế nào về nguyên tắc thiện chí, trung thực?"
dsq000031,Tôi có được phép xây nhà trên đất của mình nếu việc này gây ảnh hưởng đến hệ thống thoát nước công cộng của khu dân cư không?
dsq000032,"Khi thực hiện các giao dịch dân sự, cần tuân thủ những nguyên tắc nào để đảm bảo không xâm phạm đến lợi ích của người khác?"
dsq000033,Ông A sử dụng quyền sở hữu trí tuệ của mình để sản xuất và bán các sản phẩm gây hại cho sức khỏe người tiêu dùng. Hành vi này có vi phạm pháp luật không?
dsq000034,Thế nào là 'lợi ích công cộng' theo quy định của pháp luật dân sự?
dsq000035,"Cho biết chính xác nội dung quy định về nguyên tắc cơ bản của pháp luật dân sự liên quan đến việc xác lập quyền, nghĩa vụ."
dsq000036,Nếu tôi thuê nhà nhưng không trả tiền đúng hạn thì có phải chịu trách nhiệm không?
dsq000037,"Nếu công ty tôi không giao hàng đúng hẹn cho khách, công ty phải chịu trách nhiệm như thế nào?"
dsq000038,"Ông A vay tiền của bà B nhưng không trả đúng hạn. Sau đó, ông A chết. Con của ông A có phải trả nợ thay cho ông A không?"
dsq000039,Thế nào là 'nghĩa vụ dân sự'?
dsq000040,Điều 3 Bộ Luật Dân Sự quy định như thế nào về trách nhiệm thực hiện nghĩa vụ?
dsq000041,Bộ luật Dân sự có phải là luật chuyên ngành không?
dsq000042,Khi nào thì cần sử dụng đến Bộ luật Dân sự để giải quyết các tranh chấp?
dsq000043,"Công ty A và công ty B ký hợp đồng xây dựng. Trong quá trình thực hiện hợp đồng phát sinh tranh chấp về chất lượng công trình. Vậy, Bộ luật Dân sự có được áp dụng để giải quyết tranh chấp này không?"
dsq000044,Thế nào là 'quan hệ dân sự' được điều chỉnh bởi Bộ luật Dân sự?
dsq000045,Nêu chính xác nội dung quy định về việc áp dụng Bộ luật Dân sự?
dsq000046,"Nếu có một luật khác quy định về hợp đồng trái với nguyên tắc tự do thỏa thuận trong Bộ luật Dân sự, luật đó có được áp dụng không?"
dsq000047,"Khi giải quyết một tranh chấp về thừa kế, tòa án cần ưu tiên áp dụng những quy định nào?"
dsq000048,"Một công ty bất động sản ban hành quy định riêng về việc mua bán căn hộ, có điều khoản hạn chế quyền của người mua. Hỏi, quy định này có hiệu lực không?"
dsq000049,Thế nào là 'nguyên tắc cơ bản của pháp luật dân sự'?
dsq000050,Điều 4 của Bộ luật Dân sự quy định như thế nào về việc áp dụng luật?
dsq000051,"Nếu một vấn đề dân sự đã được quy định rõ trong Luật Đất đai, thì Bộ luật Dân sự có được áp dụng không?"
dsq000052,Khi nào thì Bộ luật Dân sự được ưu tiên áp dụng hơn so với các luật khác liên quan đến các vấn đề dân sự?
dsq000053,"Một hợp đồng mua bán nhà đất có điều khoản vi phạm quyền lợi của người tiêu dùng. Luật Nhà ở có quy định về hợp đồng mua bán nhà đất, nhưng không đề cập đến vấn đề bảo vệ người tiêu dùng. Hỏi, Bộ luật Dân sự có được áp dụng để bảo vệ người tiêu dùng trong trường hợp này không?"
dsq000054,Thế nào là 'luật khác có liên quan' được nhắc đến trong điều luật này?
dsq000055,Điều 4 của Bộ luật Dân sự quy định về vấn đề gì?
dsq000056,"Nếu một điều khoản trong hợp đồng mua bán nhà trái với một hiệp định thương mại mà Việt Nam đã ký, tòa án sẽ theo điều khoản nào?"
dsq000057,Khi nào thì điều ước quốc tế được ưu tiên áp dụng so với Bộ luật Dân sự?
dsq000058,Công ty A kiện công ty B về vi phạm hợp đồng mua bán hàng hóa. Hợp đồng này có điều khoản trái với Công ước Viên về mua bán hàng hóa quốc tế (CISG) mà Việt Nam là thành viên. Tòa án sẽ giải quyết thế nào?
dsq000059,Điều ước quốc tế được hiểu là gì trong điều luật này?
dsq000060,Điều 4 của Bộ luật Dân sự quy định như thế nào về việc áp dụng điều ước quốc tế?
dsq000061,"Nếu một phong tục địa phương chưa được ghi thành văn bản, nhưng mọi người đều tuân theo thì có được xem là tập quán để giải quyết tranh chấp không?"
dsq000062,Làm thế nào để biết một quy tắc ứng xử có được coi là tập quán và được áp dụng trong một vụ việc dân sự cụ thể?
dsq000063,"Ở một vùng quê, người dân có tục lệ khi ly hôn, người vợ không được chia tài sản do chồng tạo ra. Tòa án có được áp dụng tục lệ này khi giải quyết ly hôn không?"
dsq000064,Tập quán trong Bộ luật Dân sự được hiểu như thế nào?
dsq000065,Nêu định nghĩa về tập quán theo Điều 5 của Bộ luật Dân sự.
dsq000066,"Nếu hai bên không có hợp đồng và luật cũng không có điều khoản nào, người ta có được phép dùng phong tục địa phương để giải quyết tranh cãi không?"
dsq000067,Khi nào thì có thể sử dụng tập quán để giải quyết một vấn đề dân sự?
dsq000068,"Tại một vùng quê, người dân có tục lệ khi mua bán trâu bò chỉ cần vỗ tay vào mông con vật là giao dịch thành công, không cần giấy tờ. Nếu có tranh chấp xảy ra, việc mua bán có được công nhận?"
dsq000069,Tập quán trong luật dân sự được hiểu là gì?
dsq000070,Điều kiện để áp dụng tập quán được quy định như thế nào?
dsq000071,"Nếu hai bên không có thỏa thuận, luật không quy định, cũng không có tập quán, tòa án có được dùng luật khác có nội dung gần giống để giải quyết không?"
dsq000072,Khi nào thì việc áp dụng tương tự pháp luật được phép diễn ra?
dsq000073,Ông A vay tiền của ông B nhưng không có thỏa thuận về lãi suất. Luật cũng không có quy định cụ thể về mức lãi suất trong trường hợp này và địa phương cũng không có tập quán về lãi suất. Tòa án có thể áp dụng quy định về lãi suất của một loại hợp đồng vay khác tương tự để giải quyết tranh chấp không?
dsq000074,Thế nào là 'quan hệ dân sự tương tự' để có thể áp dụng pháp luật tương tự?
dsq000075,Điều luật quy định về áp dụng tương tự pháp luật trong Bộ luật Dân sự nói gì?
dsq000076,"Nếu một vấn đề dân sự chưa có luật nào quy định cụ thể, tòa án có thể tự ý giải quyết theo ý mình không?"
dsq000077,Khi nào thì được dùng 'lẽ công bằng' để giải quyết một vụ việc dân sự?
dsq000078,"Một người cho rằng hàng xóm xây nhà quá cao chắn mất ánh sáng nhà mình, nhưng luật không có quy định cụ thể về chiều cao tối đa của nhà ở khu dân cư. Tòa án có thể giải quyết thế nào?"
dsq000079,Thế nào là 'áp dụng tương tự pháp luật'?
dsq000080,Điều 6 Bộ luật Dân sự quy định về vấn đề gì?
dsq000081,"Khi giải quyết tranh chấp hợp đồng, tòa án có cần xem xét đến phong tục địa phương không?"
