corpus_id,content
lbvqlntdc000001,"Điều 1 Phạm vi điều chỉnh
Luật này quy định về nguyên tắc, chính sách bảo vệ quyền lợi người tiêu dùng; quyền và nghĩa vụ của người tiêu dùng; trách nhiệm của tổ chức, cá nhân kinh doanh đối với người tiêu dùng; hoạt động bảo vệ quyền lợi người tiêu dùng của cơ quan, tổ chức; giải quyết tranh chấp giữa người tiêu dùng và tổ chức, cá nhân kinh doanh; quản lý nhà nước về bảo vệ quyền lợi người tiêu dùng."
lbvqlntdc000002,"Luật này quy định về bảo vệ quyền lợi người tiêu dùng, trách nhiệm của tổ chức, cá nhân kinh doanh và quản lý nhà nước."
lbvqlntdc000003,"Điều 2 Đối tượng áp dụng
Người tiêu dùng."
lbvqlntdc000004,Luật này quy định về bảo vệ quyền lợi của người tiêu dùng.
lbvqlntdc000005,"Điều 2 Đối tượng áp dụng
Người tiêu dùng.
Tổ chức, cá nhân kinh doanh.
Mặt trận Tổ quốc Việt Nam; tổ chức chính trị - xã hội.
Tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp (sau đây gọi chung là tổ chức xã hội) tham gia bảo vệ quyền lợi người tiêu dùng.
Cơ quan, tổ chức, cá nhân trong nước và nước ngoài có liên quan đến bảo vệ quyền lợi người tiêu dùng."
lbvqlntdc000006,"Điều 2 Đối tượng áp dụng
Tổ chức, cá nhân kinh doanh."
lbvqlntdc000007,Xác định đối tượng chịu sự điều chỉnh của Luật Bảo vệ quyền lợi người tiêu dùng.
lbvqlntdc000008,"Điều 2 Đối tượng áp dụng
Mặt trận Tổ quốc Việt Nam; tổ chức chính trị - xã hội."
lbvqlntdc000009,Luật này quy định về đối tượng áp dụng là Mặt trận Tổ quốc Việt Nam và các tổ chức chính trị - xã hội.
lbvqlntdc000010,"Điều 2 Đối tượng áp dụng
Tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp (sau đây gọi chung là tổ chức xã hội) tham gia bảo vệ quyền lợi người tiêu dùng."
lbvqlntdc000011,Quy định về đối tượng là các tổ chức xã hội tham gia bảo vệ quyền lợi người tiêu dùng.
lbvqlntdc000012,"Điều 2 Đối tượng áp dụng
Cơ quan, tổ chức, cá nhân trong nước và nước ngoài có liên quan đến bảo vệ quyền lợi người tiêu dùng."
lbvqlntdc000013,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:"
lbvqlntdc000014,Luật định nghĩa các khái niệm liên quan đến bảo vệ quyền lợi người tiêu dùng.
lbvqlntdc000015,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:
Người tiêu dùng là người mua, sử dụng sản phẩm, hàng hóa, dịch vụ cho mục đích tiêu dùng, sinh hoạt của cá nhân, gia đình, cơ quan, tổ chức và không vì mục đích thương mại.
Tổ chức, cá nhân kinh doanh là tổ chức, cá nhân thực hiện liên tục một, một số hoặc tất cả các công đoạn của quá trình từ đầu tư, sản xuất đến tiêu thụ sản phẩm, hàng hóa hoặc cung cấp dịch vụ trên thị trường nhằm mục đích sinh lợi, bao gồm:
Thương nhân theo quy định của Luật Thương mại;
Cá nhân hoạt động thương mại độc lập, thường xuyên, không phải đăng ký kinh doanh.
Thông tin của người tiêu dùng bao gồm thông tin cá nhân của người tiêu dùng, thông tin về quá trình mua, sử dụng sản phẩm, hàng hóa, dịch vụ của người tiêu dùng và thông tin khác liên quan đến giao dịch giữa người tiêu dùng và tổ chức, cá nhân kinh doanh.
Sản phẩm, hàng hóa có khuyết tật là sản phẩm, hàng hóa không bảo đảm an toàn cho người tiêu dùng, có khả năng gây thiệt hại cho tính mạng, sức khỏe, tài sản của người tiêu dùng nhưng chưa phát hiện được khuyết tật tại thời điểm sản phẩm, hàng hóa được cung cấp cho người tiêu dùng mặc dù sản phẩm, hàng hóa đó được sản xuất theo đúng tiêu chuẩn, quy chuẩn kỹ thuật hiện hành, bao gồm:
Sản phẩm, hàng hóa sản xuất hàng loạt có khuyết tật phát sinh từ thiết kế kỹ thuật;
Sản phẩm, hàng hóa đơn lẻ có khuyết tật phát sinh từ quá trình sản xuất, chế biến, vận chuyển, lưu giữ và sử dụng;
Sản phẩm, hàng hóa tiềm ẩn nguy cơ gây mất an toàn trong quá trình sử dụng nhưng không có hướng dẫn, cảnh báo đầy đủ cho người tiêu dùng.
Giao dịch từ xa là giao dịch được thực hiện trên không gian mạng, phương tiện điện tử hoặc phương tiện khác mà người tiêu dùng không được kiểm tra, tiếp xúc trực tiếp với sản phẩm, hàng hóa, dịch vụ trước khi tham gia giao dịch.
Cung cấp dịch vụ liên tục là việc cung cấp dịch vụ có thời hạn từ 03 tháng trở lên hoặc không xác định thời hạn.
Bán hàng trực tiếp là việc tổ chức, cá nhân kinh doanh chủ động tiếp cận người tiêu dùng, giới thiệu sản phẩm, hàng hóa, dịch vụ để bán, cung cấp cho người tiêu dùng, bao gồm các hình thức sau đây:
Bán hàng tận cửa là hoạt động bán sản phẩm, hàng hóa, cung cấp dịch vụ tại nơi ở, nơi làm việc của người tiêu dùng;
Bán hàng đa cấp là hoạt động bán hàng hóa thông qua mạng lưới cá nhân tham gia gồm nhiều cấp, nhiều nhánh, trong đó cá nhân tham gia được hưởng hoa hồng, tiền thưởng và lợi ích kinh tế khác từ kết quả bán hàng hóa của mình và của cá nhân khác trong mạng lưới;
Bán hàng không tại địa điểm giao dịch thường xuyên là hoạt động giới thiệu, bán sản phẩm, hàng hóa, cung cấp dịch vụ tại các địa điểm không phải là địa điểm bán lẻ sản phẩm, hàng hóa cố định, giới thiệu, cung cấp dịch vụ thường xuyên.
Giao dịch đặc thù bao gồm giao dịch từ xa, cung cấp dịch vụ liên tục và bán hàng trực tiếp giữa tổ chức, cá nhân kinh doanh và người tiêu dùng.
Người có ảnh hưởng là chuyên gia, người có uy tín, người được xã hội chú ý trong lĩnh vực, ngành, nghề cụ thể theo quy định của Chính phủ.
Tiêu dùng bền vững là việc sử dụng sản phẩm, hàng hóa, dịch vụ đáp ứng mục đích tiêu dùng, sinh hoạt của cá nhân, gia đình, cơ quan, tổ chức một cách hiệu quả, đồng thời giảm thiểu các tác động tiêu cực về môi trường, kinh tế - xã hội."
lbvqlntdc000016,"Điều 3 Giải thích từ ngữ
Người tiêu dùng là người mua, sử dụng sản phẩm, hàng hóa, dịch vụ cho mục đích tiêu dùng, sinh hoạt của cá nhân, gia đình, cơ quan, tổ chức và không vì mục đích thương mại."
lbvqlntdc000017,Định nghĩa người tiêu dùng trong Luật Bảo vệ quyền lợi người tiêu dùng.
lbvqlntdc000018,"Điều 3 Giải thích từ ngữ
Tổ chức, cá nhân kinh doanh là tổ chức, cá nhân thực hiện liên tục một, một số hoặc tất cả các công đoạn của quá trình từ đầu tư, sản xuất đến tiêu thụ sản phẩm, hàng hóa hoặc cung cấp dịch vụ trên thị trường nhằm mục đích sinh lợi, bao gồm:
Thương nhân theo quy định của Luật Thương mại;"
lbvqlntdc000019,"Định nghĩa về 'tổ chức, cá nhân kinh doanh' trong Luật Bảo vệ quyền lợi người tiêu dùng."
lbvqlntdc000020,"Điều 3 Giải thích từ ngữ
Tổ chức, cá nhân kinh doanh là tổ chức, cá nhân thực hiện liên tục một, một số hoặc tất cả các công đoạn của quá trình từ đầu tư, sản xuất đến tiêu thụ sản phẩm, hàng hóa hoặc cung cấp dịch vụ trên thị trường nhằm mục đích sinh lợi, bao gồm:
Cá nhân hoạt động thương mại độc lập, thường xuyên, không phải đăng ký kinh doanh."
lbvqlntdc000021,"Giải thích về khái niệm 'Tổ chức, cá nhân kinh doanh' trong Luật Bảo vệ quyền lợi người tiêu dùng, bao gồm cả cá nhân kinh doanh không đăng ký."
lbvqlntdc000022,"Điều 3 Giải thích từ ngữ
Thông tin của người tiêu dùng bao gồm thông tin cá nhân của người tiêu dùng, thông tin về quá trình mua, sử dụng sản phẩm, hàng hóa, dịch vụ của người tiêu dùng và thông tin khác liên quan đến giao dịch giữa người tiêu dùng và tổ chức, cá nhân kinh doanh."
lbvqlntdc000023,Định nghĩa về thông tin của người tiêu dùng theo Luật Bảo vệ quyền lợi người tiêu dùng.
lbvqlntdc000024,"Điều 3 Giải thích từ ngữ
Sản phẩm, hàng hóa có khuyết tật là sản phẩm, hàng hóa không bảo đảm an toàn cho người tiêu dùng, có khả năng gây thiệt hại cho tính mạng, sức khỏe, tài sản của người tiêu dùng nhưng chưa phát hiện được khuyết tật tại thời điểm sản phẩm, hàng hóa được cung cấp cho người tiêu dùng mặc dù sản phẩm, hàng hóa đó được sản xuất theo đúng tiêu chuẩn, quy chuẩn kỹ thuật hiện hành, bao gồm:
Sản phẩm, hàng hóa sản xuất hàng loạt có khuyết tật phát sinh từ thiết kế kỹ thuật;"
lbvqlntdc000025,"Định nghĩa sản phẩm, hàng hóa có khuyết tật gây mất an toàn cho người tiêu dùng."
lbvqlntdc000026,"Điều 3 Giải thích từ ngữ
Sản phẩm, hàng hóa có khuyết tật là sản phẩm, hàng hóa không bảo đảm an toàn cho người tiêu dùng, có khả năng gây thiệt hại cho tính mạng, sức khỏe, tài sản của người tiêu dùng nhưng chưa phát hiện được khuyết tật tại thời điểm sản phẩm, hàng hóa được cung cấp cho người tiêu dùng mặc dù sản phẩm, hàng hóa đó được sản xuất theo đúng tiêu chuẩn, quy chuẩn kỹ thuật hiện hành, bao gồm:
Sản phẩm, hàng hóa đơn lẻ có khuyết tật phát sinh từ quá trình sản xuất, chế biến, vận chuyển, lưu giữ và sử dụng;"
lbvqlntdc000027,"Định nghĩa về sản phẩm, hàng hóa có khuyết tật theo Luật Bảo vệ quyền lợi người tiêu dùng."
