question_id,corpus_id
ldq000001,ldc000001
ldq000001,ldc000002
ldq000002,ldc000001
ldq000002,ldc000002
ldq000003,ldc000001
ldq000003,ldc000002
ldq000004,ldc000001
ldq000004,ldc000002
ldq000005,ldc000001
ldq000005,ldc000002
ldq000006,ldc000003
ldq000006,ldc000004
ldq000006,ldc000005
ldq000007,ldc000003
ldq000007,ldc000004
ldq000007,ldc000005
ldq000008,ldc000003
ldq000008,ldc000004
ldq000008,ldc000005
ldq000009,ldc000003
ldq000009,ldc000004
ldq000009,ldc000005
ldq000010,ldc000003
ldq000010,ldc000004
ldq000010,ldc000005
ldq000011,ldc000006
ldq000011,ldc000007
ldq000011,ldc000005
ldq000012,ldc000006
ldq000012,ldc000007
ldq000012,ldc000005
ldq000013,ldc000006
ldq000013,ldc000007
ldq000013,ldc000005
ldq000014,ldc000006
ldq000014,ldc000007
ldq000014,ldc000005
ldq000015,ldc000006
ldq000015,ldc000007
ldq000015,ldc000005
ldq000016,ldc000008
ldq000016,ldc000009
ldq000016,ldc000005
ldq000017,ldc000008
ldq000017,ldc000009
ldq000017,ldc000005
ldq000018,ldc000008
ldq000018,ldc000009
ldq000018,ldc000005
ldq000019,ldc000008
ldq000019,ldc000009
ldq000019,ldc000005
ldq000020,ldc000008
ldq000020,ldc000009
ldq000020,ldc000005
ldq000021,ldc000010
ldq000021,ldc000011
ldq000021,ldc000005
ldq000022,ldc000010
ldq000022,ldc000011
ldq000022,ldc000005
ldq000023,ldc000010
ldq000023,ldc000011
ldq000023,ldc000005
ldq000024,ldc000010
ldq000024,ldc000011
ldq000024,ldc000005
ldq000025,ldc000010
ldq000025,ldc000011
ldq000025,ldc000005
ldq000026,ldc000012
ldq000026,ldc000013
ldq000026,ldc000014
ldq000027,ldc000012
ldq000027,ldc000013
ldq000027,ldc000014
ldq000028,ldc000012
ldq000028,ldc000013
ldq000028,ldc000014
ldq000029,ldc000012
ldq000029,ldc000013
ldq000029,ldc000014
ldq000030,ldc000012
ldq000030,ldc000013
ldq000030,ldc000014
ldq000031,ldc000015
ldq000031,ldc000016
ldq000031,ldc000014
ldq000032,ldc000015
ldq000032,ldc000016
ldq000032,ldc000014
ldq000033,ldc000015
ldq000033,ldc000016
ldq000033,ldc000014
ldq000034,ldc000015
ldq000034,ldc000016
ldq000034,ldc000014
ldq000035,ldc000015
ldq000035,ldc000016
ldq000035,ldc000014
ldq000036,ldc000017
ldq000036,ldc000018
ldq000036,ldc000014
ldq000037,ldc000017
ldq000037,ldc000018
ldq000037,ldc000014
ldq000038,ldc000017
ldq000038,ldc000018
ldq000038,ldc000014
ldq000039,ldc000017
ldq000039,ldc000018
ldq000039,ldc000014
ldq000040,ldc000017
ldq000040,ldc000018
ldq000040,ldc000014
ldq000041,ldc000019
ldq000041,ldc000020
ldq000041,ldc000014
ldq000042,ldc000019
ldq000042,ldc000020
ldq000042,ldc000014
ldq000043,ldc000019
ldq000043,ldc000020
ldq000043,ldc000014
ldq000044,ldc000019
ldq000044,ldc000020
ldq000044,ldc000014
ldq000045,ldc000019
ldq000045,ldc000020
ldq000045,ldc000014
ldq000046,ldc000021
ldq000046,ldc000022
ldq000046,ldc000014
ldq000047,ldc000021
ldq000047,ldc000022
ldq000047,ldc000014
ldq000048,ldc000021
ldq000048,ldc000022
ldq000048,ldc000014
ldq000049,ldc000021
ldq000049,ldc000022
ldq000049,ldc000014
ldq000050,ldc000021
ldq000050,ldc000022
ldq000050,ldc000014
ldq000051,ldc000023
ldq000051,ldc000024
ldq000051,ldc000014
ldq000052,ldc000023
ldq000052,ldc000024
ldq000052,ldc000014
ldq000053,ldc000023
ldq000053,ldc000024
ldq000053,ldc000014
ldq000054,ldc000023
ldq000054,ldc000024
ldq000054,ldc000014
ldq000055,ldc000023
ldq000055,ldc000024
ldq000055,ldc000014
ldq000056,ldc000025
ldq000056,ldc000026
ldq000056,ldc000014
ldq000057,ldc000025
ldq000057,ldc000026
ldq000057,ldc000014
ldq000058,ldc000025
ldq000058,ldc000026
ldq000058,ldc000014
ldq000059,ldc000025
ldq000059,ldc000026
ldq000059,ldc000014
ldq000060,ldc000025
ldq000060,ldc000026
ldq000060,ldc000014
ldq000061,ldc000027
ldq000061,ldc000028
ldq000061,ldc000014
ldq000062,ldc000027
ldq000062,ldc000028
ldq000062,ldc000014
ldq000063,ldc000027
ldq000063,ldc000028
ldq000063,ldc000014
ldq000064,ldc000027
ldq000064,ldc000028
ldq000064,ldc000014
ldq000065,ldc000027
ldq000065,ldc000028
ldq000065,ldc000014
ldq000066,ldc000029
ldq000066,ldc000030
ldq000066,ldc000014
ldq000067,ldc000029
ldq000067,ldc000030
ldq000067,ldc000014
ldq000068,ldc000029
ldq000068,ldc000030
ldq000068,ldc000014
ldq000069,ldc000029
ldq000069,ldc000030
ldq000069,ldc000014
ldq000070,ldc000029
ldq000070,ldc000030
ldq000070,ldc000014
ldq000071,ldc000031
ldq000071,ldc000032
ldq000071,ldc000014
ldq000072,ldc000031
ldq000072,ldc000032
ldq000072,ldc000014
ldq000073,ldc000031
ldq000073,ldc000032
ldq000073,ldc000014
ldq000074,ldc000031
ldq000074,ldc000032
ldq000074,ldc000014
ldq000075,ldc000031
ldq000075,ldc000032
ldq000075,ldc000014
ldq000076,ldc000033
ldq000076,ldc000034
ldq000076,ldc000035
ldq000077,ldc000033
ldq000077,ldc000034
ldq000077,ldc000035
ldq000078,ldc000033
ldq000078,ldc000034
ldq000078,ldc000035
ldq000079,ldc000033
ldq000079,ldc000034
ldq000079,ldc000035
ldq000080,ldc000033
ldq000080,ldc000034
ldq000080,ldc000035
ldq000081,ldc000036
ldq000081,ldc000037
ldq000081,ldc000035
ldq000082,ldc000036
ldq000082,ldc000037
ldq000082,ldc000035
ldq000083,ldc000036
ldq000083,ldc000037
ldq000083,ldc000035
ldq000084,ldc000036
ldq000084,ldc000037
ldq000084,ldc000035
ldq000085,ldc000036
ldq000085,ldc000037
ldq000085,ldc000035
ldq000086,ldc000038
ldq000086,ldc000039
ldq000086,ldc000035
ldq000087,ldc000038
ldq000087,ldc000039
ldq000087,ldc000035
ldq000088,ldc000038
ldq000088,ldc000039
ldq000088,ldc000035
ldq000089,ldc000038
ldq000089,ldc000039
ldq000089,ldc000035
ldq000090,ldc000038
ldq000090,ldc000039
ldq000090,ldc000035
ldq000091,ldc000040
ldq000091,ldc000041
ldq000091,ldc000035
ldq000092,ldc000040
ldq000092,ldc000041
ldq000092,ldc000035
ldq000093,ldc000040
ldq000093,ldc000041
ldq000093,ldc000035
ldq000094,ldc000040
ldq000094,ldc000041
ldq000094,ldc000035
ldq000095,ldc000040
ldq000095,ldc000041
ldq000095,ldc000035
ldq000096,ldc000042
ldq000096,ldc000043
ldq000096,ldc000035
ldq000097,ldc000042
ldq000097,ldc000043
ldq000097,ldc000035
ldq000098,ldc000042
ldq000098,ldc000043
ldq000098,ldc000035
ldq000099,ldc000042
ldq000099,ldc000043
ldq000099,ldc000035
ldq000100,ldc000042
ldq000100,ldc000043
ldq000100,ldc000035
ldq000101,ldc000044
ldq000101,ldc000045
ldq000101,ldc000035
ldq000102,ldc000044
ldq000102,ldc000045
ldq000102,ldc000035
ldq000103,ldc000044
ldq000103,ldc000045
ldq000103,ldc000035
ldq000104,ldc000044
ldq000104,ldc000045
ldq000104,ldc000035
ldq000105,ldc000044
ldq000105,ldc000045
ldq000105,ldc000035
ldq000106,ldc000046
ldq000106,ldc000047
ldq000106,ldc000035
ldq000107,ldc000046
ldq000107,ldc000047
ldq000107,ldc000035
ldq000108,ldc000046
ldq000108,ldc000047
ldq000108,ldc000035
ldq000109,ldc000046
ldq000109,ldc000047
ldq000109,ldc000035
ldq000110,ldc000046
ldq000110,ldc000047
ldq000110,ldc000035
ldq000111,ldc000048
ldq000111,ldc000049
ldq000111,ldc000050
ldq000112,ldc000048
ldq000112,ldc000049
ldq000112,ldc000050
ldq000113,ldc000048
ldq000113,ldc000049
ldq000113,ldc000050
ldq000114,ldc000048
ldq000114,ldc000049
ldq000114,ldc000050
ldq000115,ldc000048
ldq000115,ldc000049
ldq000115,ldc000050
ldq000116,ldc000051
ldq000116,ldc000052
ldq000116,ldc000050
ldq000117,ldc000051
ldq000117,ldc000052
ldq000117,ldc000050
ldq000118,ldc000051
ldq000118,ldc000052
ldq000118,ldc000050
ldq000119,ldc000051
ldq000119,ldc000052
ldq000119,ldc000050
ldq000120,ldc000051
ldq000120,ldc000052
ldq000120,ldc000050
ldq000121,ldc000053
ldq000121,ldc000054
ldq000121,ldc000050
ldq000122,ldc000053
ldq000122,ldc000054
ldq000122,ldc000050
ldq000123,ldc000053
ldq000123,ldc000054
ldq000123,ldc000050
ldq000124,ldc000053
ldq000124,ldc000054
ldq000124,ldc000050
ldq000125,ldc000053
ldq000125,ldc000054
ldq000125,ldc000050
ldq000126,ldc000055
ldq000126,ldc000056
ldq000126,ldc000050
ldq000127,ldc000055
ldq000127,ldc000056
ldq000127,ldc000050
ldq000128,ldc000055
ldq000128,ldc000056
ldq000128,ldc000050
ldq000129,ldc000055
ldq000129,ldc000056
ldq000129,ldc000050
ldq000130,ldc000055
ldq000130,ldc000056
ldq000130,ldc000050
ldq000131,ldc000057
ldq000131,ldc000058
ldq000131,ldc000050
ldq000132,ldc000057
ldq000132,ldc000058
ldq000132,ldc000050
ldq000133,ldc000057
ldq000133,ldc000058
ldq000133,ldc000050
ldq000134,ldc000057
ldq000134,ldc000058
ldq000134,ldc000050
ldq000135,ldc000057
ldq000135,ldc000058
ldq000135,ldc000050
ldq000136,ldc000059
ldq000136,ldc000060
ldq000136,ldc000050
ldq000137,ldc000059
ldq000137,ldc000060
ldq000137,ldc000050
ldq000138,ldc000059
ldq000138,ldc000060
ldq000138,ldc000050
ldq000139,ldc000059
ldq000139,ldc000060
ldq000139,ldc000050
ldq000140,ldc000059
ldq000140,ldc000060
ldq000140,ldc000050
ldq000141,ldc000061
ldq000141,ldc000062
ldq000141,ldc000050
ldq000142,ldc000061
ldq000142,ldc000062
ldq000142,ldc000050
ldq000143,ldc000061
ldq000143,ldc000062
ldq000143,ldc000050
ldq000144,ldc000061
ldq000144,ldc000062
ldq000144,ldc000050
ldq000145,ldc000061
ldq000145,ldc000062
ldq000145,ldc000050
ldq000146,ldc000063
ldq000146,ldc000064
ldq000146,ldc000050
ldq000147,ldc000063
ldq000147,ldc000064
ldq000147,ldc000050
ldq000148,ldc000063
ldq000148,ldc000064
ldq000148,ldc000050
ldq000149,ldc000063
ldq000149,ldc000064
ldq000149,ldc000050
ldq000150,ldc000063
ldq000150,ldc000064
ldq000150,ldc000050
ldq000151,ldc000065
ldq000151,ldc000066
ldq000151,ldc000050
ldq000152,ldc000065
ldq000152,ldc000066
ldq000152,ldc000050
ldq000153,ldc000065
ldq000153,ldc000066
ldq000153,ldc000050
ldq000154,ldc000065
ldq000154,ldc000066
ldq000154,ldc000050
ldq000155,ldc000065
ldq000155,ldc000066
ldq000155,ldc000050
ldq000156,ldc000067
ldq000156,ldc000068
ldq000156,ldc000050
ldq000157,ldc000067
ldq000157,ldc000068
ldq000157,ldc000050
ldq000158,ldc000067
ldq000158,ldc000068
ldq000158,ldc000050
ldq000159,ldc000067
ldq000159,ldc000068
ldq000159,ldc000050
ldq000160,ldc000067
ldq000160,ldc000068
ldq000160,ldc000050
ldq000161,ldc000069
ldq000161,ldc000070
ldq000161,ldc000071
ldq000162,ldc000069
ldq000162,ldc000070
ldq000162,ldc000071
ldq000163,ldc000069
ldq000163,ldc000070
ldq000163,ldc000071
ldq000164,ldc000069
ldq000164,ldc000070
ldq000164,ldc000071
ldq000165,ldc000069
ldq000165,ldc000070
ldq000165,ldc000071
ldq000166,ldc000072
ldq000166,ldc000073
ldq000166,ldc000071
ldq000167,ldc000072
ldq000167,ldc000073
