corpus_id,content
dsc000001,"Điều 1 Phạm vi điều chỉnh
Bộ luật này quy định địa vị pháp lý, chuẩn mực pháp lý về cách ứng xử của cá nhân, pháp nhân; quyền, nghĩa vụ về nhân thân và tài sản của cá nhân, pháp nhân trong các quan hệ được hình thành trên cơ sở bình đẳng, tự do ý chí, độc lập về tài sản và tự chịu trách nhiệm (sau đây gọi chung là quan hệ dân sự)."
dsc000002,Bộ luật dân sự điều chỉnh các quan hệ dân sự giữa cá nhân và pháp nhân.
dsc000003,"Điều 2 Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự
Ở nước Cộng hòa xã hội chủ nghĩa Việt Nam, các quyền dân sự được công nhận, tôn trọng, bảo vệ và bảo đảm theo Hiến pháp và pháp luật."
dsc000004,"Quy định về việc công nhận, tôn trọng, bảo vệ và bảo đảm các quyền dân sự ở Việt Nam."
dsc000005,"Điều 2 Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự
Ở nước Cộng hòa xã hội chủ nghĩa Việt Nam, các quyền dân sự được công nhận, tôn trọng, bảo vệ và bảo đảm theo Hiến pháp và pháp luật.
Quyền dân sự chỉ có thể bị hạn chế theo quy định của luật trong trường hợp cần thiết vì lý do quốc phòng, an ninh quốc gia, trật tự, an toàn xã hội, đạo đức xã hội, sức khỏe của cộng đồng."
dsc000006,"Điều 2 Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự
Quyền dân sự chỉ có thể bị hạn chế theo quy định của luật trong trường hợp cần thiết vì lý do quốc phòng, an ninh quốc gia, trật tự, an toàn xã hội, đạo đức xã hội, sức khỏe của cộng đồng."
dsc000007,"Quy định về việc công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự, đồng thời nêu rõ các trường hợp hạn chế quyền này."
dsc000008,"Điều 3 Các nguyên tắc cơ bản của pháp luật dân sự
Mọi cá nhân, pháp nhân đều bình đẳng, không được lấy bất kỳ lý do nào để phân biệt đối xử; được pháp luật bảo hộ như nhau về các quyền nhân thân và tài sản."
dsc000009,"Quy định về nguyên tắc bình đẳng trong pháp luật dân sự, bảo vệ quyền nhân thân và tài sản."
dsc000010,"Điều 3 Các nguyên tắc cơ bản của pháp luật dân sự
Mọi cá nhân, pháp nhân đều bình đẳng, không được lấy bất kỳ lý do nào để phân biệt đối xử; được pháp luật bảo hộ như nhau về các quyền nhân thân và tài sản.
Cá nhân, pháp nhân xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự của mình trên cơ sở tự do, tự nguyện cam kết, thỏa thuận. Mọi cam kết, thỏa thuận không vi phạm điều cấm của luật, không trái đạo đức xã hội có hiệu lực thực hiện đối với các bên và phải được chủ thể khác tôn trọng.
Cá nhân, pháp nhân phải xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự của mình một cách thiện chí, trung thực.
Việc xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự không được xâm phạm đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác.
Cá nhân, pháp nhân phải tự chịu trách nhiệm về việc không thực hiện hoặc thực hiện không đúng nghĩa vụ dân sự."
dsc000011,"Điều 3 Các nguyên tắc cơ bản của pháp luật dân sự
Cá nhân, pháp nhân xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự của mình trên cơ sở tự do, tự nguyện cam kết, thỏa thuận. Mọi cam kết, thỏa thuận không vi phạm điều cấm của luật, không trái đạo đức xã hội có hiệu lực thực hiện đối với các bên và phải được chủ thể khác tôn trọng."
dsc000012,"Quy định về nguyên tắc tự do, tự nguyện cam kết, thỏa thuận trong luật dân sự"
dsc000013,"Điều 3 Các nguyên tắc cơ bản của pháp luật dân sự
Cá nhân, pháp nhân phải xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự của mình một cách thiện chí, trung thực."
dsc000014,"Quy định về nguyên tắc thiện chí, trung thực trong xác lập và thực hiện quyền, nghĩa vụ dân sự."
dsc000015,"Điều 3 Các nguyên tắc cơ bản của pháp luật dân sự
Việc xác lập, thực hiện, chấm dứt quyền, nghĩa vụ dân sự không được xâm phạm đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác."
dsc000016,"Quy định về việc xác lập, thực hiện quyền dân sự, nghĩa vụ dân sự phải đảm bảo các lợi ích."
dsc000017,"Điều 3 Các nguyên tắc cơ bản của pháp luật dân sự
Cá nhân, pháp nhân phải tự chịu trách nhiệm về việc không thực hiện hoặc thực hiện không đúng nghĩa vụ dân sự."
dsc000018,"Cá nhân, pháp nhân phải tự chịu trách nhiệm về nghĩa vụ dân sự."
dsc000019,"Điều 4 Áp dụng Bộ luật dân sự
Bộ luật này là luật chung điều chỉnh các quan hệ dân sự."
dsc000020,Bộ luật Dân sự là luật chung điều chỉnh các quan hệ dân sự.
dsc000021,"Điều 4 Áp dụng Bộ luật dân sự
Bộ luật này là luật chung điều chỉnh các quan hệ dân sự.
Luật khác có liên quan điều chỉnh quan hệ dân sự trong các lĩnh vực cụ thể không được trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này.
Trường hợp luật khác có liên quan không quy định hoặc có quy định nhưng vi phạm khoản 2 Điều này thì quy định của Bộ luật này được áp dụng.
Trường hợp có sự khác nhau giữa quy định của Bộ luật này và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên về cùng một vấn đề thì áp dụng quy định của điều ước quốc tế."
dsc000022,"Điều 4 Áp dụng Bộ luật dân sự
Luật khác có liên quan điều chỉnh quan hệ dân sự trong các lĩnh vực cụ thể không được trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này."
dsc000023,"Quy định về thứ bậc áp dụng luật trong lĩnh vực dân sự, ưu tiên các nguyên tắc cơ bản."
dsc000024,"Điều 4 Áp dụng Bộ luật dân sự
Trường hợp luật khác có liên quan không quy định hoặc có quy định nhưng vi phạm khoản 2 Điều này thì quy định của Bộ luật này được áp dụng."
dsc000025,Quy định về thứ tự ưu tiên áp dụng Bộ luật Dân sự so với luật khác.
dsc000026,"Điều 4 Áp dụng Bộ luật dân sự
Trường hợp có sự khác nhau giữa quy định của Bộ luật này và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên về cùng một vấn đề thì áp dụng quy định của điều ước quốc tế."
dsc000027,Ưu tiên áp dụng điều ước quốc tế khi có khác biệt với Bộ luật Dân sự.
