question_id,question
latvsldq000001,Luật này có áp dụng cho người lao động làm việc tại nhà máy?
latvsldq000002,Luật này quy định những nội dung chính nào?
latvsldq000003,Một công ty không trang bị đầy đủ thiết bị bảo hộ cho công nhân và để xảy ra tai nạn lao động. Công ty này có vi phạm luật không?
latvsldq000004,Luật này đề cập đến khái niệm 'bệnh nghề nghiệp'. Vậy bệnh nghề nghiệp được hiểu là gì?
latvsldq000005,"Luật này quy định về những vấn đề gì liên quan đến công tác an toàn, vệ sinh lao động?"
latvsldq000006,"Tôi là nhân viên thời vụ không có hợp đồng lao động, vậy Luật An toàn có áp dụng cho tôi không?"
latvsldq000007,Tôi mới vào công ty làm việc và đang trong thời gian thử việc. Vậy tôi cần lưu ý gì về an toàn lao động?
latvsldq000008,"Anh A là sinh viên mới ra trường, đang làm việc tại xưởng sản xuất theo hình thức học việc không lương. Trong quá trình làm việc, anh bị tai nạn lao động. Vậy anh A có được hưởng các chế độ bảo hiểm tai nạn lao động không?"
latvsldq000009,Thế nào là 'người lao động làm việc theo hợp đồng lao động' theo Luật An toàn?
latvsldq000010,"Điều khoản nào trong Luật An toàn quy định về đối tượng là người học nghề, tập nghề?"
latvsldq000011,Một người làm việc theo hợp đồng lao động tại một công ty tư nhân có thuộc đối tượng áp dụng của luật này không?
latvsldq000012,"Tôi là viên chức, vậy Luật An Toàn này ảnh hưởng đến tôi như thế nào trong công việc hàng ngày?"
latvsldq000013,Một chiến sĩ công an tham gia diễn tập bắn súng bị thương do súng bị hỏng. Luật An Toàn có điều chỉnh trường hợp này không?
latvsldq000014,"Trong bối cảnh của Luật An Toàn, 'lực lượng vũ trang nhân dân' bao gồm những ai?"
latvsldq000015,Điều luật nào quy định cụ thể về những ai là đối tượng áp dụng của Luật An Toàn?
latvsldq000016,"Nếu tôi làm việc tự do, không ký hợp đồng với ai thì luật này có bảo vệ tôi không?"
latvsldq000017,"Nếu tôi là người làm thuê tự do, tôi có thể làm gì để đảm bảo an toàn lao động theo luật này?"
latvsldq000018,"Ông T làm nghề bốc vác tự do, bị tai nạn trong khi làm việc do chủ hàng không trang bị bảo hộ. Ông T có được hưởng quyền lợi gì theo luật này không?"
latvsldq000019,Vậy 'người lao động làm việc không theo hợp đồng lao động' được hiểu chính xác là những ai?
latvsldq000020,Điều khoản nào trong luật này xác định rõ đối tượng được bảo vệ?
latvsldq000021,Một người Việt Nam đi du lịch ở nước ngoài có thuộc đối tượng được bảo vệ bởi luật an toàn này không?
latvsldq000022,"Một công ty nước ngoài thuê lao động Việt Nam làm việc tại Việt Nam, luật an toàn này có áp dụng cho công ty đó không?"
latvsldq000023,"Anh A, một kỹ sư người Nhật Bản, làm việc cho một công ty xây dựng Nhật Bản tại TP.HCM. Anh A bị tai nạn lao động do công ty không trang bị đầy đủ thiết bị bảo hộ. Hỏi công ty Nhật Bản này có vi phạm pháp luật Việt Nam không?"
latvsldq000024,Vậy 'người lao động nước ngoài làm việc tại Việt Nam' được hiểu chính xác là những ai?
latvsldq000025,Điều luật nào xác định người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng thuộc đối tượng điều chỉnh của Luật An toàn?
latvsldq000026,Luật an toàn này có áp dụng cho nhân viên làm việc trong công ty không?
latvsldq000027,Một công ty mới thành lập cần làm gì để tuân thủ luật an toàn này?
latvsldq000028,"Ông A là chủ một xưởng sản xuất nhỏ, thuê 5 công nhân. Ông A có phải tuân thủ luật an toàn này không?"
latvsldq000029,Ai được coi là 'người sử dụng lao động' theo luật này?
latvsldq000030,Điều khoản nào trong luật xác định rõ ai là đối tượng chịu sự điều chỉnh của luật này?
latvsldq000031,Luật này có áp dụng cho một bác sĩ đang làm việc trong bệnh viện công lập không?
latvsldq000032,"Làm sao để biết một tổ chức có thuộc đối tượng áp dụng của Luật An toàn, vệ sinh lao động hay không?"
latvsldq000033,"Một công ty chỉ thuê nhân viên làm việc online tại nhà, vậy luật an toàn vệ sinh lao động có áp dụng cho công ty này không?"
latvsldq000034,"Theo luật này, 'người lao động' được hiểu như thế nào?"
latvsldq000035,Điều luật nào xác định những ai thuộc đối tượng áp dụng của luật an toàn?
latvsldq000036,"Khi đọc luật an toàn, nếu gặp một từ ngữ chuyên môn mà không hiểu rõ, tôi có thể tìm định nghĩa của nó trong luật này không?"
latvsldq000037,Làm thế nào để tìm được định nghĩa của một từ ngữ cụ thể trong Luật An toàn?
latvsldq000038,"Trong một vụ tranh chấp về an toàn lao động, hai bên có cách hiểu khác nhau về thuật ngữ 'máy móc nguy hiểm'. Vậy, tòa án sẽ căn cứ vào đâu để đưa ra phán quyết?"
latvsldq000039,Mục đích của việc giải thích từ ngữ trong Luật An toàn là gì?
latvsldq000040,Điều khoản nào trong Luật An toàn quy định về việc giải thích từ ngữ?
latvsldq000041,"Một văn phòng đại diện của công ty nước ngoài có được xem là cơ sở sản xuất, kinh doanh theo luật an toàn không?"
latvsldq000042,"Những loại hình tổ chức nào được xem là 'cơ sở sản xuất, kinh doanh' theo luật an toàn?"
latvsldq000043,Ông A mở một xưởng sửa chữa xe máy tại nhà. Xưởng này có phải tuân thủ các quy định về an toàn lao động không?
latvsldq000044,"Vậy, 'cơ sở sản xuất, kinh doanh' được hiểu chính xác là gì?"
latvsldq000045,"Luật quy định những đối tượng nào được xem là 'cơ sở sản xuất, kinh doanh'?"
latvsldq000046,Công ty trang bị đầy đủ thiết bị bảo hộ nhưng không hướng dẫn sử dụng thì có được coi là đảm bảo an toàn lao động không?
latvsldq000047,"Để đảm bảo an toàn lao động, người sử dụng lao động cần thực hiện những bước cơ bản nào?"
latvsldq000048,"Anh A là công nhân xây dựng, không được trang bị mũ bảo hộ khi làm việc trên cao và bị ngã gây chấn thương sọ não. Ai chịu trách nhiệm?"
latvsldq000049,Thế nào là 'yếu tố nguy hiểm' trong an toàn lao động?
latvsldq000050,Luật quy định như thế nào về mục tiêu của an toàn lao động?
