question_id,question
hsq000001,Bộ luật Hình sự có trách nhiệm bảo vệ quyền của các tổ chức chính trị - xã hội không?
hsq000002,Bộ luật Hình sự góp phần vào việc xây dựng ý thức pháp luật cho người dân như thế nào?
hsq000003,Một nhóm người có hành vi xâm phạm nghiêm trọng đến quyền tự do tín ngưỡng của người khác. Bộ luật Hình sự có vai trò gì trong việc này?
hsq000004,"Theo Điều 1, 'trật tự pháp luật' được Bộ luật Hình sự bảo vệ có nghĩa là gì?"
hsq000005,Điều 1 Bộ luật Hình sự quy định những đối tượng nào cần được bảo vệ?
hsq000006,Bộ luật Hình sự có mục đích hướng dẫn người dân cách phòng tránh vi phạm pháp luật không?
hsq000007,Bộ luật Hình sự giúp cơ quan nhà nước làm gì trong việc xử lý vi phạm pháp luật?
hsq000008,Một người trộm cắp tài sản trị giá 2 triệu đồng. Bộ luật Hình sự có vai trò gì trong việc xử lý hành vi này?
hsq000009,"Theo Bộ luật Hình sự, 'tội phạm' được hiểu như thế nào?"
hsq000010,Điều 1 của Bộ luật Hình sự quy định về vấn đề gì?
hsq000011,Một người có thể bị xử lý hình sự nếu hành vi của họ không được quy định là tội phạm trong Bộ luật Hình sự không?
hsq000012,Làm thế nào để xác định một người có phải chịu trách nhiệm hình sự hay không?
hsq000013,Ông A có hành vi gây rối trật tự công cộng nhưng hành vi này chưa được quy định cụ thể trong Bộ luật Hình sự. Hỏi ông A có bị truy cứu trách nhiệm hình sự không?
hsq000014,Trách nhiệm hình sự là gì?
hsq000015,Điều luật nào quy định về cơ sở của trách nhiệm hình sự?
hsq000016,Một công ty vi phạm hợp đồng kinh tế thì có bị truy cứu trách nhiệm hình sự không?
hsq000017,Khi nào một công ty có thể bị coi là phạm tội theo luật hình sự?
hsq000018,Một doanh nghiệp sản xuất hàng giả bị phát hiện. Hỏi doanh nghiệp này có phải chịu trách nhiệm hình sự không?
hsq000019,Pháp nhân thương mại chịu trách nhiệm hình sự được hiểu như thế nào?
hsq000020,Điều kiện để pháp nhân thương mại phải chịu trách nhiệm hình sự được quy định như thế nào?
hsq000021,Nếu một người phạm tội nhưng chưa bị phát hiện thì có được xử lý không?
hsq000022,Quy trình xử lý người phạm tội cần tuân thủ những nguyên tắc nào?
hsq000023,Một cán bộ điều tra cố tình kéo dài thời gian điều tra vụ án để gây khó khăn cho bị can. Hành vi này có vi phạm nguyên tắc xử lý không?
hsq000024,Thế nào là 'xử lý công minh' đối với người phạm tội?
hsq000025,Điều luật quy định như thế nào về việc xử lý hành vi phạm tội?
hsq000026,"Một người giàu có phạm tội, người này có được hưởng sự khoan hồng hơn so với người nghèo không?"
hsq000027,"Khi xét xử một vụ án hình sự liên quan đến người dân tộc thiểu số, tòa án cần tuân thủ những nguyên tắc nào?"
hsq000028,"Ông A là một cán bộ cấp cao, ông này bị cáo buộc tội tham nhũng. Trong quá trình điều tra, có thông tin cho rằng ông A có nhiều mối quan hệ có thể gây ảnh hưởng đến quá trình tố tụng. Hỏi, việc điều tra và xét xử ông A có gì khác biệt so với người dân bình thường không?"
hsq000029,Thế nào là 'bình đẳng trước pháp luật' trong xử lý người phạm tội?
hsq000030,Điều luật quy định về nguyên tắc bình đẳng trong xử lý người phạm tội được thể hiện như thế nào?
hsq000031,"Nếu một người phạm tội lần đầu nhưng hành vi rất côn đồ, hung hãn thì có được hưởng khoan hồng không?"
hsq000032,Những yếu tố nào được xem xét để giảm nhẹ hình phạt cho người phạm tội?
hsq000033,"Một nhóm người lên kế hoạch cướp ngân hàng, nhưng một thành viên sau đó tự thú và khai hết mọi chuyện. Người này có được hưởng khoan hồng không?"
hsq000034,Thế nào là 'tái phạm nguy hiểm' theo quy định của Bộ luật Hình sự?
hsq000035,Điều luật quy định như thế nào về việc xử lý người phạm tội lợi dụng chức vụ quyền hạn?
hsq000036,"Một người lần đầu trộm cắp vặt, giá trị tài sản không lớn, có chắc chắn bị đi tù không?"
hsq000037,"Khi nào một người phạm tội lần đầu có thể được hưởng sự khoan hồng, không bị phạt tù?"
hsq000038,"Một nhân viên văn phòng lần đầu đánh bạc nhỏ, bị bắt. Luật sư có thể tư vấn gì để người này không bị phạt tù?"
hsq000039,Thế nào là 'tội ít nghiêm trọng' trong trường hợp này?
hsq000040,"Đoạn nào của luật cho phép giao người phạm tội cho gia đình giám sát, giáo dục?"
hsq000041,Người đang thụ án tù có bắt buộc phải lao động không?
hsq000042,Những hoạt động nào người đang chấp hành án phạt tù phải thực hiện?
hsq000043,"Một phạm nhân thường xuyên chống đối, không chịu lao động và học tập, thì có được xem xét giảm án không?"
hsq000044,Thế nào là 'cơ sở giam giữ' theo quy định của pháp luật?
hsq000045,Điều luật quy định về nghĩa vụ của người bị phạt tù?
hsq000046,"Sau khi mãn hạn tù, người phạm tội có được nhà nước giúp đỡ để bắt đầu cuộc sống mới không?"
hsq000047,Người từng có tiền án cần làm gì để được xóa án tích và được coi như chưa từng phạm tội?
hsq000048,"Ông A từng bị kết án về tội cố ý gây thương tích. Sau khi ra tù, ông A rất muốn làm việc tại một công ty nhà nước, nhưng lo ngại về lý lịch tư pháp. Luật có quy định gì về vấn đề này?"
hsq000049,Thế nào là 'xóa án tích' theo quy định của pháp luật hình sự?
