question_id,corpus_id
lhnvgdq000001,lhnvgdc000001
lhnvgdq000001,lhnvgdc000002
lhnvgdq000002,lhnvgdc000001
lhnvgdq000002,lhnvgdc000002
lhnvgdq000003,lhnvgdc000001
lhnvgdq000003,lhnvgdc000002
lhnvgdq000004,lhnvgdc000001
lhnvgdq000004,lhnvgdc000002
lhnvgdq000005,lhnvgdc000001
lhnvgdq000005,lhnvgdc000002
lhnvgdq000006,lhnvgdc000003
lhnvgdq000006,lhnvgdc000004
lhnvgdq000006,lhnvgdc000005
lhnvgdq000007,lhnvgdc000003
lhnvgdq000007,lhnvgdc000004
lhnvgdq000007,lhnvgdc000005
lhnvgdq000008,lhnvgdc000003
lhnvgdq000008,lhnvgdc000004
lhnvgdq000008,lhnvgdc000005
lhnvgdq000009,lhnvgdc000003
lhnvgdq000009,lhnvgdc000004
lhnvgdq000009,lhnvgdc000005
lhnvgdq000010,lhnvgdc000003
lhnvgdq000010,lhnvgdc000004
lhnvgdq000010,lhnvgdc000005
lhnvgdq000011,lhnvgdc000006
lhnvgdq000011,lhnvgdc000007
lhnvgdq000011,lhnvgdc000005
lhnvgdq000012,lhnvgdc000006
lhnvgdq000012,lhnvgdc000007
lhnvgdq000012,lhnvgdc000005
lhnvgdq000013,lhnvgdc000006
lhnvgdq000013,lhnvgdc000007
lhnvgdq000013,lhnvgdc000005
lhnvgdq000014,lhnvgdc000006
lhnvgdq000014,lhnvgdc000007
lhnvgdq000014,lhnvgdc000005
lhnvgdq000015,lhnvgdc000006
lhnvgdq000015,lhnvgdc000007
lhnvgdq000015,lhnvgdc000005
lhnvgdq000016,lhnvgdc000008
lhnvgdq000016,lhnvgdc000009
lhnvgdq000016,lhnvgdc000005
lhnvgdq000017,lhnvgdc000008
lhnvgdq000017,lhnvgdc000009
lhnvgdq000017,lhnvgdc000005
lhnvgdq000018,lhnvgdc000008
lhnvgdq000018,lhnvgdc000009
lhnvgdq000018,lhnvgdc000005
lhnvgdq000019,lhnvgdc000008
lhnvgdq000019,lhnvgdc000009
lhnvgdq000019,lhnvgdc000005
lhnvgdq000020,lhnvgdc000008
lhnvgdq000020,lhnvgdc000009
