question_id,corpus_id
lbhxhq000001,lbhxhc000001
lbhxhq000001,lbhxhc000002
lbhxhq000002,lbhxhc000001
lbhxhq000002,lbhxhc000002
lbhxhq000003,lbhxhc000001
lbhxhq000003,lbhxhc000002
lbhxhq000004,lbhxhc000001
lbhxhq000004,lbhxhc000002
lbhxhq000005,lbhxhc000001
lbhxhq000005,lbhxhc000002
lbhxhq000006,lbhxhc000003
lbhxhq000006,lbhxhc000004
lbhxhq000006,lbhxhc000005
lbhxhq000007,lbhxhc000003
lbhxhq000007,lbhxhc000004
lbhxhq000007,lbhxhc000005
lbhxhq000008,lbhxhc000003
lbhxhq000008,lbhxhc000004
lbhxhq000008,lbhxhc000005
lbhxhq000009,lbhxhc000003
lbhxhq000009,lbhxhc000004
lbhxhq000009,lbhxhc000005
lbhxhq000010,lbhxhc000003
lbhxhq000010,lbhxhc000004
lbhxhq000010,lbhxhc000005
lbhxhq000011,lbhxhc000006
lbhxhq000011,lbhxhc000007
lbhxhq000011,lbhxhc000005
lbhxhq000012,lbhxhc000006
lbhxhq000012,lbhxhc000007
lbhxhq000012,lbhxhc000005
lbhxhq000013,lbhxhc000006
lbhxhq000013,lbhxhc000007
lbhxhq000013,lbhxhc000005
lbhxhq000014,lbhxhc000006
lbhxhq000014,lbhxhc000007
lbhxhq000014,lbhxhc000005
lbhxhq000015,lbhxhc000006
lbhxhq000015,lbhxhc000007
lbhxhq000015,lbhxhc000005
lbhxhq000016,lbhxhc000008
lbhxhq000016,lbhxhc000009
lbhxhq000016,lbhxhc000005
lbhxhq000017,lbhxhc000008
lbhxhq000017,lbhxhc000009
lbhxhq000017,lbhxhc000005
lbhxhq000018,lbhxhc000008
lbhxhq000018,lbhxhc000009
lbhxhq000018,lbhxhc000005
lbhxhq000019,lbhxhc000008
lbhxhq000019,lbhxhc000009
lbhxhq000019,lbhxhc000005
lbhxhq000020,lbhxhc000008
lbhxhq000020,lbhxhc000009
lbhxhq000020,lbhxhc000005
lbhxhq000021,lbhxhc000010
lbhxhq000021,lbhxhc000011
lbhxhq000021,lbhxhc000005
lbhxhq000022,lbhxhc000010
lbhxhq000022,lbhxhc000011
lbhxhq000022,lbhxhc000005
lbhxhq000023,lbhxhc000010
lbhxhq000023,lbhxhc000011
lbhxhq000023,lbhxhc000005
lbhxhq000024,lbhxhc000010
lbhxhq000024,lbhxhc000011
lbhxhq000024,lbhxhc000005
lbhxhq000025,lbhxhc000010
lbhxhq000025,lbhxhc000011
lbhxhq000025,lbhxhc000005
lbhxhq000026,lbhxhc000012
lbhxhq000026,lbhxhc000013
lbhxhq000026,lbhxhc000005
lbhxhq000027,lbhxhc000012
lbhxhq000027,lbhxhc000013
lbhxhq000027,lbhxhc000005
lbhxhq000028,lbhxhc000012
lbhxhq000028,lbhxhc000013
lbhxhq000028,lbhxhc000005
lbhxhq000029,lbhxhc000012
lbhxhq000029,lbhxhc000013
lbhxhq000029,lbhxhc000005
lbhxhq000030,lbhxhc000012
lbhxhq000030,lbhxhc000013
lbhxhq000030,lbhxhc000005
lbhxhq000031,lbhxhc000014
lbhxhq000031,lbhxhc000015
lbhxhq000031,lbhxhc000005
lbhxhq000032,lbhxhc000014
lbhxhq000032,lbhxhc000015
lbhxhq000032,lbhxhc000005
lbhxhq000033,lbhxhc000014
lbhxhq000033,lbhxhc000015
lbhxhq000033,lbhxhc000005
lbhxhq000034,lbhxhc000014
lbhxhq000034,lbhxhc000015
lbhxhq000034,lbhxhc000005
lbhxhq000035,lbhxhc000014
lbhxhq000035,lbhxhc000015
lbhxhq000035,lbhxhc000005
lbhxhq000036,lbhxhc000016
lbhxhq000036,lbhxhc000017
lbhxhq000036,lbhxhc000005
lbhxhq000037,lbhxhc000016
lbhxhq000037,lbhxhc000017
lbhxhq000037,lbhxhc000005
lbhxhq000038,lbhxhc000016
lbhxhq000038,lbhxhc000017
lbhxhq000038,lbhxhc000005
lbhxhq000039,lbhxhc000016
lbhxhq000039,lbhxhc000017
lbhxhq000039,lbhxhc000005
lbhxhq000040,lbhxhc000016
lbhxhq000040,lbhxhc000017
lbhxhq000040,lbhxhc000005
lbhxhq000041,lbhxhc000018
lbhxhq000041,lbhxhc000019
lbhxhq000041,lbhxhc000005
lbhxhq000042,lbhxhc000018
lbhxhq000042,lbhxhc000019
