corpus_id,content
ldc000001,"Điều 1 Phạm vi điều chỉnh
Bộ luật Lao động quy định tiêu chuẩn lao động; quyền, nghĩa vụ, trách nhiệm của người lao động, người sử dụng lao động, tổ chức đại diện người lao động tại cơ sở, tổ chức đại diện người sử dụng lao động trong quan hệ lao động và các quan hệ khác liên quan trực tiếp đến quan hệ lao động; quản lý nhà nước về lao động."
ldc000002,"Bộ luật Lao động điều chỉnh tiêu chuẩn lao động, quyền, nghĩa vụ và trách nhiệm của các bên liên quan trong quan hệ lao động."
ldc000003,"Điều 2 Đối tượng áp dụng
Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động."
ldc000004,Quy định về các đối tượng chịu sự điều chỉnh của Bộ luật Lao động.
ldc000005,"Điều 2 Đối tượng áp dụng
Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động.
Người sử dụng lao động.
Người lao động nước ngoài làm việc tại Việt Nam.
Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động."
ldc000006,"Điều 2 Đối tượng áp dụng
Người sử dụng lao động."
ldc000007,Xác định đối tượng chịu sự điều chỉnh của Bộ luật Lao động là người sử dụng lao động.
ldc000008,"Điều 2 Đối tượng áp dụng
Người lao động nước ngoài làm việc tại Việt Nam."
ldc000009,Đối tượng áp dụng của Bộ luật Lao động bao gồm người lao động nước ngoài làm việc tại Việt Nam.
ldc000010,"Điều 2 Đối tượng áp dụng
Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động."
ldc000011,Quy định về đối tượng chịu sự điều chỉnh của Bộ luật Lao động.
ldc000012,"Điều 3 Giải thích từ ngữ
Trong Bộ luật này, các từ ngữ dưới đây được hiểu như sau:"
ldc000013,Giải thích các thuật ngữ được sử dụng trong Bộ luật Lao động.
