question_id,question
lvlq000001,Luật này có điều chỉnh các vấn đề liên quan đến hợp đồng lao động giữa người lao động và người sử dụng lao động không?
lvlq000002,"Tôi muốn tìm hiểu về các trung tâm giới thiệu việc làm được nhà nước công nhận, tôi có thể tìm thông tin này ở đâu?"
lvlq000003,"Ông A, sau khi bị mất việc, muốn tìm hiểu về quyền lợi bảo hiểm thất nghiệp của mình. Luật Việc làm có giúp ông A không?"
lvlq000004,Vậy 'thông tin thị trường lao động' được đề cập trong luật này là gì?
lvlq000005,Luật này đề cập đến những nội dung chính nào liên quan đến hoạt động dịch vụ việc làm?
lvlq000006,Một người đang tìm kiếm việc làm có thuộc đối tượng được Luật Việc làm bảo vệ không?
lvlq000007,Những ai cụ thể phải tuân theo Luật Việc làm này?
lvlq000008,Một công ty dịch vụ việc làm tư nhân có phải tuân thủ Luật Việc làm không?
lvlq000009,Vậy 'người có liên quan đến việc làm' được hiểu như thế nào?
lvlq000010,Luật Việc làm quy định về đối tượng áp dụng ở đâu?
lvlq000011,Luật này có giải thích nghĩa của các từ ngữ chuyên môn không?
lvlq000012,Tôi có thể tìm định nghĩa chính thức của các thuật ngữ chuyên ngành về việc làm ở đâu?
lvlq000013,"Trong hợp đồng lao động, công ty sử dụng một thuật ngữ mà tôi không hiểu. Tôi có thể dùng Luật Việc làm để làm rõ nghĩa của từ này không?"
lvlq000014,Mục đích của việc giải thích từ ngữ trong Luật Việc làm là gì?
lvlq000015,Điều khoản nào trong Luật Việc làm quy định về việc giải thích các từ ngữ?
lvlq000016,Một người 14 tuổi muốn đi làm thêm để kiếm tiền có được coi là người lao động theo luật không?
lvlq000017,Những yếu tố nào quyết định một người có được coi là 'người lao động' theo Luật Việc làm?
lvlq000018,"Ông A, 60 tuổi, còn sức khỏe tốt và muốn tiếp tục làm việc sau khi nghỉ hưu. Ông A có được coi là người lao động theo Luật Việc làm không?"
lvlq000019,Thế nào là 'khả năng lao động' theo Luật Việc làm?
lvlq000020,Luật Việc làm quy định độ tuổi tối thiểu của người lao động là bao nhiêu?
lvlq000021,"Tôi bán hàng online các sản phẩm thủ công tự làm tại nhà, tạo ra thu nhập. Hoạt động này có được coi là 'việc làm' theo luật không?"
lvlq000022,Làm thế nào để biết một hoạt động lao động có được coi là 'việc làm' hợp pháp?
lvlq000023,"Anh A làm nghề 'xe ôm'. Tuy nhiên, anh thường xuyên chở hàng lậu. Vậy hoạt động 'xe ôm' của anh A có được coi là 'việc làm' không?"
lvlq000024,Thế nào là một 'việc làm' theo quy định của pháp luật?
lvlq000025,Luật Việc làm định nghĩa về 'việc làm' như thế nào?
lvlq000026,"Một công ty tự đặt ra tiêu chuẩn riêng cho nhân viên, không theo tiêu chuẩn kỹ năng nghề quốc gia, có được không?"
lvlq000027,Tôi muốn biết tiêu chuẩn kỹ năng nghề quốc gia cho nghề đầu bếp thì tìm ở đâu?
lvlq000028,"Anh A có chứng chỉ kỹ năng nghề quốc gia bậc 3 về sửa chữa ô tô. Tuy nhiên, khi vào làm tại xưởng B, anh không đáp ứng được yêu cầu công việc. Xưởng B có quyền chấm dứt hợp đồng với anh A không?"
lvlq000029,"Hiểu một cách đơn giản, 'tiêu chuẩn kỹ năng nghề quốc gia' là gì?"
lvlq000030,Luật Việc làm định nghĩa về tiêu chuẩn kỹ năng nghề quốc gia như thế nào?
lvlq000031,Nếu tôi tự ý nghỉ việc thì có được hưởng bảo hiểm thất nghiệp không?
lvlq000032,Bảo hiểm thất nghiệp giúp người lao động những gì?
lvlq000033,Anh A bị công ty sa thải vì lý do không đủ năng lực. Anh A có được hưởng bảo hiểm thất nghiệp không?
lvlq000034,Quỹ bảo hiểm thất nghiệp là gì?
lvlq000035,Định nghĩa về bảo hiểm thất nghiệp được quy định ở đâu trong Luật Việc làm?
lvlq000036,Một dự án xây dựng đường giao thông nông thôn do doanh nghiệp tư nhân tài trợ có được coi là 'việc làm công' không?
lvlq000037,Những dự án nào thường tạo ra 'việc làm công' ở địa phương?
lvlq000038,Ông A được thuê làm việc trong dự án cải tạo kênh mương của xã với mức lương 3 triệu/tháng. Hỏi đây có phải là 'việc làm công' và ông A có quyền lợi gì?
lvlq000039,Bản chất pháp lý của 'việc làm công' là gì?
lvlq000040,Luật Việc làm định nghĩa 'việc làm công' như thế nào?
lvlq000041,Tôi có quyền tự do chọn công việc và địa điểm làm việc không?
lvlq000042,"Tôi muốn thay đổi công việc hiện tại, tôi cần lưu ý điều gì để đảm bảo quyền lợi của mình?"
lvlq000043,Anh A bị công ty ép làm việc tại một chi nhánh ở tỉnh khác mà anh không muốn. Công ty nói rằng nếu không đi sẽ bị sa thải. Hành động này của công ty có đúng luật không?
lvlq000044,Thế nào là 'quyền làm việc' được nhắc đến trong luật?
lvlq000045,Luật Việc làm quy định như thế nào về quyền lựa chọn việc làm?
lvlq000046,"Một công ty chỉ tuyển nam giới cho vị trí kỹ sư điện, với lý do 'nam giới khỏe hơn', điều này có vi phạm nguyên tắc của Luật Việc làm không?"
lvlq000047,"Nếu tôi cảm thấy mình bị phân biệt đối xử trong quá trình tìm việc, tôi có thể làm gì?"
lvlq000048,"Một trung tâm giới thiệu việc làm ưu tiên giới thiệu người có hộ khẩu thành phố cho các công việc văn phòng, còn người từ tỉnh khác thì giới thiệu làm công nhân. Việc này có đúng luật không?"
lvlq000049,Thế nào là 'bình đẳng về cơ hội việc làm'?
lvlq000050,Luật Việc làm quy định như thế nào về bình đẳng?
lvlq000051,"Tôi làm việc trong môi trường độc hại nhưng công ty không trang bị đồ bảo hộ đầy đủ, điều này có đúng luật không?"
lvlq000052,"Nếu tôi thấy công ty không đảm bảo an toàn lao động, tôi có thể làm gì?"
lvlq000053,"Anh A là công nhân xây dựng, làm việc trên cao nhưng không được trang bị dây an toàn. Một ngày, anh bị ngã và bị thương nặng. Ai sẽ chịu trách nhiệm?"
lvlq000054,Thế nào là 'an toàn lao động' theo quy định của pháp luật?
lvlq000055,Luật nào quy định về việc đảm bảo an toàn lao động và vệ sinh lao động cho người lao động?
lvlq000056,Nhà nước có vai trò gì trong việc tạo ra công ăn việc làm cho người dân?
lvlq000057,Nhà nước sử dụng những biện pháp nào để hỗ trợ tạo việc làm?
lvlq000058,"Một khu công nghiệp mới được xây dựng, chính quyền địa phương quảng bá rằng việc này sẽ giúp 'giải quyết việc làm'. Điều này có phù hợp với luật không?"
lvlq000059,Chính sách của Nhà nước về việc làm thực chất là gì?
lvlq000060,Luật Việc làm có quy định cụ thể Nhà nước phải 'bố trí nguồn lực' như thế nào cho việc tạo việc làm không?
lvlq000061,"Nếu tôi mở một xưởng sản xuất nhỏ, trả lương cho công nhân thấp hơn mức lương tối thiểu thì có được hưởng chính sách khuyến khích của nhà nước không?"
lvlq000062,"Tôi muốn thành lập một công ty chuyên cung cấp dịch vụ việc làm, vậy tôi cần đáp ứng những điều kiện gì để được hưởng các chính sách ưu đãi của nhà nước?"
lvlq000063,Anh A mở một quán ăn nhỏ và thuê 3 nhân viên phục vụ với mức lương thỏa thuận là 3 triệu đồng/tháng (thấp hơn mức lương tối thiểu vùng). Anh A có vi phạm quy định về chính sách việc làm không?
lvlq000064,Vậy 'mức lương tối thiểu' trong điều luật này được hiểu là như thế nào?
lvlq000065,"Điều luật này quy định như thế nào về việc khuyến khích các tổ chức, cá nhân tự tạo việc làm?"
lvlq000066,Nhà nước có trách nhiệm hỗ trợ người dân tìm kiếm việc làm không?
lvlq000067,Nhà nước thực hiện những biện pháp cụ thể nào để hỗ trợ tạo việc làm?
lvlq000068,Anh A bị mất việc do công ty phá sản. Anh A có thể nhận được sự hỗ trợ gì từ Nhà nước?
lvlq000069,Thế nào là 'thị trường lao động' theo luật?
lvlq000070,Điều khoản nào trong Luật Việc làm đề cập đến chính sách bảo hiểm thất nghiệp?
lvlq000071,Người lao động có bắt buộc phải có chứng chỉ kỹ năng nghề quốc gia để được làm việc không?
lvlq000072,Làm thế nào để có được chứng chỉ kỹ năng nghề quốc gia?
lvlq000073,Anh A có kinh nghiệm 10 năm trong nghề sửa chữa ô tô nhưng không có bằng cấp. Anh có thể được cấp chứng chỉ kỹ năng nghề quốc gia không?
lvlq000074,Chứng chỉ kỹ năng nghề quốc gia là gì?
lvlq000075,Điều luật nào trong Luật Việc làm đề cập đến việc cấp chứng chỉ kỹ năng nghề?
lvlq000076,Một công ty sản xuất phần mềm có được hưởng ưu đãi từ nhà nước vì sử dụng nhiều kỹ sư giỏi không?
lvlq000077,Làm sao để biết ngành nghề của mình có thuộc diện được nhà nước ưu đãi theo luật việc làm?
lvlq000078,"Một xưởng may sử dụng hàng trăm công nhân nhưng chủ yếu là lao động phổ thông, vậy xưởng này có được hưởng ưu đãi gì không?"
lvlq000079,Thế nào là 'lao động có trình độ chuyên môn kỹ thuật cao'?
lvlq000080,Luật Việc làm quy định như thế nào về chính sách ưu đãi của nhà nước đối với các ngành nghề?
lvlq000081,Công ty tôi tuyển nhiều lao động nữ thì có được nhà nước hỗ trợ gì không?
lvlq000082,"Để được hưởng hỗ trợ khi sử dụng nhiều lao động là người dân tộc thiểu số, doanh nghiệp cần đáp ứng những điều kiện gì?"
lvlq000083,Một xưởng may sử dụng 80% lao động là người khuyết tật nhưng lại trả lương thấp hơn mức lương tối thiểu vùng. Xưởng này có được hưởng chính sách hỗ trợ không?
lvlq000084,Thế nào là 'lao động là người dân tộc thiểu số' trong chính sách hỗ trợ việc làm?
lvlq000085,Luật Việc làm quy định như thế nào về hỗ trợ người sử dụng lao động sử dụng nhiều lao động yếu thế?
