question_id,corpus_id
dsq000001,dsc000001
dsq000001,dsc000002
dsq000002,dsc000001
dsq000002,dsc000002
dsq000003,dsc000001
dsq000003,dsc000002
dsq000004,dsc000001
dsq000004,dsc000002
dsq000005,dsc000001
dsq000005,dsc000002
dsq000006,dsc000003
dsq000006,dsc000004
dsq000006,dsc000005
dsq000007,dsc000003
dsq000007,dsc000004
dsq000007,dsc000005
dsq000008,dsc000003
dsq000008,dsc000004
dsq000008,dsc000005
dsq000009,dsc000003
dsq000009,dsc000004
dsq000009,dsc000005
dsq000010,dsc000003
dsq000010,dsc000004
dsq000010,dsc000005
dsq000011,dsc000006
dsq000011,dsc000007
dsq000011,dsc000005
dsq000012,dsc000006
dsq000012,dsc000007
dsq000012,dsc000005
dsq000013,dsc000006
dsq000013,dsc000007
dsq000013,dsc000005
dsq000014,dsc000006
dsq000014,dsc000007
dsq000014,dsc000005
dsq000015,dsc000006
dsq000015,dsc000007
dsq000015,dsc000005
dsq000016,dsc000008
dsq000016,dsc000009
dsq000016,dsc000010
dsq000017,dsc000008
dsq000017,dsc000009
dsq000017,dsc000010
dsq000018,dsc000008
dsq000018,dsc000009
dsq000018,dsc000010
dsq000019,dsc000008
dsq000019,dsc000009
dsq000019,dsc000010
dsq000020,dsc000008
dsq000020,dsc000009
dsq000020,dsc000010
dsq000021,dsc000011
dsq000021,dsc000012
dsq000021,dsc000010
dsq000022,dsc000011
dsq000022,dsc000012
dsq000022,dsc000010
dsq000023,dsc000011
dsq000023,dsc000012
dsq000023,dsc000010
dsq000024,dsc000011
dsq000024,dsc000012
dsq000024,dsc000010
dsq000025,dsc000011
dsq000025,dsc000012
dsq000025,dsc000010
dsq000026,dsc000013
dsq000026,dsc000014
dsq000026,dsc000010
dsq000027,dsc000013
dsq000027,dsc000014
dsq000027,dsc000010
dsq000028,dsc000013
dsq000028,dsc000014
dsq000028,dsc000010
dsq000029,dsc000013
dsq000029,dsc000014
dsq000029,dsc000010
dsq000030,dsc000013
dsq000030,dsc000014
dsq000030,dsc000010
dsq000031,dsc000015
dsq000031,dsc000016
dsq000031,dsc000010
dsq000032,dsc000015
dsq000032,dsc000016
dsq000032,dsc000010
dsq000033,dsc000015
dsq000033,dsc000016
dsq000033,dsc000010
dsq000034,dsc000015
dsq000034,dsc000016
dsq000034,dsc000010
dsq000035,dsc000015
dsq000035,dsc000016
dsq000035,dsc000010
dsq000036,dsc000017
dsq000036,dsc000018
dsq000036,dsc000010
dsq000037,dsc000017
dsq000037,dsc000018
dsq000037,dsc000010
dsq000038,dsc000017
dsq000038,dsc000018
dsq000038,dsc000010
dsq000039,dsc000017
dsq000039,dsc000018
dsq000039,dsc000010
dsq000040,dsc000017
dsq000040,dsc000018
dsq000040,dsc000010
dsq000041,dsc000019
dsq000041,dsc000020
dsq000041,dsc000021
dsq000042,dsc000019
dsq000042,dsc000020
dsq000042,dsc000021
dsq000043,dsc000019
dsq000043,dsc000020
dsq000043,dsc000021
dsq000044,dsc000019
dsq000044,dsc000020
dsq000044,dsc000021
dsq000045,dsc000019
dsq000045,dsc000020
dsq000045,dsc000021
dsq000046,dsc000022
dsq000046,dsc000023
dsq000046,dsc000021
dsq000047,dsc000022
dsq000047,dsc000023
dsq000047,dsc000021
dsq000048,dsc000022
dsq000048,dsc000023
dsq000048,dsc000021
dsq000049,dsc000022
dsq000049,dsc000023
dsq000049,dsc000021
dsq000050,dsc000022
dsq000050,dsc000023
dsq000050,dsc000021
dsq000051,dsc000024
dsq000051,dsc000025
dsq000051,dsc000021
dsq000052,dsc000024
dsq000052,dsc000025
dsq000052,dsc000021
dsq000053,dsc000024
dsq000053,dsc000025
dsq000053,dsc000021
dsq000054,dsc000024
dsq000054,dsc000025
dsq000054,dsc000021
dsq000055,dsc000024
dsq000055,dsc000025
dsq000055,dsc000021
dsq000056,dsc000026
dsq000056,dsc000027
dsq000056,dsc000021
dsq000057,dsc000026
dsq000057,dsc000027
dsq000057,dsc000021
dsq000058,dsc000026
dsq000058,dsc000027
dsq000058,dsc000021
dsq000059,dsc000026
dsq000059,dsc000027
dsq000059,dsc000021
dsq000060,dsc000026
dsq000060,dsc000027
dsq000060,dsc000021
dsq000061,dsc000028
dsq000061,dsc000029
dsq000061,dsc000030
dsq000062,dsc000028
dsq000062,dsc000029
dsq000062,dsc000030
dsq000063,dsc000028
dsq000063,dsc000029
dsq000063,dsc000030
dsq000064,dsc000028
dsq000064,dsc000029
dsq000064,dsc000030
dsq000065,dsc000028
dsq000065,dsc000029
dsq000065,dsc000030
dsq000066,dsc000031
dsq000066,dsc000032
dsq000066,dsc000030
dsq000067,dsc000031
dsq000067,dsc000032
dsq000067,dsc000030
dsq000068,dsc000031
dsq000068,dsc000032
dsq000068,dsc000030
dsq000069,dsc000031
dsq000069,dsc000032
dsq000069,dsc000030
dsq000070,dsc000031
dsq000070,dsc000032
dsq000070,dsc000030
dsq000071,dsc000033
dsq000071,dsc000034
dsq000071,dsc000035
dsq000072,dsc000033
dsq000072,dsc000034
dsq000072,dsc000035
dsq000073,dsc000033
dsq000073,dsc000034
dsq000073,dsc000035
dsq000074,dsc000033
dsq000074,dsc000034
dsq000074,dsc000035
dsq000075,dsc000033
dsq000075,dsc000034
dsq000075,dsc000035
dsq000076,dsc000036
dsq000076,dsc000037
dsq000076,dsc000035
dsq000077,dsc000036
dsq000077,dsc000037
dsq000077,dsc000035
dsq000078,dsc000036
dsq000078,dsc000037
dsq000078,dsc000035
dsq000079,dsc000036
dsq000079,dsc000037
dsq000079,dsc000035
dsq000080,dsc000036
dsq000080,dsc000037
dsq000080,dsc000035
dsq000081,dsc000038
dsq000081,dsc000039
dsq000081,dsc000040
dsq000082,dsc000038
dsq000082,dsc000039
dsq000082,dsc000040
dsq000083,dsc000038
dsq000083,dsc000039
dsq000083,dsc000040
dsq000084,dsc000038
dsq000084,dsc000039
dsq000084,dsc000040
dsq000085,dsc000038
dsq000085,dsc000039
dsq000085,dsc000040
dsq000086,dsc000041
dsq000086,dsc000042
dsq000086,dsc000040
dsq000087,dsc000041
dsq000087,dsc000042
dsq000087,dsc000040
dsq000088,dsc000041
dsq000088,dsc000042
dsq000088,dsc000040
dsq000089,dsc000041
dsq000089,dsc000042
dsq000089,dsc000040
dsq000090,dsc000041
dsq000090,dsc000042
dsq000090,dsc000040
dsq000091,dsc000043
dsq000091,dsc000044
dsq000091,dsc000045
dsq000092,dsc000043
dsq000092,dsc000044
dsq000092,dsc000045
dsq000093,dsc000043
dsq000093,dsc000044
dsq000093,dsc000045
dsq000094,dsc000043
dsq000094,dsc000044
dsq000094,dsc000045
dsq000095,dsc000043
dsq000095,dsc000044
dsq000095,dsc000045
dsq000096,dsc000046
dsq000096,dsc000047
dsq000096,dsc000045
dsq000097,dsc000046
dsq000097,dsc000047
dsq000097,dsc000045
dsq000098,dsc000046
dsq000098,dsc000047
dsq000098,dsc000045
dsq000099,dsc000046
dsq000099,dsc000047
dsq000099,dsc000045
dsq000100,dsc000046
dsq000100,dsc000047
dsq000100,dsc000045
dsq000101,dsc000048
dsq000101,dsc000049
dsq000101,dsc000045
dsq000102,dsc000048
dsq000102,dsc000049
dsq000102,dsc000045
dsq000103,dsc000048
dsq000103,dsc000049
dsq000103,dsc000045
dsq000104,dsc000048
dsq000104,dsc000049
dsq000104,dsc000045
dsq000105,dsc000048
dsq000105,dsc000049
dsq000105,dsc000045
dsq000106,dsc000050
dsq000106,dsc000051
dsq000106,dsc000045
dsq000107,dsc000050
dsq000107,dsc000051
dsq000107,dsc000045
dsq000108,dsc000050
dsq000108,dsc000051
dsq000108,dsc000045
dsq000109,dsc000050
dsq000109,dsc000051
dsq000109,dsc000045
dsq000110,dsc000050
dsq000110,dsc000051
dsq000110,dsc000045
dsq000111,dsc000052
dsq000111,dsc000053
dsq000111,dsc000045
