question_id,question
ldq000001,Bộ luật Lao động có áp dụng cho người giúp việc gia đình không?
ldq000002,Những nội dung chính nào được Bộ luật Lao động điều chỉnh?
ldq000003,"Công ty X tự ý đặt ra một số quy định trái với Bộ luật Lao động (ví dụ, phạt tiền nếu đi muộn). Người lao động có thể làm gì?"
ldq000004,Thế nào là 'quan hệ lao động' theo Bộ luật Lao động?
ldq000005,Điều 1 của Bộ luật Lao động quy định về vấn đề gì?
ldq000006,Một người đang thử việc có thuộc đối tượng được Bộ luật Lao động bảo vệ không?
ldq000007,Làm sao để biết một người có 'quan hệ lao động' hay không?
ldq000008,"Anh A làm việc tự do, nhận khoán công việc từ công ty X, tự chịu trách nhiệm về kết quả và không bị công ty quản lý trực tiếp. Anh A có được coi là đối tượng của Bộ luật Lao động không?"
ldq000009,Người 'làm việc không có quan hệ lao động' được hiểu như thế nào?
ldq000010,"Điều luật nào quy định về đối tượng là người học nghề, người tập nghề?"
ldq000011,Bộ luật Lao động có điều chỉnh các vấn đề liên quan đến người làm công ăn lương không?
ldq000012,Những ai được coi là 'người sử dụng lao động' theo luật?
ldq000013,"Ông A thuê 5 người làm việc cho trang trại của mình, nhưng không ký hợp đồng lao động. Hỏi, ông A có phải là đối tượng áp dụng của Bộ luật Lao động không?"
ldq000014,Thế nào là 'người sử dụng lao động' theo Bộ luật Lao động?
ldq000015,Điều nào trong Bộ luật Lao động xác định người sử dụng lao động là đối tượng áp dụng?
ldq000016,Một người Việt Nam làm việc cho một công ty nước ngoài tại Việt Nam có thuộc đối tượng điều chỉnh của Bộ luật Lao động không?
ldq000017,"Nếu một công ty muốn tuyển dụng người nước ngoài vào làm việc, họ cần tuân thủ những quy định nào của Bộ luật Lao động?"
ldq000018,Ông A là người Hàn Quốc làm việc tại một công ty ở Việt Nam. Hợp đồng lao động của ông A có những điều khoản trái với quy định của Bộ luật Lao động Việt Nam. Hỏi hợp đồng này có hiệu lực không?
ldq000019,"Theo Bộ luật Lao động, 'người lao động nước ngoài' được hiểu như thế nào?"
ldq000020,Điều nào trong Bộ luật Lao động quy định về đối tượng là người lao động nước ngoài?
ldq000021,Nếu tôi không ký hợp đồng lao động chính thức mà chỉ làm việc thời vụ thì Bộ luật Lao động có áp dụng với tôi không?
ldq000022,Những ai được coi là đối tượng áp dụng của Bộ luật Lao động?
ldq000023,Một công ty thuê một nhà thầu độc lập để xây dựng văn phòng. Bộ luật Lao động có điều chỉnh mối quan hệ giữa công ty và nhà thầu này không?
ldq000024,Thế nào là 'quan hệ lao động' theo Bộ luật Lao động?
ldq000025,Điều nào trong Bộ luật Lao động quy định về đối tượng áp dụng?
ldq000026,Điều 3 của Bộ luật Lao động có phải là một điều khoản bắt buộc phải tuân theo không?
ldq000027,Làm sao để biết một thuật ngữ cụ thể có được giải thích trong Điều 3 hay không?
ldq000028,"Trong hợp đồng lao động, công ty A sử dụng thuật ngữ 'tiền lương' theo nghĩa khác với giải thích tại Điều 3. Cách hiểu nào sẽ được ưu tiên?"
ldq000029,Mục đích chính của việc giải thích từ ngữ trong luật là gì?
ldq000030,Điều 3 có liệt kê đầy đủ các thuật ngữ được sử dụng trong Bộ luật Lao động không?
ldq000031,"Nếu một người làm việc tự do, không thuộc sự quản lý của ai thì có được coi là người lao động theo luật không?"
ldq000032,Cần đáp ứng những điều kiện gì để một người được xem là người lao động?
ldq000033,"Bé A, 14 tuổi, làm việc bán thời gian tại một quán ăn gia đình. Vậy bé A có được coi là người lao động theo quy định không?"
ldq000034,"Thế nào là 'chịu sự quản lý, điều hành, giám sát' của người sử dụng lao động?"
ldq000035,Điều luật nào quy định về độ tuổi lao động tối thiểu?
ldq000036,Một người thuê giúp việc gia đình có được coi là người sử dụng lao động không?
ldq000037,Những ai có thể trở thành người sử dụng lao động theo quy định của pháp luật lao động?
ldq000038,"Ông A 70 tuổi thuê người chăm sóc bệnh, nhưng lại thường xuyên quát mắng và trả lương không đúng hẹn. Người này có được coi là người sử dụng lao động hợp pháp không?"
ldq000039,Thế nào là 'năng lực hành vi dân sự đầy đủ' của người sử dụng lao động?
ldq000040,Điều luật nào định nghĩa về người sử dụng lao động là cá nhân?
ldq000041,"Một nhóm người lao động tự đứng ra thành lập ban đại diện để nói chuyện với giám đốc về tiền lương, ban này có được coi là tổ chức đại diện người lao động tại cơ sở không?"
ldq000042,Làm thế nào để thành lập một tổ chức đại diện người lao động hợp pháp tại công ty?
ldq000043,"Tại công ty X, cả công đoàn cơ sở và một tổ chức khác của người lao động cùng tồn tại. Công ty chỉ làm việc với công đoàn cơ sở. Điều này có đúng không?"
ldq000044,"Thế nào là 'quyền và lợi ích hợp pháp, chính đáng' của người lao động mà tổ chức đại diện có trách nhiệm bảo vệ?"
ldq000045,Định nghĩa về tổ chức đại diện người lao động tại cơ sở được quy định tại điều khoản nào của Bộ luật Lao động?
ldq000046,"Một nhóm các doanh nghiệp tự thành lập ra một hiệp hội để bảo vệ quyền lợi của họ trong các tranh chấp lao động, hiệp hội này có được coi là tổ chức đại diện người sử dụng lao động không?"
ldq000047,Làm thế nào để một tổ chức được công nhận là tổ chức đại diện người sử dụng lao động hợp pháp?
ldq000048,Một công ty thuê một văn phòng luật sư để đại diện cho mình trong một vụ kiện tranh chấp lao động. Văn phòng luật sư này có được coi là tổ chức đại diện người sử dụng lao động không?
ldq000049,"Thế nào là 'quyền, lợi ích hợp pháp của người sử dụng lao động' mà tổ chức đại diện có trách nhiệm bảo vệ?"
ldq000050,Điều luật nào định nghĩa về tổ chức đại diện người sử dụng lao động?
ldq000051,"Việc tôi tự làm tại nhà, không thuê ai thì có được coi là quan hệ lao động không?"
ldq000052,Tôi muốn biết các loại quan hệ lao động phổ biến trong doanh nghiệp?
ldq000053,"Anh A được công ty thuê làm việc theo hợp đồng miệng, trả lương hàng tháng. Sau đó, công ty chấm dứt hợp đồng với lý do 'không phù hợp'. Anh A có thể đòi quyền lợi gì không?"
ldq000054,Thế nào là 'tổ chức đại diện của các bên' trong quan hệ lao động?
ldq000055,Bộ luật Lao động định nghĩa về quan hệ lao động như thế nào?
ldq000056,"Nếu tôi làm việc tự do, không ký hợp đồng lao động với ai thì có được coi là người làm việc không có quan hệ lao động không?"
ldq000057,Làm thế nào để xác định một người là 'người làm việc không có quan hệ lao động'?
ldq000058,"Anh A là một thợ xây tự do, anh được ông B thuê xây nhà theo thỏa thuận miệng về giá cả và thời gian hoàn thành. Anh A có phải là người làm việc không có quan hệ lao động không?"
ldq000059,Thế nào là 'quan hệ lao động'?
ldq000060,Điều nào trong Bộ luật Lao động giải thích về người làm việc không có quan hệ lao động?
ldq000061,"Nếu tôi bị quản lý đe dọa cắt lương nếu không làm thêm giờ, đó có phải là cưỡng bức lao động không?"
ldq000062,"Nếu tôi nghi ngờ mình đang bị cưỡng bức lao động, tôi nên làm gì?"
ldq000063,"Ông A là chủ một xưởng may, thường xuyên đánh đập công nhân nếu họ làm việc không đạt chỉ tiêu. Hành vi này có bị coi là cưỡng bức lao động không?"
ldq000064,Thế nào là 'làm việc trái ý muốn' trong định nghĩa về cưỡng bức lao động?
ldq000065,Điều nào trong Bộ luật Lao động giải thích về cưỡng bức lao động?
ldq000066,"Nếu công ty chỉ tuyển nam giới cho vị trí bảo vệ vì cho rằng phụ nữ yếu đuối, đây có phải là phân biệt đối xử không?"
ldq000067,Công ty tôi có thể làm gì để đảm bảo không vi phạm quy định về phân biệt đối xử trong quá trình tuyển dụng?
ldq000068,"Ông A, một người khuyết tật, bị từ chối nhận vào làm việc tại một công ty vận tải với lý do 'công việc này cần người khỏe mạnh'. Đây có phải là hành vi vi phạm pháp luật không?"
ldq000069,Thế nào là 'người lao động dễ bị tổn thương' trong bối cảnh luật lao động?
ldq000070,Điều luật nào trong Bộ luật Lao động định nghĩa về phân biệt đối xử?
ldq000071,"Nếu tôi bị đồng nghiệp nhắn tin gạ gẫm sau giờ làm việc, nhưng việc nhắn tin diễn ra tại nhà riêng của cả hai người, thì hành vi này có được coi là quấy rối tình dục tại nơi làm việc không?"
ldq000072,"Nếu tôi là nạn nhân của quấy rối tình dục tại nơi làm việc, tôi nên làm gì để bảo vệ mình?"
ldq000073,"Anh A là trưởng phòng thường xuyên có những lời nói bông đùa khiếm nhã, gợi ý về tình dục với nhân viên nữ trong phòng. Các nhân viên cảm thấy khó chịu nhưng không dám phản ứng vì sợ bị trù dập. Hành vi của anh A có vi phạm pháp luật không?"
ldq000074,Thế nào là một 'hành vi có tính chất tình dục' được nhắc đến trong định nghĩa về quấy rối tình dục?
ldq000075,Định nghĩa về 'nơi làm việc' được hiểu như thế nào theo Bộ luật Lao động?
ldq000076,"Công ty tôi đưa ra một số điều khoản trong hợp đồng lao động có lợi hơn so với luật, điều này có được phép không?"
ldq000077,"Nếu công ty và người lao động có thỏa thuận riêng về quyền lợi, vậy thỏa thuận đó cần đáp ứng những điều kiện gì để được pháp luật công nhận?"
ldq000078,"Anh A và công ty X thỏa thuận làm việc 10 tiếng/ngày. Tuy nhiên, luật chỉ quy định 8 tiếng/ngày. Hỏi thỏa thuận này có hợp pháp không?"
ldq000079,"Thế nào là 'quyền và lợi ích hợp pháp, chính đáng' của người lao động?"
