question_id,corpus_id
latvsldq000001,latvsldc000001
latvsldq000001,latvsldc000002
latvsldq000002,latvsldc000001
latvsldq000002,latvsldc000002
latvsldq000003,latvsldc000001
latvsldq000003,latvsldc000002
latvsldq000004,latvsldc000001
latvsldq000004,latvsldc000002
latvsldq000005,latvsldc000001
latvsldq000005,latvsldc000002
latvsldq000006,latvsldc000003
latvsldq000006,latvsldc000004
latvsldq000006,latvsldc000005
latvsldq000007,latvsldc000003
latvsldq000007,latvsldc000004
latvsldq000007,latvsldc000005
latvsldq000008,latvsldc000003
latvsldq000008,latvsldc000004
latvsldq000008,latvsldc000005
latvsldq000009,latvsldc000003
latvsldq000009,latvsldc000004
latvsldq000009,latvsldc000005
latvsldq000010,latvsldc000003
latvsldq000010,latvsldc000004
latvsldq000010,latvsldc000005
latvsldq000011,latvsldc000006
latvsldq000011,latvsldc000007
latvsldq000011,latvsldc000005
latvsldq000012,latvsldc000006
latvsldq000012,latvsldc000007
latvsldq000012,latvsldc000005
latvsldq000013,latvsldc000006
latvsldq000013,latvsldc000007
latvsldq000013,latvsldc000005
latvsldq000014,latvsldc000006
latvsldq000014,latvsldc000007
latvsldq000014,latvsldc000005
latvsldq000015,latvsldc000006
latvsldq000015,latvsldc000007
latvsldq000015,latvsldc000005
latvsldq000016,latvsldc000008
latvsldq000016,latvsldc000009
latvsldq000016,latvsldc000005
latvsldq000017,latvsldc000008
latvsldq000017,latvsldc000009
latvsldq000017,latvsldc000005
latvsldq000018,latvsldc000008
latvsldq000018,latvsldc000009
latvsldq000018,latvsldc000005
latvsldq000019,latvsldc000008
latvsldq000019,latvsldc000009
latvsldq000019,latvsldc000005
latvsldq000020,latvsldc000008
latvsldq000020,latvsldc000009
latvsldq000020,latvsldc000005
latvsldq000021,latvsldc000010
latvsldq000021,latvsldc000011
latvsldq000021,latvsldc000005
latvsldq000022,latvsldc000010
latvsldq000022,latvsldc000011
latvsldq000022,latvsldc000005
latvsldq000023,latvsldc000010
latvsldq000023,latvsldc000011
latvsldq000023,latvsldc000005
latvsldq000024,latvsldc000010
latvsldq000024,latvsldc000011
