question_id,corpus_id
hpq000001,hpc000001
hpq000001,hpc000002
hpq000002,hpc000001
hpq000002,hpc000002
hpq000003,hpc000001
hpq000003,hpc000002
hpq000004,hpc000001
hpq000004,hpc000002
hpq000005,hpc000001
hpq000005,hpc000002
hpq000006,hpc000003
hpq000006,hpc000004
hpq000006,hpc000005
hpq000007,hpc000003
hpq000007,hpc000004
hpq000007,hpc000005
hpq000008,hpc000003
hpq000008,hpc000004
hpq000008,hpc000005
hpq000009,hpc000003
hpq000009,hpc000004
hpq000009,hpc000005
hpq000010,hpc000003
hpq000010,hpc000004
hpq000010,hpc000005
hpq000011,hpc000006
hpq000011,hpc000007
hpq000011,hpc000005
hpq000012,hpc000006
hpq000012,hpc000007
hpq000012,hpc000005
hpq000013,hpc000006
hpq000013,hpc000007
hpq000013,hpc000005
hpq000014,hpc000006
hpq000014,hpc000007
hpq000014,hpc000005
hpq000015,hpc000006
hpq000015,hpc000007
hpq000015,hpc000005
hpq000016,hpc000008
hpq000016,hpc000009
hpq000016,hpc000005
hpq000017,hpc000008
hpq000017,hpc000009
hpq000017,hpc000005
hpq000018,hpc000008
hpq000018,hpc000009
hpq000018,hpc000005
hpq000019,hpc000008
hpq000019,hpc000009
hpq000019,hpc000005
hpq000020,hpc000008
hpq000020,hpc000009
hpq000020,hpc000005
hpq000021,hpc000010
hpq000021,hpc000011
hpq000022,hpc000010
hpq000022,hpc000011
hpq000023,hpc000010
hpq000023,hpc000011
hpq000024,hpc000010
hpq000024,hpc000011
hpq000025,hpc000010
hpq000025,hpc000011
hpq000026,hpc000012
hpq000026,hpc000013
hpq000026,hpc000014
hpq000027,hpc000012
hpq000027,hpc000013
hpq000027,hpc000014
hpq000028,hpc000012
hpq000028,hpc000013
hpq000028,hpc000014
hpq000029,hpc000012
hpq000029,hpc000013
hpq000029,hpc000014
hpq000030,hpc000012
hpq000030,hpc000013
hpq000030,hpc000014
hpq000031,hpc000015
hpq000031,hpc000016
hpq000031,hpc000014
hpq000032,hpc000015
hpq000032,hpc000016
hpq000032,hpc000014
hpq000033,hpc000015
hpq000033,hpc000016
hpq000033,hpc000014
hpq000034,hpc000015
hpq000034,hpc000016
hpq000034,hpc000014
hpq000035,hpc000015
hpq000035,hpc000016
hpq000035,hpc000014
hpq000036,hpc000017
hpq000036,hpc000018
hpq000036,hpc000014
hpq000037,hpc000017
hpq000037,hpc000018
hpq000037,hpc000014
hpq000038,hpc000017
hpq000038,hpc000018
hpq000038,hpc000014
hpq000039,hpc000017
hpq000039,hpc000018
hpq000039,hpc000014
hpq000040,hpc000017
hpq000040,hpc000018
hpq000040,hpc000014
hpq000041,hpc000019
hpq000041,hpc000020
hpq000041,hpc000021
hpq000042,hpc000019
hpq000042,hpc000020
hpq000042,hpc000021
hpq000043,hpc000019
hpq000043,hpc000020
hpq000043,hpc000021
hpq000044,hpc000019
hpq000044,hpc000020
hpq000044,hpc000021
hpq000045,hpc000019
hpq000045,hpc000020
hpq000045,hpc000021
hpq000046,hpc000022
hpq000046,hpc000023
hpq000046,hpc000021
hpq000047,hpc000022
hpq000047,hpc000023
hpq000047,hpc000021
hpq000048,hpc000022
hpq000048,hpc000023
hpq000048,hpc000021
hpq000049,hpc000022
hpq000049,hpc000023
hpq000049,hpc000021
hpq000050,hpc000022
hpq000050,hpc000023
hpq000050,hpc000021
hpq000051,hpc000024
hpq000051,hpc000025
hpq000051,hpc000021
hpq000052,hpc000024
hpq000052,hpc000025
hpq000052,hpc000021
hpq000053,hpc000024
hpq000053,hpc000025
hpq000053,hpc000021
hpq000054,hpc000024
hpq000054,hpc000025
hpq000054,hpc000021
hpq000055,hpc000024
hpq000055,hpc000025
hpq000055,hpc000021
hpq000056,hpc000026
hpq000056,hpc000027
hpq000056,hpc000021
hpq000057,hpc000026
hpq000057,hpc000027
hpq000057,hpc000021
hpq000058,hpc000026
hpq000058,hpc000027
hpq000058,hpc000021
hpq000059,hpc000026
hpq000059,hpc000027
hpq000059,hpc000021
hpq000060,hpc000026
hpq000060,hpc000027
hpq000060,hpc000021
hpq000061,hpc000028
hpq000061,hpc000029
hpq000062,hpc000028
hpq000062,hpc000029
hpq000063,hpc000028
hpq000063,hpc000029
hpq000064,hpc000028
hpq000064,hpc000029
hpq000065,hpc000028
hpq000065,hpc000029
hpq000066,hpc000030
hpq000066,hpc000031
hpq000066,hpc000032
hpq000067,hpc000030
hpq000067,hpc000031
hpq000067,hpc000032
hpq000068,hpc000030
hpq000068,hpc000031
hpq000068,hpc000032
hpq000069,hpc000030
hpq000069,hpc000031
hpq000069,hpc000032
hpq000070,hpc000030
hpq000070,hpc000031
hpq000070,hpc000032
hpq000071,hpc000033
hpq000071,hpc000034
hpq000071,hpc000032
hpq000072,hpc000033
hpq000072,hpc000034
hpq000072,hpc000032
hpq000073,hpc000033
hpq000073,hpc000034
hpq000073,hpc000032
hpq000074,hpc000033
hpq000074,hpc000034
hpq000074,hpc000032
hpq000075,hpc000033
hpq000075,hpc000034
hpq000075,hpc000032
hpq000076,hpc000035
hpq000076,hpc000036
hpq000076,hpc000037
hpq000077,hpc000035
hpq000077,hpc000036
hpq000077,hpc000037
hpq000078,hpc000035
hpq000078,hpc000036
hpq000078,hpc000037
hpq000079,hpc000035
hpq000079,hpc000036
hpq000079,hpc000037
hpq000080,hpc000035
hpq000080,hpc000036
hpq000080,hpc000037
hpq000081,hpc000038
hpq000081,hpc000039
hpq000081,hpc000037
hpq000082,hpc000038
hpq000082,hpc000039
hpq000082,hpc000037
hpq000083,hpc000038
hpq000083,hpc000039
hpq000083,hpc000037
hpq000084,hpc000038
hpq000084,hpc000039
hpq000084,hpc000037
hpq000085,hpc000038
hpq000085,hpc000039
hpq000085,hpc000037
hpq000086,hpc000040
hpq000086,hpc000041
hpq000086,hpc000042
hpq000087,hpc000040
hpq000087,hpc000041
hpq000087,hpc000042
hpq000088,hpc000040
hpq000088,hpc000041
hpq000088,hpc000042
hpq000089,hpc000040
hpq000089,hpc000041
hpq000089,hpc000042
hpq000090,hpc000040
hpq000090,hpc000041
hpq000090,hpc000042
hpq000091,hpc000043
hpq000091,hpc000044
hpq000091,hpc000042
hpq000092,hpc000043
hpq000092,hpc000044
hpq000092,hpc000042
hpq000093,hpc000043
hpq000093,hpc000044
hpq000093,hpc000042
hpq000094,hpc000043
hpq000094,hpc000044
hpq000094,hpc000042
hpq000095,hpc000043
hpq000095,hpc000044
hpq000095,hpc000042
hpq000096,hpc000045
hpq000096,hpc000046
hpq000096,hpc000042
hpq000097,hpc000045
hpq000097,hpc000046
hpq000097,hpc000042
hpq000098,hpc000045
hpq000098,hpc000046
hpq000098,hpc000042
hpq000099,hpc000045
hpq000099,hpc000046
hpq000099,hpc000042
hpq000100,hpc000045
hpq000100,hpc000046
hpq000100,hpc000042
hpq000101,hpc000047
hpq000101,hpc000048
hpq000102,hpc000047
hpq000102,hpc000048
hpq000103,hpc000047
hpq000103,hpc000048
hpq000104,hpc000047
hpq000104,hpc000048
hpq000105,hpc000047
hpq000105,hpc000048
hpq000106,hpc000049
hpq000106,hpc000050
hpq000106,hpc000051
hpq000107,hpc000049
hpq000107,hpc000050
hpq000107,hpc000051
hpq000108,hpc000049
hpq000108,hpc000050
hpq000108,hpc000051
hpq000109,hpc000049
hpq000109,hpc000050
hpq000109,hpc000051
hpq000110,hpc000049
hpq000110,hpc000050
hpq000110,hpc000051
hpq000111,hpc000052
hpq000111,hpc000053
hpq000111,hpc000051
hpq000112,hpc000052
hpq000112,hpc000053
hpq000112,hpc000051
hpq000113,hpc000052
hpq000113,hpc000053
hpq000113,hpc000051
hpq000114,hpc000052
hpq000114,hpc000053
hpq000114,hpc000051
hpq000115,hpc000052
hpq000115,hpc000053
hpq000115,hpc000051
hpq000116,hpc000054
hpq000116,hpc000055
hpq000117,hpc000054
hpq000117,hpc000055
hpq000118,hpc000054
hpq000118,hpc000055
hpq000119,hpc000054
hpq000119,hpc000055
hpq000120,hpc000054
hpq000120,hpc000055
hpq000121,hpc000056
hpq000121,hpc000057
hpq000121,hpc000058
hpq000122,hpc000056
hpq000122,hpc000057
hpq000122,hpc000058
hpq000123,hpc000056
hpq000123,hpc000057
hpq000123,hpc000058
hpq000124,hpc000056
hpq000124,hpc000057
hpq000124,hpc000058
hpq000125,hpc000056
hpq000125,hpc000057
hpq000125,hpc000058
hpq000126,hpc000059
hpq000126,hpc000060
hpq000126,hpc000058
hpq000127,hpc000059
hpq000127,hpc000060
hpq000127,hpc000058
hpq000128,hpc000059
hpq000128,hpc000060
hpq000128,hpc000058
hpq000129,hpc000059
hpq000129,hpc000060
hpq000129,hpc000058
hpq000130,hpc000059
hpq000130,hpc000060
hpq000130,hpc000058
hpq000131,hpc000061
hpq000131,hpc000062
hpq000131,hpc000058
hpq000132,hpc000061
hpq000132,hpc000062
hpq000132,hpc000058
hpq000133,hpc000061
hpq000133,hpc000062
hpq000133,hpc000058
hpq000134,hpc000061
hpq000134,hpc000062
hpq000134,hpc000058
hpq000135,hpc000061
hpq000135,hpc000062
hpq000135,hpc000058
hpq000136,hpc000063
hpq000136,hpc000064
hpq000136,hpc000058
hpq000137,hpc000063
hpq000137,hpc000064
hpq000137,hpc000058
hpq000138,hpc000063
hpq000138,hpc000064
hpq000138,hpc000058
hpq000139,hpc000063
hpq000139,hpc000064
hpq000139,hpc000058
hpq000140,hpc000063
hpq000140,hpc000064
hpq000140,hpc000058
hpq000141,hpc000065
hpq000141,hpc000066
hpq000141,hpc000058
hpq000142,hpc000065
hpq000142,hpc000066
hpq000142,hpc000058
hpq000143,hpc000065
hpq000143,hpc000066
hpq000143,hpc000058
hpq000144,hpc000065
hpq000144,hpc000066
hpq000144,hpc000058
