question_id,corpus_id
lcdq000001,lcdc000001
lcdq000001,lcdc000002
lcdq000002,lcdc000001
lcdq000002,lcdc000002
lcdq000003,lcdc000001
lcdq000003,lcdc000002
lcdq000004,lcdc000001
lcdq000004,lcdc000002
lcdq000005,lcdc000001
lcdq000005,lcdc000002
lcdq000006,lcdc000003
lcdq000006,lcdc000004
lcdq000007,lcdc000003
lcdq000007,lcdc000004
lcdq000008,lcdc000003
lcdq000008,lcdc000004
lcdq000009,lcdc000003
lcdq000009,lcdc000004
lcdq000010,lcdc000003
lcdq000010,lcdc000004
lcdq000011,lcdc000005
lcdq000011,lcdc000006
lcdq000012,lcdc000005
lcdq000012,lcdc000006
lcdq000013,lcdc000005
lcdq000013,lcdc000006
lcdq000014,lcdc000005
lcdq000014,lcdc000006
lcdq000015,lcdc000005
lcdq000015,lcdc000006
lcdq000016,lcdc000007
lcdq000016,lcdc000008
lcdq000016,lcdc000009
lcdq000017,lcdc000007
lcdq000017,lcdc000008
lcdq000017,lcdc000009
lcdq000018,lcdc000007
lcdq000018,lcdc000008
lcdq000018,lcdc000009
lcdq000019,lcdc000007
lcdq000019,lcdc000008
lcdq000019,lcdc000009
lcdq000020,lcdc000007
lcdq000020,lcdc000008
lcdq000020,lcdc000009
lcdq000021,lcdc000010
lcdq000021,lcdc000011
lcdq000021,lcdc000009
lcdq000022,lcdc000010
lcdq000022,lcdc000011
lcdq000022,lcdc000009
lcdq000023,lcdc000010
lcdq000023,lcdc000011
lcdq000023,lcdc000009
lcdq000024,lcdc000010
lcdq000024,lcdc000011
lcdq000024,lcdc000009
lcdq000025,lcdc000010
lcdq000025,lcdc000011
lcdq000025,lcdc000009
lcdq000026,lcdc000012
lcdq000026,lcdc000013
lcdq000026,lcdc000009
lcdq000027,lcdc000012
lcdq000027,lcdc000013
lcdq000027,lcdc000009
lcdq000028,lcdc000012
lcdq000028,lcdc000013
lcdq000028,lcdc000009
lcdq000029,lcdc000012
lcdq000029,lcdc000013
lcdq000029,lcdc000009
lcdq000030,lcdc000012
lcdq000030,lcdc000013
lcdq000030,lcdc000009
lcdq000031,lcdc000014
lcdq000031,lcdc000015
lcdq000031,lcdc000009
lcdq000032,lcdc000014
lcdq000032,lcdc000015
lcdq000032,lcdc000009
lcdq000033,lcdc000014
lcdq000033,lcdc000015
lcdq000033,lcdc000009
lcdq000034,lcdc000014
lcdq000034,lcdc000015
lcdq000034,lcdc000009
lcdq000035,lcdc000014
lcdq000035,lcdc000015
lcdq000035,lcdc000009
lcdq000036,lcdc000016
lcdq000036,lcdc000017
lcdq000036,lcdc000009
lcdq000037,lcdc000016
lcdq000037,lcdc000017
lcdq000037,lcdc000009
lcdq000038,lcdc000016
lcdq000038,lcdc000017
lcdq000038,lcdc000009
lcdq000039,lcdc000016
lcdq000039,lcdc000017
lcdq000039,lcdc000009
lcdq000040,lcdc000016
lcdq000040,lcdc000017
lcdq000040,lcdc000009
lcdq000041,lcdc000018
lcdq000041,lcdc000019
lcdq000041,lcdc000009
lcdq000042,lcdc000018
lcdq000042,lcdc000019
lcdq000042,lcdc000009
lcdq000043,lcdc000018
lcdq000043,lcdc000019
