question_id,corpus_id
lbvqlntdq000001,lbvqlntdc000001
lbvqlntdq000001,lbvqlntdc000002
lbvqlntdq000002,lbvqlntdc000001
lbvqlntdq000002,lbvqlntdc000002
lbvqlntdq000003,lbvqlntdc000001
lbvqlntdq000003,lbvqlntdc000002
lbvqlntdq000004,lbvqlntdc000001
lbvqlntdq000004,lbvqlntdc000002
lbvqlntdq000005,lbvqlntdc000001
lbvqlntdq000005,lbvqlntdc000002
lbvqlntdq000006,lbvqlntdc000003
lbvqlntdq000006,lbvqlntdc000004
lbvqlntdq000006,lbvqlntdc000005
lbvqlntdq000007,lbvqlntdc000003
lbvqlntdq000007,lbvqlntdc000004
lbvqlntdq000007,lbvqlntdc000005
lbvqlntdq000008,lbvqlntdc000003
lbvqlntdq000008,lbvqlntdc000004
lbvqlntdq000008,lbvqlntdc000005
lbvqlntdq000009,lbvqlntdc000003
lbvqlntdq000009,lbvqlntdc000004
lbvqlntdq000009,lbvqlntdc000005
lbvqlntdq000010,lbvqlntdc000003
lbvqlntdq000010,lbvqlntdc000004
lbvqlntdq000010,lbvqlntdc000005
lbvqlntdq000011,lbvqlntdc000006
lbvqlntdq000011,lbvqlntdc000007
lbvqlntdq000011,lbvqlntdc000005
lbvqlntdq000012,lbvqlntdc000006
lbvqlntdq000012,lbvqlntdc000007
lbvqlntdq000012,lbvqlntdc000005
lbvqlntdq000013,lbvqlntdc000006
lbvqlntdq000013,lbvqlntdc000007
lbvqlntdq000013,lbvqlntdc000005
lbvqlntdq000014,lbvqlntdc000006
lbvqlntdq000014,lbvqlntdc000007
lbvqlntdq000014,lbvqlntdc000005
lbvqlntdq000015,lbvqlntdc000006
lbvqlntdq000015,lbvqlntdc000007
lbvqlntdq000015,lbvqlntdc000005
lbvqlntdq000016,lbvqlntdc000008
lbvqlntdq000016,lbvqlntdc000009
lbvqlntdq000016,lbvqlntdc000005
lbvqlntdq000017,lbvqlntdc000008
lbvqlntdq000017,lbvqlntdc000009
lbvqlntdq000017,lbvqlntdc000005
lbvqlntdq000018,lbvqlntdc000008
lbvqlntdq000018,lbvqlntdc000009
lbvqlntdq000018,lbvqlntdc000005
lbvqlntdq000019,lbvqlntdc000008
lbvqlntdq000019,lbvqlntdc000009
lbvqlntdq000019,lbvqlntdc000005
lbvqlntdq000020,lbvqlntdc000008
lbvqlntdq000020,lbvqlntdc000009
lbvqlntdq000020,lbvqlntdc000005
lbvqlntdq000021,lbvqlntdc000010
lbvqlntdq000021,lbvqlntdc000011
lbvqlntdq000021,lbvqlntdc000005
lbvqlntdq000022,lbvqlntdc000010
lbvqlntdq000022,lbvqlntdc000011
lbvqlntdq000022,lbvqlntdc000005
lbvqlntdq000023,lbvqlntdc000010
lbvqlntdq000023,lbvqlntdc000011
lbvqlntdq000023,lbvqlntdc000005
lbvqlntdq000024,lbvqlntdc000010
lbvqlntdq000024,lbvqlntdc000011
lbvqlntdq000024,lbvqlntdc000005
lbvqlntdq000025,lbvqlntdc000010
lbvqlntdq000025,lbvqlntdc000011
lbvqlntdq000025,lbvqlntdc000005
lbvqlntdq000026,lbvqlntdc000012
lbvqlntdq000026,lbvqlntdc000007
lbvqlntdq000026,lbvqlntdc000005
lbvqlntdq000027,lbvqlntdc000012
lbvqlntdq000027,lbvqlntdc000007
lbvqlntdq000027,lbvqlntdc000005
lbvqlntdq000028,lbvqlntdc000012
lbvqlntdq000028,lbvqlntdc000007
lbvqlntdq000028,lbvqlntdc000005
lbvqlntdq000029,lbvqlntdc000012
lbvqlntdq000029,lbvqlntdc000007
lbvqlntdq000029,lbvqlntdc000005
lbvqlntdq000030,lbvqlntdc000012
lbvqlntdq000030,lbvqlntdc000007
lbvqlntdq000030,lbvqlntdc000005
lbvqlntdq000031,lbvqlntdc000013
lbvqlntdq000031,lbvqlntdc000014
lbvqlntdq000031,lbvqlntdc000015
lbvqlntdq000032,lbvqlntdc000013
lbvqlntdq000032,lbvqlntdc000014
lbvqlntdq000032,lbvqlntdc000015
lbvqlntdq000033,lbvqlntdc000013
lbvqlntdq000033,lbvqlntdc000014
lbvqlntdq000033,lbvqlntdc000015
lbvqlntdq000034,lbvqlntdc000013
lbvqlntdq000034,lbvqlntdc000014
lbvqlntdq000034,lbvqlntdc000015
lbvqlntdq000035,lbvqlntdc000013
lbvqlntdq000035,lbvqlntdc000014
lbvqlntdq000035,lbvqlntdc000015
lbvqlntdq000036,lbvqlntdc000016
lbvqlntdq000036,lbvqlntdc000017
lbvqlntdq000036,lbvqlntdc000015
lbvqlntdq000037,lbvqlntdc000016
lbvqlntdq000037,lbvqlntdc000017
lbvqlntdq000037,lbvqlntdc000015
lbvqlntdq000038,lbvqlntdc000016
lbvqlntdq000038,lbvqlntdc000017
lbvqlntdq000038,lbvqlntdc000015
lbvqlntdq000039,lbvqlntdc000016
lbvqlntdq000039,lbvqlntdc000017
lbvqlntdq000039,lbvqlntdc000015
lbvqlntdq000040,lbvqlntdc000016
lbvqlntdq000040,lbvqlntdc000017
lbvqlntdq000040,lbvqlntdc000015
lbvqlntdq000041,lbvqlntdc000018
lbvqlntdq000041,lbvqlntdc000019
lbvqlntdq000041,lbvqlntdc000015
lbvqlntdq000042,lbvqlntdc000018
lbvqlntdq000042,lbvqlntdc000019
lbvqlntdq000042,lbvqlntdc000015
lbvqlntdq000043,lbvqlntdc000018
lbvqlntdq000043,lbvqlntdc000019
lbvqlntdq000043,lbvqlntdc000015
lbvqlntdq000044,lbvqlntdc000018
lbvqlntdq000044,lbvqlntdc000019
lbvqlntdq000044,lbvqlntdc000015
lbvqlntdq000045,lbvqlntdc000018
lbvqlntdq000045,lbvqlntdc000019
lbvqlntdq000045,lbvqlntdc000015
lbvqlntdq000046,lbvqlntdc000020
lbvqlntdq000046,lbvqlntdc000021
lbvqlntdq000046,lbvqlntdc000015
lbvqlntdq000047,lbvqlntdc000020
lbvqlntdq000047,lbvqlntdc000021
lbvqlntdq000047,lbvqlntdc000015
lbvqlntdq000048,lbvqlntdc000020
lbvqlntdq000048,lbvqlntdc000021
lbvqlntdq000048,lbvqlntdc000015
lbvqlntdq000049,lbvqlntdc000020
lbvqlntdq000049,lbvqlntdc000021
lbvqlntdq000049,lbvqlntdc000015
lbvqlntdq000050,lbvqlntdc000020
lbvqlntdq000050,lbvqlntdc000021
lbvqlntdq000050,lbvqlntdc000015
lbvqlntdq000051,lbvqlntdc000022
lbvqlntdq000051,lbvqlntdc000023
lbvqlntdq000051,lbvqlntdc000015
lbvqlntdq000052,lbvqlntdc000022
lbvqlntdq000052,lbvqlntdc000023
lbvqlntdq000052,lbvqlntdc000015
lbvqlntdq000053,lbvqlntdc000022
lbvqlntdq000053,lbvqlntdc000023
lbvqlntdq000053,lbvqlntdc000015
lbvqlntdq000054,lbvqlntdc000022
lbvqlntdq000054,lbvqlntdc000023
lbvqlntdq000054,lbvqlntdc000015
lbvqlntdq000055,lbvqlntdc000022
lbvqlntdq000055,lbvqlntdc000023
lbvqlntdq000055,lbvqlntdc000015
lbvqlntdq000056,lbvqlntdc000024
lbvqlntdq000056,lbvqlntdc000025
lbvqlntdq000056,lbvqlntdc000015
lbvqlntdq000057,lbvqlntdc000024
lbvqlntdq000057,lbvqlntdc000025
lbvqlntdq000057,lbvqlntdc000015
lbvqlntdq000058,lbvqlntdc000024
lbvqlntdq000058,lbvqlntdc000025
lbvqlntdq000058,lbvqlntdc000015
lbvqlntdq000059,lbvqlntdc000024
lbvqlntdq000059,lbvqlntdc000025
