corpus_id,content
lvlc000001,"Điều 1 Phạm vi điều chỉnh
Luật này quy định chính sách hỗ trợ tạo việc làm; thông tin thị trường lao động; đánh giá, cấp chứng chỉ kỹ năng nghề quốc gia; tổ chức, hoạt động dịch vụ việc làm; bảo hiểm thất nghiệp và quản lý nhà nước về việc làm."
lvlc000002,"Luật Việc làm quy định về chính sách việc làm, thị trường lao động, dịch vụ việc làm và bảo hiểm thất nghiệp."
lvlc000003,"Điều 2 Đối tượng áp dụng
Luật này áp dụng đối với người lao động, người sử dụng lao động và cơ quan, tổ chức, cá nhân khác có liên quan đến việc làm."
lvlc000004,Xác định đối tượng chịu sự điều chỉnh của Luật Việc làm.
lvlc000005,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:"
lvlc000006,Giải thích các thuật ngữ pháp lý được sử dụng trong Luật Việc làm.
lvlc000007,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:
Người lao động là công dân Việt Nam từ đủ 15 tuổi trở lên, có khả năng lao động và có nhu cầu làm việc.
Việc làm là hoạt động lao động tạo ra thu nhập mà không bị pháp luật cấm.
Tiêu chuẩn kỹ năng nghề quốc gia là quy định về kiến thức chuyên môn, năng lực thực hành và khả năng ứng dụng kiến thức, năng lực đó vào công việc mà người lao động cần phải có để thực hiện công việc theo từng bậc trình độ kỹ năng của từng nghề.
Bảo hiểm thất nghiệp là chế độ nhằm bù đắp một phần thu nhập của người lao động khi bị mất việc làm, hỗ trợ người lao động học nghề, duy trì việc làm, tìm việc làm trên cơ sở đóng vào Quỹ bảo hiểm thất nghiệp.
Việc làm công là việc làm tạm thời có trả công được tạo ra thông qua việc thực hiện các dự án hoặc hoạt động sử dụng vốn nhà nước gắn với các chương trình phát triển kinh tế - xã hội trên địa bàn xã, phường, thị trấn (sau đây gọi chung là cấp xã)."
lvlc000008,"Điều 3 Giải thích từ ngữ
Người lao động là công dân Việt Nam từ đủ 15 tuổi trở lên, có khả năng lao động và có nhu cầu làm việc."
lvlc000009,Định nghĩa về người lao động theo Luật Việc làm.
lvlc000010,"Điều 3 Giải thích từ ngữ
Việc làm là hoạt động lao động tạo ra thu nhập mà không bị pháp luật cấm."
lvlc000011,Định nghĩa pháp lý về 'việc làm' trong Luật Việc làm.
lvlc000012,"Điều 3 Giải thích từ ngữ
Tiêu chuẩn kỹ năng nghề quốc gia là quy định về kiến thức chuyên môn, năng lực thực hành và khả năng ứng dụng kiến thức, năng lực đó vào công việc mà người lao động cần phải có để thực hiện công việc theo từng bậc trình độ kỹ năng của từng nghề."
lvlc000013,Định nghĩa về tiêu chuẩn kỹ năng nghề quốc gia trong Luật Việc làm.
lvlc000014,"Điều 3 Giải thích từ ngữ
Bảo hiểm thất nghiệp là chế độ nhằm bù đắp một phần thu nhập của người lao động khi bị mất việc làm, hỗ trợ người lao động học nghề, duy trì việc làm, tìm việc làm trên cơ sở đóng vào Quỹ bảo hiểm thất nghiệp."
lvlc000015,Định nghĩa về bảo hiểm thất nghiệp và mục đích của chế độ này.
lvlc000016,"Điều 3 Giải thích từ ngữ
Việc làm công là việc làm tạm thời có trả công được tạo ra thông qua việc thực hiện các dự án hoặc hoạt động sử dụng vốn nhà nước gắn với các chương trình phát triển kinh tế - xã hội trên địa bàn xã, phường, thị trấn (sau đây gọi chung là cấp xã)."
lvlc000017,Định nghĩa 'việc làm công' là việc làm tạm thời được trả lương từ vốn nhà nước thông qua các dự án phát triển kinh tế - xã hội cấp xã.
lvlc000018,"Điều 4 Nguyên tắc về việc làm
Bảo đảm quyền làm việc, tự do lựa chọn việc làm và nơi làm việc."
lvlc000019,"Quy định về quyền làm việc và tự do lựa chọn việc làm, nơi làm việc."
lvlc000020,"Điều 4 Nguyên tắc về việc làm
Bảo đảm quyền làm việc, tự do lựa chọn việc làm và nơi làm việc.
Bình đẳng về cơ hội việc làm và thu nhập.
Bảo đảm làm việc trong điều kiện an toàn lao động, vệ sinh lao động."
lvlc000021,"Điều 4 Nguyên tắc về việc làm
Bình đẳng về cơ hội việc làm và thu nhập."
lvlc000022,Nguyên tắc bình đẳng về cơ hội việc làm và thu nhập cho mọi người.
lvlc000023,"Điều 4 Nguyên tắc về việc làm
Bảo đảm làm việc trong điều kiện an toàn lao động, vệ sinh lao động."
lvlc000024,Người lao động được bảo đảm an toàn và vệ sinh lao động.
lvlc000025,"Điều 5 Chính sách của Nhà nước về việc làm
Có chính sách phát triển kinh tế - xã hội nhằm tạo việc làm cho người lao động, xác định mục tiêu giải quyết việc làm trong chiến lược, kế hoạch phát triển kinh tế - xã hội; bố trí nguồn lực để thực hiện chính sách về việc làm."
lvlc000026,Nhà nước ưu tiên tạo việc làm thông qua chính sách phát triển kinh tế - xã hội và bố trí nguồn lực.
lvlc000027,"Điều 5 Chính sách của Nhà nước về việc làm
Có chính sách phát triển kinh tế - xã hội nhằm tạo việc làm cho người lao động, xác định mục tiêu giải quyết việc làm trong chiến lược, kế hoạch phát triển kinh tế - xã hội; bố trí nguồn lực để thực hiện chính sách về việc làm.
Khuyến khích tổ chức, cá nhân tham gia tạo việc làm và tự tạo việc làm có thu nhập từ mức lương tối thiểu trở lên nhằm góp phần phát triển kinh tế - xã hội, phát triển thị trường lao động.
Có chính sách hỗ trợ tạo việc làm, phát triển thị trường lao động và bảo hiểm thất nghiệp.
Có chính sách đánh giá, cấp chứng chỉ kỹ năng nghề quốc gia gắn với việc nâng cao trình độ kỹ năng nghề.
Có chính sách ưu đãi đối với ngành, nghề sử dụng lao động có trình độ chuyên môn kỹ thuật cao hoặc sử dụng nhiều lao động phù hợp với điều kiện phát triển kinh tế - xã hội.
Hỗ trợ người sử dụng lao động sử dụng nhiều lao động là người khuyết tật, lao động nữ, lao động là người dân tộc thiểu số."
