corpus_id,content
hsc000001,"Điều 1 Nhiệm vụ của Bộ luật Hình sự
Bộ luật Hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm."
hsc000002,Điều 1 BLHS quy định về nhiệm vụ của Bộ luật Hình sự trong việc bảo vệ các giá trị và phòng chống tội phạm.
hsc000003,"Điều 1 Nhiệm vụ của Bộ luật Hình sự
Bộ luật Hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm.
Bộ luật này quy định về tội phạm và hình phạt."
hsc000004,"Điều 1 Nhiệm vụ của Bộ luật Hình sự
Bộ luật này quy định về tội phạm và hình phạt."
hsc000005,Bộ luật Hình sự quy định về những hành vi nào bị coi là tội phạm và các loại hình phạt tương ứng.
hsc000006,"Điều 2 Cơ sở của trách nhiệm hình sự
Chỉ người nào phạm một tội đã được Bộ luật Hình sự quy định mới phải chịu trách nhiệm hình sự."
hsc000007,Quy định về cơ sở duy nhất để truy cứu trách nhiệm hình sự đối với một người.
hsc000008,"Điều 2 Cơ sở của trách nhiệm hình sự
Chỉ người nào phạm một tội đã được Bộ luật Hình sự quy định mới phải chịu trách nhiệm hình sự.
Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự."
hsc000009,"Điều 2 Cơ sở của trách nhiệm hình sự
Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự."
hsc000010,Quy định về cơ sở xác định trách nhiệm hình sự của pháp nhân thương mại khi phạm tội được quy định tại Điều 76.
hsc000011,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;"
hsc000012,"Quy định về nguyên tắc xử lý đối với người phạm tội, đảm bảo tính kịp thời, nhanh chóng, công minh và đúng pháp luật."
hsc000013,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;
Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;
Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội; d)3 Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;
Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;
Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;
Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.
Đối với pháp nhân thương mại phạm tội:
Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;
Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;
Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng; d)4 Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra."
hsc000014,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;"
hsc000015,"Nguyên tắc xử lý mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt đối xử."
hsc000016,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội; d)3 Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;"
hsc000017,"Quy định về nguyên tắc xử lý người phạm tội, bao gồm các yếu tố tăng nặng và giảm nhẹ trách nhiệm hình sự."
hsc000018,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;"
hsc000019,"Quy định về nguyên tắc xử lý đối với người lần đầu phạm tội ít nghiêm trọng, có thể áp dụng hình phạt nhẹ hơn hình phạt tù."
hsc000020,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện;"
hsc000021,"Quy định về nguyên tắc xử lý đối với người phạm tội, đặc biệt là người bị phạt tù."
hsc000022,"Điều 3 Nguyên tắc xử lý
Đối với người phạm tội:
Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích."
hsc000023,"Quy định về nguyên tắc nhân đạo trong xử lý người phạm tội, đặc biệt là tái hòa nhập cộng đồng sau khi chấp hành án."
hsc000024,"Điều 3 Nguyên tắc xử lý
Đối với pháp nhân thương mại phạm tội:
Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;"
hsc000025,"Quy định về nguyên tắc xử lý đối với pháp nhân thương mại phạm tội, đảm bảo tính kịp thời, nhanh chóng, công minh."
hsc000026,"Điều 3 Nguyên tắc xử lý
Đối với pháp nhân thương mại phạm tội:
Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế;"
hsc000027,"Quy định về nguyên tắc xử lý đối với pháp nhân thương mại phạm tội, đảm bảo sự bình đẳng trước pháp luật."
