corpus_id,content
latvsldc000001,"Điều 1 Phạm vi điều chỉnh
Luật này quy định việc bảo đảm an toàn, vệ sinh lao động; chính sách, chế độ đối với người bị tai nạn lao động, bệnh nghề nghiệp; trách nhiệm và quyền hạn của các tổ chức, cá nhân liên quan đến công tác an toàn, vệ sinh lao động và quản lý nhà nước về an toàn, vệ sinh lao động."
latvsldc000002,"Luật quy định về an toàn lao động, bệnh nghề nghiệp và trách nhiệm của các bên liên quan."
latvsldc000003,"Điều 2 Đối tượng áp dụng
Người lao động làm việc theo hợp đồng lao động; người thử việc; người học nghề, tập nghề để làm việc cho người sử dụng lao động."
latvsldc000004,"Xác định đối tượng chịu sự điều chỉnh của Luật An toàn, vệ sinh lao động."
latvsldc000005,"Điều 2 Đối tượng áp dụng
Người lao động làm việc theo hợp đồng lao động; người thử việc; người học nghề, tập nghề để làm việc cho người sử dụng lao động.
Cán bộ, công chức, viên chức, người thuộc lực lượng vũ trang nhân dân.
Người lao động làm việc không theo hợp đồng lao động.
Người lao động Việt Nam đi làm việc tại nước ngoài theo hợp đồng; người lao động nước ngoài làm việc tại Việt Nam.
Người sử dụng lao động.
Cơ quan, tổ chức và cá nhân khác có liên quan đến công tác an toàn, vệ sinh lao động. Những người quy định tại các khoản 1, 2, 3 và 4 Điều này sau đây gọi chung là người lao động."
latvsldc000006,"Điều 2 Đối tượng áp dụng
Cán bộ, công chức, viên chức, người thuộc lực lượng vũ trang nhân dân."
latvsldc000007,"Xác định đối tượng chịu sự điều chỉnh của Luật An Toàn: cán bộ, công chức, viên chức, lực lượng vũ trang."
latvsldc000008,"Điều 2 Đối tượng áp dụng
Người lao động làm việc không theo hợp đồng lao động."
latvsldc000009,Luật này áp dụng cho người lao động không có hợp đồng lao động.
latvsldc000010,"Điều 2 Đối tượng áp dụng
Người lao động Việt Nam đi làm việc tại nước ngoài theo hợp đồng; người lao động nước ngoài làm việc tại Việt Nam."
latvsldc000011,"Xác định đối tượng áp dụng của Luật An toàn, bao gồm người lao động Việt Nam làm việc ở nước ngoài và người nước ngoài làm việc tại Việt Nam."
latvsldc000012,"Điều 2 Đối tượng áp dụng
Người sử dụng lao động."
latvsldc000013,Luật này quy định về an toàn lao động và đối tượng áp dụng là người sử dụng lao động.
latvsldc000014,"Điều 2 Đối tượng áp dụng
Cơ quan, tổ chức và cá nhân khác có liên quan đến công tác an toàn, vệ sinh lao động. Những người quy định tại các khoản 1, 2, 3 và 4 Điều này sau đây gọi chung là người lao động."
latvsldc000015,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:"
latvsldc000016,Luật An toàn quy định về ý nghĩa của các thuật ngữ chuyên môn.
latvsldc000017,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:
Cơ sở sản xuất, kinh doanh là doanh nghiệp, hợp tác xã, hộ gia đình và các tổ chức hoạt động sản xuất, kinh doanh.
An toàn lao động là giải pháp phòng, chống tác động của các yếu tố nguy hiểm nhằm bảo đảm không xảy ra thương tật, tử vong đối với con người trong quá trình lao động.
Vệ sinh lao động là giải pháp phòng, chống tác động của yếu tố có hại gây bệnh tật, làm suy giảm sức khỏe cho con người trong quá trình lao động.
Yếu tố nguy hiểm là yếu tố gây mất an toàn, làm tổn thương hoặc gây tử vong cho con người trong quá trình lao động.
Yếu tố có hại là yếu tố gây bệnh tật, làm suy giảm sức khỏe con người trong quá trình lao động.
Sự cố kỹ thuật gây mất an toàn, vệ sinh lao động là hư hỏng của máy, thiết bị, vật tư, chất vượt quá giới hạn an toàn kỹ thuật cho phép, xảy ra trong quá trình lao động và gây thiệt hại hoặc có nguy cơ gây thiệt hại cho con người, tài sản và môi trường.
Sự cố kỹ thuật gây mất an toàn, vệ sinh lao động nghiêm trọng là sự cố kỹ thuật gây mất an toàn, vệ sinh lao động lớn, xảy ra trên diện rộng và vượt khả năng ứng phó của cơ sở sản xuất, kinh doanh, cơ quan, tổ chức, địa phương hoặc liên quan đến nhiều cơ sở sản xuất, kinh doanh, địa phương.
Tai nạn lao động là tai nạn gây tổn thương cho bất kỳ bộ phận, chức năng nào của cơ thể hoặc gây tử vong cho người lao động, xảy ra trong quá trình lao động, gắn liền với việc thực hiện công việc, nhiệm vụ lao động.
Bệnh nghề nghiệp là bệnh phát sinh do điều kiện lao động có hại của nghề nghiệp tác động đối với người lao động.
Quan trắc môi trường lao động là hoạt động thu thập, phân tích, đánh giá số liệu đo lường các yếu tố trong môi trường lao động tại nơi làm việc để có biện pháp giảm thiểu tác hại đối với sức khỏe, phòng, chống bệnh nghề nghiệp."
latvsldc000018,"Điều 3 Giải thích từ ngữ
Cơ sở sản xuất, kinh doanh là doanh nghiệp, hợp tác xã, hộ gia đình và các tổ chức hoạt động sản xuất, kinh doanh."
latvsldc000019,"Giải thích khái niệm 'Cơ sở sản xuất, kinh doanh' trong Luật An toàn."
latvsldc000020,"Điều 3 Giải thích từ ngữ
An toàn lao động là giải pháp phòng, chống tác động của các yếu tố nguy hiểm nhằm bảo đảm không xảy ra thương tật, tử vong đối với con người trong quá trình lao động."
latvsldc000021,"Định nghĩa an toàn lao động là việc phòng, chống các yếu tố nguy hiểm để tránh thương vong trong quá trình làm việc."
latvsldc000022,"Điều 3 Giải thích từ ngữ
Vệ sinh lao động là giải pháp phòng, chống tác động của yếu tố có hại gây bệnh tật, làm suy giảm sức khỏe cho con người trong quá trình lao động."
latvsldc000023,"Định nghĩa về vệ sinh lao động trong Luật An toàn, vệ sinh lao động."
latvsldc000024,"Điều 3 Giải thích từ ngữ
Yếu tố nguy hiểm là yếu tố gây mất an toàn, làm tổn thương hoặc gây tử vong cho con người trong quá trình lao động."
latvsldc000025,Định nghĩa về yếu tố nguy hiểm trong Luật An toàn lao động.
latvsldc000026,"Điều 3 Giải thích từ ngữ
Yếu tố có hại là yếu tố gây bệnh tật, làm suy giảm sức khỏe con người trong quá trình lao động."
latvsldc000027,"Định nghĩa về yếu tố có hại trong môi trường lao động, gây ảnh hưởng xấu đến sức khỏe người lao động."
latvsldc000028,"Điều 3 Giải thích từ ngữ
Sự cố kỹ thuật gây mất an toàn, vệ sinh lao động là hư hỏng của máy, thiết bị, vật tư, chất vượt quá giới hạn an toàn kỹ thuật cho phép, xảy ra trong quá trình lao động và gây thiệt hại hoặc có nguy cơ gây thiệt hại cho con người, tài sản và môi trường."
latvsldc000029,"Định nghĩa sự cố kỹ thuật gây mất an toàn, vệ sinh lao động."
latvsldc000030,"Điều 3 Giải thích từ ngữ
Sự cố kỹ thuật gây mất an toàn, vệ sinh lao động nghiêm trọng là sự cố kỹ thuật gây mất an toàn, vệ sinh lao động lớn, xảy ra trên diện rộng và vượt khả năng ứng phó của cơ sở sản xuất, kinh doanh, cơ quan, tổ chức, địa phương hoặc liên quan đến nhiều cơ sở sản xuất, kinh doanh, địa phương."
latvsldc000031,"Định nghĩa về sự cố kỹ thuật nghiêm trọng trong an toàn, vệ sinh lao động."
latvsldc000032,"Điều 3 Giải thích từ ngữ
Tai nạn lao động là tai nạn gây tổn thương cho bất kỳ bộ phận, chức năng nào của cơ thể hoặc gây tử vong cho người lao động, xảy ra trong quá trình lao động, gắn liền với việc thực hiện công việc, nhiệm vụ lao động."
latvsldc000033,Định nghĩa về tai nạn lao động trong Luật An toàn lao động.
latvsldc000034,"Điều 3 Giải thích từ ngữ
Bệnh nghề nghiệp là bệnh phát sinh do điều kiện lao động có hại của nghề nghiệp tác động đối với người lao động."
latvsldc000035,"Định nghĩa bệnh nghề nghiệp trong Luật An toàn, vệ sinh lao động."
latvsldc000036,"Điều 3 Giải thích từ ngữ
Quan trắc môi trường lao động là hoạt động thu thập, phân tích, đánh giá số liệu đo lường các yếu tố trong môi trường lao động tại nơi làm việc để có biện pháp giảm thiểu tác hại đối với sức khỏe, phòng, chống bệnh nghề nghiệp."
latvsldc000037,Định nghĩa về quan trắc môi trường lao động trong Luật An toàn.
latvsldc000038,"Điều 4 Chính sách của Nhà nước về an toàn, vệ sinh lao động
Tạo điều kiện thuận lợi để người sử dụng lao động, người lao động, cơ quan, tổ chức, cá nhân khác có liên quan thực hiện các biện pháp bảo đảm an toàn, vệ sinh lao động trong quá trình lao động; khuyến khích người sử dụng lao động, người lao động áp dụng các tiêu chuẩn kỹ thuật, hệ thống quản lý tiên tiến, hiện đại và áp dụng công nghệ tiên tiến, công nghệ cao, công nghệ thân thiện với môi trường trong quá trình lao động."
latvsldc000039,"Nhà nước khuyến khích và tạo điều kiện để đảm bảo an toàn, vệ sinh lao động."
latvsldc000040,"Điều 4 Chính sách của Nhà nước về an toàn, vệ sinh lao động
Tạo điều kiện thuận lợi để người sử dụng lao động, người lao động, cơ quan, tổ chức, cá nhân khác có liên quan thực hiện các biện pháp bảo đảm an toàn, vệ sinh lao động trong quá trình lao động; khuyến khích người sử dụng lao động, người lao động áp dụng các tiêu chuẩn kỹ thuật, hệ thống quản lý tiên tiến, hiện đại và áp dụng công nghệ tiên tiến, công nghệ cao, công nghệ thân thiện với môi trường trong quá trình lao động.
Đầu tư nghiên cứu, ứng dụng khoa học và công nghệ về an toàn, vệ sinh lao động; hỗ trợ xây dựng phòng thí nghiệm, thử nghiệm đạt chuẩn quốc gia phục vụ an toàn, vệ sinh lao động.
Hỗ trợ phòng ngừa tai nạn lao động, bệnh nghề nghiệp trong các ngành, lĩnh vực có nguy cơ cao về tai nạn lao động, bệnh nghề nghiệp; khuyến khích các tổ chức xây dựng, công bố hoặc sử dụng tiêu chuẩn kỹ thuật tiên tiến, hiện đại về an toàn, vệ sinh lao động trong quá trình lao động.
Hỗ trợ huấn luyện an toàn, vệ sinh lao động cho người lao động làm việc không theo hợp đồng lao động làm các công việc có yêu cầu nghiêm ngặt về an toàn, vệ sinh lao động.
Phát triển đối tượng tham gia bảo hiểm tai nạn lao động tự nguyện; xây dựng cơ chế đóng, hưởng linh hoạt nhằm phòng ngừa, giảm thiểu, khắc phục rủi ro cho người lao động."
latvsldc000041,"Điều 4 Chính sách của Nhà nước về an toàn, vệ sinh lao động
Đầu tư nghiên cứu, ứng dụng khoa học và công nghệ về an toàn, vệ sinh lao động; hỗ trợ xây dựng phòng thí nghiệm, thử nghiệm đạt chuẩn quốc gia phục vụ an toàn, vệ sinh lao động."
latvsldc000042,"Nhà nước ưu tiên đầu tư nghiên cứu khoa học và công nghệ trong lĩnh vực an toàn, vệ sinh lao động."
latvsldc000043,"Điều 4 Chính sách của Nhà nước về an toàn, vệ sinh lao động
Hỗ trợ phòng ngừa tai nạn lao động, bệnh nghề nghiệp trong các ngành, lĩnh vực có nguy cơ cao về tai nạn lao động, bệnh nghề nghiệp; khuyến khích các tổ chức xây dựng, công bố hoặc sử dụng tiêu chuẩn kỹ thuật tiên tiến, hiện đại về an toàn, vệ sinh lao động trong quá trình lao động."
latvsldc000044,Nhà nước hỗ trợ phòng ngừa rủi ro và khuyến khích áp dụng tiêu chuẩn an toàn tiên tiến.
latvsldc000045,"Điều 4 Chính sách của Nhà nước về an toàn, vệ sinh lao động
Hỗ trợ huấn luyện an toàn, vệ sinh lao động cho người lao động làm việc không theo hợp đồng lao động làm các công việc có yêu cầu nghiêm ngặt về an toàn, vệ sinh lao động."
latvsldc000046,Nhà nước hỗ trợ huấn luyện an toàn lao động cho lao động tự do làm công việc nguy hiểm.
latvsldc000047,"Điều 4 Chính sách của Nhà nước về an toàn, vệ sinh lao động
Phát triển đối tượng tham gia bảo hiểm tai nạn lao động tự nguyện; xây dựng cơ chế đóng, hưởng linh hoạt nhằm phòng ngừa, giảm thiểu, khắc phục rủi ro cho người lao động."
latvsldc000048,"Nhà nước khuyến khích bảo hiểm tai nạn lao động tự nguyện, tạo điều kiện linh hoạt cho người lao động."
latvsldc000049,"Điều 5 Nguyên tắc bảo đảm an toàn, vệ sinh lao động
Bảo đảm quyền của người lao động được làm việc trong điều kiện an toàn, vệ sinh lao động."
