question_id,corpus_id
hsq000001,hsc000001
hsq000001,hsc000002
hsq000001,hsc000003
hsq000002,hsc000001
hsq000002,hsc000002
hsq000002,hsc000003
hsq000003,hsc000001
hsq000003,hsc000002
hsq000003,hsc000003
hsq000004,hsc000001
hsq000004,hsc000002
hsq000004,hsc000003
hsq000005,hsc000001
hsq000005,hsc000002
hsq000005,hsc000003
hsq000006,hsc000004
hsq000006,hsc000005
hsq000006,hsc000003
hsq000007,hsc000004
hsq000007,hsc000005
hsq000007,hsc000003
hsq000008,hsc000004
hsq000008,hsc000005
hsq000008,hsc000003
hsq000009,hsc000004
hsq000009,hsc000005
hsq000009,hsc000003
hsq000010,hsc000004
hsq000010,hsc000005
hsq000010,hsc000003
hsq000011,hsc000006
hsq000011,hsc000007
hsq000011,hsc000008
hsq000012,hsc000006
hsq000012,hsc000007
hsq000012,hsc000008
hsq000013,hsc000006
hsq000013,hsc000007
hsq000013,hsc000008
hsq000014,hsc000006
hsq000014,hsc000007
hsq000014,hsc000008
hsq000015,hsc000006
hsq000015,hsc000007
hsq000015,hsc000008
hsq000016,hsc000009
hsq000016,hsc000010
hsq000016,hsc000008
hsq000017,hsc000009
hsq000017,hsc000010
hsq000017,hsc000008
hsq000018,hsc000009
hsq000018,hsc000010
hsq000018,hsc000008
hsq000019,hsc000009
hsq000019,hsc000010
hsq000019,hsc000008
hsq000020,hsc000009
hsq000020,hsc000010
hsq000020,hsc000008
hsq000021,hsc000011
hsq000021,hsc000012
hsq000021,hsc000013
hsq000022,hsc000011
hsq000022,hsc000012
hsq000022,hsc000013
hsq000023,hsc000011
hsq000023,hsc000012
hsq000023,hsc000013
hsq000024,hsc000011
hsq000024,hsc000012
hsq000024,hsc000013
hsq000025,hsc000011
hsq000025,hsc000012
hsq000025,hsc000013
hsq000026,hsc000014
hsq000026,hsc000015
hsq000026,hsc000013
hsq000027,hsc000014
hsq000027,hsc000015
hsq000027,hsc000013
hsq000028,hsc000014
hsq000028,hsc000015
hsq000028,hsc000013
hsq000029,hsc000014
hsq000029,hsc000015
hsq000029,hsc000013
hsq000030,hsc000014
hsq000030,hsc000015
hsq000030,hsc000013
hsq000031,hsc000016
hsq000031,hsc000017
hsq000031,hsc000013
hsq000032,hsc000016
hsq000032,hsc000017
hsq000032,hsc000013
hsq000033,hsc000016
hsq000033,hsc000017
hsq000033,hsc000013
hsq000034,hsc000016
hsq000034,hsc000017
hsq000034,hsc000013
hsq000035,hsc000016
hsq000035,hsc000017
hsq000035,hsc000013
hsq000036,hsc000018
hsq000036,hsc000019
hsq000036,hsc000013
hsq000037,hsc000018
hsq000037,hsc000019
hsq000037,hsc000013
hsq000038,hsc000018
hsq000038,hsc000019
hsq000038,hsc000013
hsq000039,hsc000018
hsq000039,hsc000019
hsq000039,hsc000013
hsq000040,hsc000018
hsq000040,hsc000019
hsq000040,hsc000013
hsq000041,hsc000020
hsq000041,hsc000021
hsq000041,hsc000013
hsq000042,hsc000020
hsq000042,hsc000021
