question_id,corpus_id
lvlq000001,lvlc000001
lvlq000001,lvlc000002
lvlq000002,lvlc000001
lvlq000002,lvlc000002
lvlq000003,lvlc000001
lvlq000003,lvlc000002
lvlq000004,lvlc000001
lvlq000004,lvlc000002
lvlq000005,lvlc000001
lvlq000005,lvlc000002
lvlq000006,lvlc000003
lvlq000006,lvlc000004
lvlq000007,lvlc000003
lvlq000007,lvlc000004
lvlq000008,lvlc000003
lvlq000008,lvlc000004
lvlq000009,lvlc000003
lvlq000009,lvlc000004
lvlq000010,lvlc000003
lvlq000010,lvlc000004
lvlq000011,lvlc000005
lvlq000011,lvlc000006
lvlq000011,lvlc000007
lvlq000012,lvlc000005
lvlq000012,lvlc000006
lvlq000012,lvlc000007
lvlq000013,lvlc000005
lvlq000013,lvlc000006
lvlq000013,lvlc000007
lvlq000014,lvlc000005
lvlq000014,lvlc000006
lvlq000014,lvlc000007
lvlq000015,lvlc000005
lvlq000015,lvlc000006
lvlq000015,lvlc000007
lvlq000016,lvlc000008
lvlq000016,lvlc000009
lvlq000016,lvlc000007
lvlq000017,lvlc000008
lvlq000017,lvlc000009
lvlq000017,lvlc000007
lvlq000018,lvlc000008
lvlq000018,lvlc000009
lvlq000018,lvlc000007
lvlq000019,lvlc000008
lvlq000019,lvlc000009
lvlq000019,lvlc000007
lvlq000020,lvlc000008
lvlq000020,lvlc000009
lvlq000020,lvlc000007
lvlq000021,lvlc000010
lvlq000021,lvlc000011
lvlq000021,lvlc000007
lvlq000022,lvlc000010
lvlq000022,lvlc000011
lvlq000022,lvlc000007
lvlq000023,lvlc000010
lvlq000023,lvlc000011
lvlq000023,lvlc000007
lvlq000024,lvlc000010
lvlq000024,lvlc000011
lvlq000024,lvlc000007
lvlq000025,lvlc000010
lvlq000025,lvlc000011
lvlq000025,lvlc000007
lvlq000026,lvlc000012
lvlq000026,lvlc000013
lvlq000026,lvlc000007
lvlq000027,lvlc000012
lvlq000027,lvlc000013
lvlq000027,lvlc000007
lvlq000028,lvlc000012
lvlq000028,lvlc000013
lvlq000028,lvlc000007
lvlq000029,lvlc000012
lvlq000029,lvlc000013
lvlq000029,lvlc000007
lvlq000030,lvlc000012
lvlq000030,lvlc000013
lvlq000030,lvlc000007
lvlq000031,lvlc000014
lvlq000031,lvlc000015
lvlq000031,lvlc000007
lvlq000032,lvlc000014
lvlq000032,lvlc000015
lvlq000032,lvlc000007
lvlq000033,lvlc000014
lvlq000033,lvlc000015
lvlq000033,lvlc000007
lvlq000034,lvlc000014
lvlq000034,lvlc000015
lvlq000034,lvlc000007
lvlq000035,lvlc000014
lvlq000035,lvlc000015
lvlq000035,lvlc000007
lvlq000036,lvlc000016
lvlq000036,lvlc000017
lvlq000036,lvlc000007
lvlq000037,lvlc000016
lvlq000037,lvlc000017
lvlq000037,lvlc000007
lvlq000038,lvlc000016
lvlq000038,lvlc000017
lvlq000038,lvlc000007
lvlq000039,lvlc000016
lvlq000039,lvlc000017
lvlq000039,lvlc000007
lvlq000040,lvlc000016
lvlq000040,lvlc000017
lvlq000040,lvlc000007
lvlq000041,lvlc000018
lvlq000041,lvlc000019
lvlq000041,lvlc000020
lvlq000042,lvlc000018
lvlq000042,lvlc000019
lvlq000042,lvlc000020
lvlq000043,lvlc000018
lvlq000043,lvlc000019
lvlq000043,lvlc000020
lvlq000044,lvlc000018
lvlq000044,lvlc000019
lvlq000044,lvlc000020
lvlq000045,lvlc000018
lvlq000045,lvlc000019
lvlq000045,lvlc000020
lvlq000046,lvlc000021
lvlq000046,lvlc000022
lvlq000046,lvlc000020
lvlq000047,lvlc000021
lvlq000047,lvlc000022
lvlq000047,lvlc000020
lvlq000048,lvlc000021
lvlq000048,lvlc000022
lvlq000048,lvlc000020
lvlq000049,lvlc000021
lvlq000049,lvlc000022
lvlq000049,lvlc000020
lvlq000050,lvlc000021
lvlq000050,lvlc000022
lvlq000050,lvlc000020
lvlq000051,lvlc000023
lvlq000051,lvlc000024
lvlq000051,lvlc000020
lvlq000052,lvlc000023
lvlq000052,lvlc000024
lvlq000052,lvlc000020
lvlq000053,lvlc000023
lvlq000053,lvlc000024
lvlq000053,lvlc000020
lvlq000054,lvlc000023
lvlq000054,lvlc000024
lvlq000054,lvlc000020
lvlq000055,lvlc000023
lvlq000055,lvlc000024
lvlq000055,lvlc000020
lvlq000056,lvlc000025
lvlq000056,lvlc000026
lvlq000056,lvlc000027
lvlq000057,lvlc000025
lvlq000057,lvlc000026
lvlq000057,lvlc000027
lvlq000058,lvlc000025
lvlq000058,lvlc000026
lvlq000058,lvlc000027
lvlq000059,lvlc000025
lvlq000059,lvlc000026
lvlq000059,lvlc000027
lvlq000060,lvlc000025
lvlq000060,lvlc000026
lvlq000060,lvlc000027
lvlq000061,lvlc000028
lvlq000061,lvlc000029
lvlq000061,lvlc000027
lvlq000062,lvlc000028
lvlq000062,lvlc000029
lvlq000062,lvlc000027
lvlq000063,lvlc000028
lvlq000063,lvlc000029
lvlq000063,lvlc000027
lvlq000064,lvlc000028
lvlq000064,lvlc000029
lvlq000064,lvlc000027
lvlq000065,lvlc000028
lvlq000065,lvlc000029
lvlq000065,lvlc000027
lvlq000066,lvlc000030
lvlq000066,lvlc000031
lvlq000066,lvlc000027
lvlq000067,lvlc000030
lvlq000067,lvlc000031
lvlq000067,lvlc000027
lvlq000068,lvlc000030
lvlq000068,lvlc000031
lvlq000068,lvlc000027
lvlq000069,lvlc000030
lvlq000069,lvlc000031
lvlq000069,lvlc000027
lvlq000070,lvlc000030
lvlq000070,lvlc000031
lvlq000070,lvlc000027
lvlq000071,lvlc000032
lvlq000071,lvlc000033
lvlq000071,lvlc000027
lvlq000072,lvlc000032
lvlq000072,lvlc000033
lvlq000072,lvlc000027
lvlq000073,lvlc000032
lvlq000073,lvlc000033
lvlq000073,lvlc000027
lvlq000074,lvlc000032
lvlq000074,lvlc000033
lvlq000074,lvlc000027
lvlq000075,lvlc000032
lvlq000075,lvlc000033
lvlq000075,lvlc000027
lvlq000076,lvlc000034
lvlq000076,lvlc000035
lvlq000076,lvlc000027
lvlq000077,lvlc000034
lvlq000077,lvlc000035
lvlq000077,lvlc000027
lvlq000078,lvlc000034
lvlq000078,lvlc000035
lvlq000078,lvlc000027
lvlq000079,lvlc000034
lvlq000079,lvlc000035
lvlq000079,lvlc000027
lvlq000080,lvlc000034
lvlq000080,lvlc000035
lvlq000080,lvlc000027
lvlq000081,lvlc000036
lvlq000081,lvlc000037
lvlq000081,lvlc000027
lvlq000082,lvlc000036
lvlq000082,lvlc000037
lvlq000082,lvlc000027
lvlq000083,lvlc000036
lvlq000083,lvlc000037
lvlq000083,lvlc000027
lvlq000084,lvlc000036
lvlq000084,lvlc000037
lvlq000084,lvlc000027
lvlq000085,lvlc000036
lvlq000085,lvlc000037
lvlq000085,lvlc000027
lvlq000086,lvlc000038
lvlq000086,lvlc000039
lvlq000086,lvlc000040
lvlq000087,lvlc000038
lvlq000087,lvlc000039
lvlq000087,lvlc000040
lvlq000088,lvlc000038
lvlq000088,lvlc000039
lvlq000088,lvlc000040
lvlq000089,lvlc000038
lvlq000089,lvlc000039
lvlq000089,lvlc000040
lvlq000090,lvlc000038
lvlq000090,lvlc000039
lvlq000090,lvlc000040
lvlq000091,lvlc000041
lvlq000091,lvlc000042
lvlq000091,lvlc000040
lvlq000092,lvlc000041
lvlq000092,lvlc000042
lvlq000092,lvlc000040
lvlq000093,lvlc000041
lvlq000093,lvlc000042
lvlq000093,lvlc000040
lvlq000094,lvlc000041
lvlq000094,lvlc000042
lvlq000094,lvlc000040
lvlq000095,lvlc000041
lvlq000095,lvlc000042
lvlq000095,lvlc000040
lvlq000096,lvlc000043
lvlq000096,lvlc000044
lvlq000096,lvlc000040
lvlq000097,lvlc000043
lvlq000097,lvlc000044
lvlq000097,lvlc000040
lvlq000098,lvlc000043
lvlq000098,lvlc000044
lvlq000098,lvlc000040
lvlq000099,lvlc000043
lvlq000099,lvlc000044
lvlq000099,lvlc000040
lvlq000100,lvlc000043
lvlq000100,lvlc000044
lvlq000100,lvlc000040
lvlq000101,lvlc000045
lvlq000101,lvlc000046
lvlq000101,lvlc000040
lvlq000102,lvlc000045
lvlq000102,lvlc000046
lvlq000102,lvlc000040
lvlq000103,lvlc000045
lvlq000103,lvlc000046
lvlq000103,lvlc000040
lvlq000104,lvlc000045
lvlq000104,lvlc000046
lvlq000104,lvlc000040
lvlq000105,lvlc000045
lvlq000105,lvlc000046
lvlq000105,lvlc000040
lvlq000106,lvlc000047
lvlq000106,lvlc000048
lvlq000106,lvlc000040
lvlq000107,lvlc000047
lvlq000107,lvlc000048
lvlq000107,lvlc000040
lvlq000108,lvlc000047
lvlq000108,lvlc000048
lvlq000108,lvlc000040
lvlq000109,lvlc000047
lvlq000109,lvlc000048
lvlq000109,lvlc000040
lvlq000110,lvlc000047
lvlq000110,lvlc000048
lvlq000110,lvlc000040
lvlq000111,lvlc000049
lvlq000111,lvlc000050
lvlq000111,lvlc000040
lvlq000112,lvlc000049
lvlq000112,lvlc000050
lvlq000112,lvlc000040
lvlq000113,lvlc000049
lvlq000113,lvlc000050
lvlq000113,lvlc000040
lvlq000114,lvlc000049
lvlq000114,lvlc000050
lvlq000114,lvlc000040
lvlq000115,lvlc000049
lvlq000115,lvlc000050
lvlq000115,lvlc000040
lvlq000116,lvlc000051
lvlq000116,lvlc000052
lvlq000116,lvlc000053
lvlq000117,lvlc000051
lvlq000117,lvlc000052
lvlq000117,lvlc000053
lvlq000118,lvlc000051
lvlq000118,lvlc000052
lvlq000118,lvlc000053
lvlq000119,lvlc000051
lvlq000119,lvlc000052
lvlq000119,lvlc000053
lvlq000120,lvlc000051
lvlq000120,lvlc000052
lvlq000120,lvlc000053
lvlq000121,lvlc000054
lvlq000121,lvlc000055
lvlq000121,lvlc000053
lvlq000122,lvlc000054
lvlq000122,lvlc000055
lvlq000122,lvlc000053
lvlq000123,lvlc000054
lvlq000123,lvlc000055
lvlq000123,lvlc000053
lvlq000124,lvlc000054
lvlq000124,lvlc000055
lvlq000124,lvlc000053
lvlq000125,lvlc000054
lvlq000125,lvlc000055
lvlq000125,lvlc000053
lvlq000126,lvlc000056
lvlq000126,lvlc000057
lvlq000126,lvlc000053
lvlq000127,lvlc000056
lvlq000127,lvlc000057
lvlq000127,lvlc000053
lvlq000128,lvlc000056
lvlq000128,lvlc000057
lvlq000128,lvlc000053
lvlq000129,lvlc000056
lvlq000129,lvlc000057
lvlq000129,lvlc000053
lvlq000130,lvlc000056
lvlq000130,lvlc000057
lvlq000130,lvlc000053
lvlq000131,lvlc000058
lvlq000131,lvlc000059
lvlq000131,lvlc000060
lvlq000132,lvlc000058
lvlq000132,lvlc000059
lvlq000132,lvlc000060
lvlq000133,lvlc000058
lvlq000133,lvlc000059
lvlq000133,lvlc000060
lvlq000134,lvlc000058
lvlq000134,lvlc000059
lvlq000134,lvlc000060
lvlq000135,lvlc000058
lvlq000135,lvlc000059
lvlq000135,lvlc000060
lvlq000136,lvlc000061
lvlq000136,lvlc000062
lvlq000136,lvlc000060
lvlq000137,lvlc000061
lvlq000137,lvlc000062
lvlq000137,lvlc000060
lvlq000138,lvlc000061
lvlq000138,lvlc000062
lvlq000138,lvlc000060
lvlq000139,lvlc000061
lvlq000139,lvlc000062
lvlq000139,lvlc000060
lvlq000140,lvlc000061
lvlq000140,lvlc000062
lvlq000140,lvlc000060
lvlq000141,lvlc000063
lvlq000141,lvlc000064
lvlq000141,lvlc000060
lvlq000142,lvlc000063
lvlq000142,lvlc000064
lvlq000142,lvlc000060
lvlq000143,lvlc000063
lvlq000143,lvlc000064
lvlq000143,lvlc000060
lvlq000144,lvlc000063
lvlq000144,lvlc000064
lvlq000144,lvlc000060
lvlq000145,lvlc000063
lvlq000145,lvlc000064
lvlq000145,lvlc000060
lvlq000146,lvlc000065
lvlq000146,lvlc000066
lvlq000146,lvlc000067
lvlq000147,lvlc000065
lvlq000147,lvlc000066
lvlq000147,lvlc000067
lvlq000148,lvlc000065
lvlq000148,lvlc000066
lvlq000148,lvlc000067
lvlq000149,lvlc000065
lvlq000149,lvlc000066
lvlq000149,lvlc000067
lvlq000150,lvlc000065
lvlq000150,lvlc000066
lvlq000150,lvlc000067
lvlq000151,lvlc000068
lvlq000151,lvlc000069
lvlq000151,lvlc000067
lvlq000152,lvlc000068
lvlq000152,lvlc000069
lvlq000152,lvlc000067
lvlq000153,lvlc000068
lvlq000153,lvlc000069
lvlq000153,lvlc000067
lvlq000154,lvlc000068
lvlq000154,lvlc000069
lvlq000154,lvlc000067
lvlq000155,lvlc000068
lvlq000155,lvlc000069
lvlq000155,lvlc000067
lvlq000156,lvlc000070
lvlq000156,lvlc000071
lvlq000156,lvlc000067
lvlq000157,lvlc000070
lvlq000157,lvlc000071
lvlq000157,lvlc000067
lvlq000158,lvlc000070
lvlq000158,lvlc000071
lvlq000158,lvlc000067
lvlq000159,lvlc000070
lvlq000159,lvlc000071
lvlq000159,lvlc000067
lvlq000160,lvlc000070
lvlq000160,lvlc000071
lvlq000160,lvlc000067
lvlq000161,lvlc000072
lvlq000161,lvlc000073
lvlq000161,lvlc000067
lvlq000162,lvlc000072
lvlq000162,lvlc000073
lvlq000162,lvlc000067
lvlq000163,lvlc000072
lvlq000163,lvlc000073
lvlq000163,lvlc000067
lvlq000164,lvlc000072
lvlq000164,lvlc000073
lvlq000164,lvlc000067
lvlq000165,lvlc000072
lvlq000165,lvlc000073
lvlq000165,lvlc000067
lvlq000166,lvlc000074
lvlq000166,lvlc000075
lvlq000166,lvlc000067
lvlq000167,lvlc000074
lvlq000167,lvlc000075
lvlq000167,lvlc000067
lvlq000168,lvlc000074
lvlq000168,lvlc000075
lvlq000168,lvlc000067
lvlq000169,lvlc000074
lvlq000169,lvlc000075
lvlq000169,lvlc000067
lvlq000170,lvlc000074
lvlq000170,lvlc000075
lvlq000170,lvlc000067
lvlq000171,lvlc000076
lvlq000171,lvlc000077
lvlq000171,lvlc000067
lvlq000172,lvlc000076
lvlq000172,lvlc000077
lvlq000172,lvlc000067
lvlq000173,lvlc000076
lvlq000173,lvlc000077
lvlq000173,lvlc000067
lvlq000174,lvlc000076
lvlq000174,lvlc000077
lvlq000174,lvlc000067
lvlq000175,lvlc000076
lvlq000175,lvlc000077
lvlq000175,lvlc000067
lvlq000176,lvlc000078
lvlq000176,lvlc000079
lvlq000177,lvlc000078
lvlq000177,lvlc000079
lvlq000178,lvlc000078
lvlq000178,lvlc000079
lvlq000179,lvlc000078
lvlq000179,lvlc000079
