question_id,question
lbhxhq000001,"Luật này có áp dụng cho tất cả các loại hình bảo hiểm, bao gồm cả bảo hiểm nhân thọ không?"
lbhxhq000002,Tôi muốn biết luật này quy định về những khía cạnh nào của bảo hiểm xã hội?
lbhxhq000003,"Công ty X không đóng BHXH cho nhân viên. Hành vi này có vi phạm pháp luật không, và nếu có thì sẽ bị xử lý như thế nào?"
lbhxhq000004,"Hiểu thế nào về cụm từ 'chế độ, chính sách bảo hiểm xã hội' được đề cập trong luật?"
lbhxhq000005,Luật này quy định về những đối tượng nào có quyền và trách nhiệm liên quan đến bảo hiểm xã hội?
lbhxhq000006,Nếu tôi làm việc theo hợp đồng thử việc 2 tháng thì có phải đóng bảo hiểm xã hội không?
lbhxhq000007,Những loại hợp đồng lao động nào bắt buộc người lao động phải tham gia bảo hiểm xã hội?
lbhxhq000008,"Anh A ký hợp đồng lao động 11 tháng với công ty X. Sau đó, công ty X yêu cầu anh A tự đóng bảo hiểm xã hội vì cho rằng đây là hợp đồng ngắn hạn. Điều này có đúng không?"
lbhxhq000009,Thế nào là 'Hợp đồng lao động theo mùa vụ hoặc theo một công việc nhất định'?
lbhxhq000010,Luật Bảo hiểm xã hội quy định như thế nào về thời hạn tối thiểu của hợp đồng lao động để người lao động phải tham gia bảo hiểm xã hội bắt buộc?
lbhxhq000011,"Tôi ký hợp đồng 2 tháng với công ty, vậy tôi có phải đóng bảo hiểm xã hội không?"
lbhxhq000012,Nếu công ty không đóng bảo hiểm xã hội cho tôi khi tôi làm hợp đồng 2 tháng thì tôi phải làm gì?
lbhxhq000013,"Anh A làm việc theo hợp đồng thời vụ 1 tháng và được công ty trả lương trọn gói (bao gồm cả tiền BHXH). Đến khi bị ốm, anh A không được hưởng chế độ ốm đau. Như vậy có đúng luật không?"
lbhxhq000014,Thế nào là 'bảo hiểm xã hội bắt buộc'?
lbhxhq000015,Điều luật nào quy định người lao động có hợp đồng dưới 3 tháng phải tham gia BHXH bắt buộc?
lbhxhq000016,Một người Việt Nam làm việc theo hợp đồng lao động thời vụ có bắt buộc phải tham gia bảo hiểm xã hội không?
lbhxhq000017,"Tôi là công chức mới vào làm, vậy thủ tục tham gia bảo hiểm xã hội bắt buộc như thế nào?"
lbhxhq000018,"Anh A là cán bộ xã, do hoàn cảnh gia đình khó khăn nên muốn tự đóng bảo hiểm xã hội tự nguyện thay vì bắt buộc. Điều này có được không?"
lbhxhq000019,Thế nào là 'bảo hiểm xã hội bắt buộc'?
lbhxhq000020,Điều luật nào quy định cán bộ là đối tượng tham gia bảo hiểm xã hội bắt buộc?
lbhxhq000021,Một người Việt Nam làm việc theo hợp đồng lao động thời vụ có bắt buộc phải tham gia bảo hiểm xã hội không?
lbhxhq000022,Nếu tôi là công nhân quốc phòng thì việc tham gia bảo hiểm xã hội của tôi được thực hiện như thế nào?
lbhxhq000023,"Ông B là công an viên xã, theo quy định thì ông B có phải tham gia bảo hiểm xã hội bắt buộc không?"
lbhxhq000024,Thế nào là 'người làm công tác khác trong tổ chức cơ yếu' thuộc đối tượng tham gia BHXH bắt buộc?
lbhxhq000025,Luật Bảo hiểm xã hội quy định những ai là đối tượng tham gia bảo hiểm xã hội bắt buộc?
lbhxhq000026,Một người đang là hạ sĩ quan công an nhân dân có bắt buộc phải tham gia bảo hiểm xã hội không?
lbhxhq000027,Những ai trong lực lượng vũ trang và công an sẽ thuộc diện đóng bảo hiểm xã hội bắt buộc?
lbhxhq000028,"Anh A là nhân viên văn phòng làm việc trong một đơn vị quân đội, không phải là quân nhân. Hỏi anh A có thuộc đối tượng tham gia BHXH bắt buộc theo điều này không?"
lbhxhq000029,Thế nào là 'người làm công tác cơ yếu hưởng lương như đối với quân nhân'?
lbhxhq000030,Điều luật nào quy định sĩ quan công an phải tham gia bảo hiểm xã hội?
lbhxhq000031,Một người đang thực hiện nghĩa vụ quân sự có bắt buộc phải tham gia bảo hiểm xã hội không?
lbhxhq000032,Những ai trong lực lượng công an nhân dân bắt buộc phải tham gia bảo hiểm xã hội?
lbhxhq000033,"Anh A là học viên sĩ quan tại một trường quân đội, hàng tháng anh được nhận sinh hoạt phí. Vậy anh A có thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc không?"
lbhxhq000034,"Thế nào là 'học viên quân đội, công an, cơ yếu đang theo học được hưởng sinh hoạt phí' trong ngữ cảnh này?"
lbhxhq000035,Luật quy định cụ thể những đối tượng nào trong quân đội nhân dân thuộc diện tham gia bảo hiểm xã hội bắt buộc?
lbhxhq000036,"Nếu tôi là người Việt Nam đi làm việc tại Nhật Bản theo diện thực tập sinh kỹ năng, tôi có bắt buộc phải đóng bảo hiểm xã hội ở Việt Nam không?"
lbhxhq000037,"Tôi là người đi xuất khẩu lao động, vậy thủ tục đóng bảo hiểm xã hội bắt buộc như thế nào?"
lbhxhq000038,Anh A đi làm việc tại Hàn Quốc theo hợp đồng lao động có thời hạn 3 năm. Công ty phái cử nói rằng anh A không cần đóng BHXH ở Việt Nam vì đã có bảo hiểm bên Hàn Quốc. Điều này có đúng không?
lbhxhq000039,Thế nào là 'người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng' để thuộc đối tượng đóng bảo hiểm xã hội bắt buộc?
lbhxhq000040,Điều luật nào quy định người lao động đi làm việc ở nước ngoài phải tham gia bảo hiểm xã hội?
lbhxhq000041,"Tôi là chủ một công ty TNHH, tự trả lương cho mình hàng tháng, vậy tôi có phải đóng bảo hiểm xã hội bắt buộc không?"
lbhxhq000042,"Nếu tôi là người quản lý một hợp tác xã, tôi cần làm gì để tham gia bảo hiểm xã hội?"
lbhxhq000043,"Ông A là giám đốc một công ty cổ phần, nhận lương cố định hàng tháng. Công ty không đóng BHXH cho ông A với lý do ông là 'người đại diện pháp luật'. Điều này có đúng không?"
lbhxhq000044,Thế nào là 'người quản lý doanh nghiệp' theo Luật Bảo hiểm Xã hội?
lbhxhq000045,Điều luật nào quy định người quản lý doanh nghiệp phải tham gia bảo hiểm xã hội bắt buộc?
lbhxhq000046,"Nếu tôi là người nước ngoài làm việc tại phường, tôi có bắt buộc phải tham gia bảo hiểm xã hội không?"
lbhxhq000047,"Những ai được coi là 'người hoạt động không chuyên trách' ở xã, phường, thị trấn và có nghĩa vụ tham gia BHXH?"
lbhxhq000048,"Ông T làm công việc bảo vệ tại UBND xã, có hợp đồng lao động và được trả lương hàng tháng. Ông T có thuộc đối tượng tham gia BHXH bắt buộc không?"
lbhxhq000049,Thế nào là 'bảo hiểm xã hội bắt buộc'?
lbhxhq000050,"Điều luật nào quy định người hoạt động không chuyên trách ở xã, phường, thị trấn phải tham gia BHXH bắt buộc?"
lbhxhq000051,Một người nước ngoài làm việc tại Việt Nam mà không có giấy phép lao động thì có phải đóng bảo hiểm xã hội không?
lbhxhq000052,Người nước ngoài cần những giấy tờ gì để có thể tham gia bảo hiểm xã hội ở Việt Nam?
lbhxhq000053,"Ông A là kỹ sư người Nhật Bản làm việc tại một công ty xây dựng ở Hà Nội với giấy phép lao động hợp lệ. Tuy nhiên, công ty này không đóng BHXH cho ông A. Hành vi này có đúng luật không?"
lbhxhq000054,Thế nào là 'chứng chỉ hành nghề' được đề cập trong điều luật này?
lbhxhq000055,Điều kiện để lao động nước ngoài thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc được quy định như thế nào?
lbhxhq000056,"Một công ty TNHH thuê 3 người lao động theo hợp đồng lao động có thời hạn 6 tháng, vậy công ty này có bắt buộc phải đóng bảo hiểm xã hội cho người lao động không?"
lbhxhq000057,Tôi là chủ một hộ kinh doanh cá thể có thuê 2 nhân viên làm việc toàn thời gian. Vậy tôi cần làm gì để thực hiện đúng nghĩa vụ đóng bảo hiểm xã hội cho nhân viên của mình?
lbhxhq000058,Một tổ chức phi chính phủ nước ngoài hoạt động tại Việt Nam thuê một số người Việt Nam làm việc theo hợp đồng lao động. Tổ chức này cho rằng họ không phải đóng bảo hiểm xã hội cho người lao động vì là tổ chức nước ngoài. Điều này có đúng không?
lbhxhq000059,Thế nào là 'người sử dụng lao động tham gia bảo hiểm xã hội bắt buộc'?
lbhxhq000060,"Theo Luật Bảo hiểm xã hội, những loại hình tổ chức nào được xem là 'người sử dụng lao động' phải tham gia BHXH bắt buộc?"
lbhxhq000061,"Tôi 14 tuổi, có được phép đóng bảo hiểm xã hội tự nguyện không?"
lbhxhq000062,Những ai có thể tham gia bảo hiểm xã hội tự nguyện?
lbhxhq000063,"Anh T là nhân viên văn phòng, công ty đã đóng bảo hiểm xã hội bắt buộc cho anh. Anh T muốn tham gia thêm bảo hiểm xã hội tự nguyện để tăng quyền lợi khi về già, có được không?"
lbhxhq000064,Thế nào là bảo hiểm xã hội tự nguyện?
lbhxhq000065,Luật quy định độ tuổi tối thiểu để tham gia bảo hiểm xã hội tự nguyện là bao nhiêu?
lbhxhq000066,"Luật Bảo hiểm xã hội này có áp dụng cho công ty tôi không, khi công ty tôi đang thực hiện chế độ bảo hiểm tư nhân cho nhân viên?"
lbhxhq000067,Những ai được coi là 'người lao động' theo Luật Bảo hiểm xã hội?
lbhxhq000068,Ông A là chủ một doanh nghiệp tư nhân. Ông có bắt buộc phải tham gia bảo hiểm xã hội không?
lbhxhq000069,"Thế nào là 'cơ quan, tổ chức' có liên quan đến bảo hiểm xã hội?"
lbhxhq000070,Điều nào trong Luật Bảo hiểm xã hội quy định về đối tượng được gọi chung là 'người lao động'?
lbhxhq000071,"Tôi thấy nhiều từ ngữ chuyên môn trong luật bảo hiểm xã hội quá, luật này có giải thích nghĩa của các từ đó không?"
lbhxhq000072,"Nếu tôi không hiểu một thuật ngữ trong Luật Bảo hiểm xã hội, tôi nên tìm kiếm thông tin ở đâu?"
lbhxhq000073,"Ông A và bà B tranh cãi về ý nghĩa của cụm từ 'thời gian đóng bảo hiểm xã hội' trong trường hợp của bà B. Theo ông A, chỉ thời gian đóng BHXH bắt buộc mới được tính. Vậy cách giải thích của ông A có đúng không?"
lbhxhq000074,Mục đích của việc giải thích từ ngữ trong Luật Bảo hiểm xã hội là gì?
lbhxhq000075,Luật Bảo hiểm xã hội quy định về giải thích từ ngữ ở điều nào?
lbhxhq000076,Nếu tôi tự nguyện không tham gia bảo hiểm xã hội thì có được không?
lbhxhq000077,Những trường hợp nào thì người lao động được hưởng bảo hiểm xã hội?
lbhxhq000078,Anh A bị tai nạn giao thông trên đường đi làm về. Vậy anh A có được hưởng bảo hiểm xã hội không?
lbhxhq000079,Thế nào là 'thay thế hoặc bù đắp một phần thu nhập' trong bảo hiểm xã hội?
lbhxhq000080,Luật Bảo hiểm xã hội định nghĩa bảo hiểm xã hội như thế nào?
lbhxhq000081,Nếu tôi làm việc theo hợp đồng thời vụ dưới 3 tháng thì có phải đóng bảo hiểm xã hội không?
lbhxhq000082,"Vậy nếu công ty cố tình lách luật, không đóng bảo hiểm xã hội cho tôi thì tôi phải làm gì?"
lbhxhq000083,"Ông A là chủ một doanh nghiệp tư nhân, trốn đóng bảo hiểm xã hội cho nhân viên để tăng lợi nhuận. Hành vi này có vi phạm pháp luật không?"
lbhxhq000084,Bản chất của 'bảo hiểm xã hội bắt buộc' là gì?
lbhxhq000085,Điều nào trong Luật Bảo hiểm xã hội quy định rõ về việc người sử dụng lao động phải tham gia bảo hiểm xã hội cho người lao động?
lbhxhq000086,"Tôi là lao động tự do, vậy tôi có thể tham gia bảo hiểm xã hội không?"
lbhxhq000087,Tôi muốn tham gia bảo hiểm xã hội tự nguyện thì cần tìm hiểu những thông tin gì?
lbhxhq000088,"Anh A là một người làm nghề tự do, thu nhập bấp bênh. Anh muốn tham gia bảo hiểm xã hội để có lương hưu sau này nhưng lo lắng không đủ khả năng đóng. Vậy anh A có được nhà nước hỗ trợ không?"
lbhxhq000089,Bảo hiểm xã hội tự nguyện khác gì so với bảo hiểm xã hội bắt buộc?
lbhxhq000090,Điều luật nào giải thích về quyền lợi của người tham gia bảo hiểm xã hội tự nguyện?
lbhxhq000091,Quỹ bảo hiểm xã hội có phải là một phần của ngân sách nhà nước không?
lbhxhq000092,Quỹ bảo hiểm xã hội được hình thành từ những nguồn nào?
lbhxhq000093,"Công ty X chậm đóng bảo hiểm xã hội cho nhân viên, tiền bảo hiểm này có được coi là chiếm dụng ngân sách nhà nước không?"
lbhxhq000094,Thế nào là 'quỹ tài chính độc lập' trong định nghĩa về Quỹ bảo hiểm xã hội?
lbhxhq000095,Luật Bảo hiểm xã hội định nghĩa về nguồn hình thành Quỹ bảo hiểm xã hội như thế nào?
lbhxhq000096,"Nếu tôi từng đóng bảo hiểm xã hội 2 năm, sau đó nghỉ việc và 3 năm sau mới đi làm lại và đóng tiếp thì thời gian đóng bảo hiểm của tôi có bị tính lại từ đầu không?"
lbhxhq000097,Thời gian đóng bảo hiểm xã hội được dùng để làm gì?
lbhxhq000098,"Anh A có 10 năm đóng BHXH bắt buộc, sau đó nghỉ việc và chuyển sang làm tự do. 5 năm sau, anh A tham gia BHXH tự nguyện. Vậy, thời gian đóng BHXH của anh A được tính như thế nào khi xét hưởng chế độ hưu trí?"
lbhxhq000099,Thế nào là 'thời gian đóng bảo hiểm xã hội'?
lbhxhq000100,Điều luật nào trong Luật Bảo hiểm xã hội giải thích về thời gian đóng bảo hiểm xã hội?
lbhxhq000101,"Nếu tôi nhận nuôi một đứa trẻ không có giấy tờ hợp pháp, đứa trẻ đó có được coi là thân nhân của tôi theo luật bảo hiểm xã hội không?"
lbhxhq000102,Những ai được xem là thân nhân hợp pháp để hưởng các chế độ bảo hiểm xã hội liên quan đến thân nhân?
lbhxhq000103,"Anh A và chị B kết hôn. Sau đó, anh A tham gia bảo hiểm xã hội. Bố mẹ ruột của chị B có được coi là thân nhân của anh A để hưởng chế độ bảo hiểm xã hội không?"
lbhxhq000104,Thế nào là 'nghĩa vụ nuôi dưỡng' theo quy định của pháp luật về hôn nhân và gia đình trong ngữ cảnh xác định 'thân nhân' để hưởng bảo hiểm xã hội?
lbhxhq000105,Luật Bảo hiểm xã hội định nghĩa 'thân nhân' bao gồm những đối tượng nào?
lbhxhq000106,"Nếu tôi đã tham gia bảo hiểm xã hội bắt buộc, tôi có thể tham gia thêm bảo hiểm hưu trí bổ sung không?"
lbhxhq000107,Tôi muốn tham gia bảo hiểm hưu trí bổ sung thì cần tìm hiểu những thông tin gì?
lbhxhq000108,Anh A tham gia bảo hiểm hưu trí bổ sung và tự ý đầu tư số tiền trong tài khoản cá nhân của mình vào chứng khoán. Hành động này có đúng quy định không?
lbhxhq000109,Hiểu thế nào về 'tính chất tự nguyện' của bảo hiểm hưu trí bổ sung?
lbhxhq000110,Điều 3 Luật Bảo hiểm Xã hội nêu rõ mục tiêu của bảo hiểm hưu trí bổ sung là gì?
lbhxhq000111,"Nếu tôi bị ốm phải nằm viện, tôi có được hưởng chế độ bảo hiểm xã hội nào không?"
lbhxhq000112,Tôi cần làm gì để được hưởng chế độ ốm đau khi bị bệnh?
lbhxhq000113,"Anh A làm việc tại công ty X. Anh bị cảm cúm thông thường và tự mua thuốc uống, không đi khám bác sĩ. Vậy anh A có được hưởng chế độ ốm đau không?"
lbhxhq000114,Chế độ ốm đau trong bảo hiểm xã hội bắt buộc là gì?
lbhxhq000115,Điều luật nào khẳng định chế độ ốm đau là một phần của bảo hiểm xã hội bắt buộc?
lbhxhq000116,Nếu tôi chỉ đóng bảo hiểm xã hội tự nguyện thì có được hưởng chế độ thai sản không?
lbhxhq000117,Tôi muốn biết những quyền lợi cụ thể khi hưởng chế độ thai sản theo bảo hiểm xã hội bắt buộc?
lbhxhq000118,"Chị A làm việc tại công ty X, đóng bảo hiểm xã hội bắt buộc được 8 tháng thì sinh con. Công ty thông báo chị không đủ điều kiện hưởng chế độ thai sản. Điều này có đúng không?"
lbhxhq000119,Thế nào là 'bảo hiểm xã hội bắt buộc'?
lbhxhq000120,Luật Bảo hiểm xã hội quy định những chế độ nào thuộc bảo hiểm xã hội bắt buộc?
lbhxhq000121,Nếu tôi bị tai nạn trên đường đi làm về thì có được hưởng chế độ bảo hiểm tai nạn lao động không?
lbhxhq000122,Tôi cần làm gì để được hưởng chế độ bảo hiểm khi bị bệnh do công việc gây ra?
lbhxhq000123,"Anh A làm việc trong xưởng sản xuất gỗ, không được trang bị đầy đủ bảo hộ lao động, dẫn đến bị bụi gỗ bắn vào mắt và suy giảm thị lực. Anh A có được hưởng chế độ bảo hiểm không?"
lbhxhq000124,Thế nào là 'bệnh nghề nghiệp' trong bảo hiểm xã hội?
lbhxhq000125,Điều luật nào quy định về chế độ bảo hiểm cho tai nạn lao động và bệnh nghề nghiệp?
lbhxhq000126,Tôi đóng bảo hiểm xã hội bắt buộc thì chắc chắn sẽ được hưởng lương hưu đúng không?
lbhxhq000127,"Tôi muốn biết quyền lợi cụ thể của chế độ hưu trí trong bảo hiểm xã hội bắt buộc, tôi cần tìm hiểu những thông tin gì?"
lbhxhq000128,"Ông A, 60 tuổi, tham gia bảo hiểm xã hội bắt buộc được 15 năm thì bị mất việc. Ông có được hưởng lương hưu ngay không?"
lbhxhq000129,Chế độ hưu trí trong bảo hiểm xã hội bắt buộc có ý nghĩa gì?
lbhxhq000130,Điều luật nào khẳng định chế độ hưu trí là một trong các chế độ của bảo hiểm xã hội bắt buộc?
lbhxhq000131,Nếu người tham gia bảo hiểm xã hội qua đời thì người thân của họ có được hưởng trợ cấp gì không?
lbhxhq000132,Để được hưởng chế độ tử tuất thì cần đáp ứng những điều kiện gì?
lbhxhq000133,"Ông A là lao động tự do, không tham gia bảo hiểm xã hội bắt buộc, không may ông qua đời vì tai nạn giao thông. Vợ ông A có được hưởng chế độ tử tuất không?"
lbhxhq000134,Chế độ tử tuất trong bảo hiểm xã hội bao gồm những quyền lợi gì cho người tham gia và người thân?
lbhxhq000135,Điều luật nào quy định chế độ tử tuất là một chế độ của bảo hiểm xã hội bắt buộc?
lbhxhq000136,Nếu tôi chỉ tham gia bảo hiểm xã hội tự nguyện thì khi về già tôi có được hưởng lương hưu không?
lbhxhq000137,Tôi muốn tham gia bảo hiểm xã hội tự nguyện để sau này có lương hưu thì cần làm những gì?
lbhxhq000138,"Ông A làm nghề tự do, năm nay 50 tuổi. Ông muốn tham gia BHXH để khi về già có lương hưu. Tuy nhiên, ông nghe nói chỉ có BHXH bắt buộc mới có chế độ hưu trí. Điều này có đúng không?"
lbhxhq000139,Vậy chế độ hưu trí trong bảo hiểm xã hội tự nguyện khác gì so với chế độ hưu trí trong bảo hiểm xã hội bắt buộc?
lbhxhq000140,Điều luật nào khẳng định rõ ràng về việc bảo hiểm xã hội tự nguyện có chế độ hưu trí?
lbhxhq000141,Nếu tôi chỉ tham gia bảo hiểm xã hội tự nguyện thì người thân của tôi có được hưởng trợ cấp mai táng khi tôi qua đời không?
lbhxhq000142,Tôi muốn biết rõ hơn về các quyền lợi mà người thân của tôi sẽ được hưởng khi tôi tham gia bảo hiểm xã hội tự nguyện và qua đời?
lbhxhq000143,Ông A tham gia bảo hiểm xã hội tự nguyện được 3 năm thì qua đời. Vợ ông A đến cơ quan bảo hiểm xã hội để làm thủ tục nhận trợ cấp tử tuất nhưng bị từ chối vì cho rằng ông A đóng bảo hiểm chưa đủ lâu. Việc từ chối này có đúng không?
lbhxhq000144,Chế độ 'tử tuất' trong bảo hiểm xã hội tự nguyện có nghĩa là gì?
lbhxhq000145,Luật Bảo hiểm xã hội quy định những chế độ nào đối với bảo hiểm xã hội tự nguyện?
lbhxhq000146,"Ngoài bảo hiểm xã hội bắt buộc, người lao động có thể tham gia thêm một loại hình bảo hiểm hưu trí nào khác không?"
lbhxhq000147,Tôi muốn tìm hiểu về bảo hiểm hưu trí bổ sung thì nên tham khảo văn bản nào?
lbhxhq000148,Ông A muốn đóng thêm bảo hiểm hưu trí để khi về già có thêm khoản thu nhập. Vậy ông A có thể tham gia bảo hiểm hưu trí bổ sung được không?
lbhxhq000149,Vậy 'bảo hiểm hưu trí bổ sung' khác gì so với bảo hiểm xã hội bắt buộc?
lbhxhq000150,Luật Bảo hiểm xã hội có đề cập đến cơ quan nào chịu trách nhiệm quy định chi tiết về bảo hiểm hưu trí bổ sung không?
lbhxhq000151,Người đóng bảo hiểm xã hội ít hơn có nhận được mức hưởng thấp hơn không?
lbhxhq000152,Làm thế nào để biết mức đóng bảo hiểm xã hội ảnh hưởng thế nào đến các khoản trợ cấp của tôi?
lbhxhq000153,"Anh A đóng BHXH 20 năm với mức lương thấp, còn anh B đóng 10 năm với mức lương cao. Khi nghỉ hưu, ai có lương hưu cao hơn?"
lbhxhq000154,Vậy 'chia sẻ giữa những người tham gia' bảo hiểm xã hội nghĩa là gì?
lbhxhq000155,Đoạn nào trong Luật Bảo hiểm xã hội nói về việc mức hưởng phụ thuộc vào thời gian đóng?
lbhxhq000156,"Tôi là lao động tự do, thu nhập không ổn định, vậy mức đóng bảo hiểm xã hội của tôi có thể thay đổi theo từng tháng không?"
lbhxhq000157,Nếu tôi muốn tham gia bảo hiểm xã hội tự nguyện thì tôi cần phải xác định mức thu nhập tháng của mình như thế nào để đóng bảo hiểm?
lbhxhq000158,Anh A là nhân viên văn phòng. Công ty tính mức đóng BHXH của anh dựa trên mức lương cơ bản ghi trong hợp đồng (thấp hơn nhiều so với tổng thu nhập thực tế mỗi tháng của anh). Việc này có đúng luật không?
lbhxhq000159,Vậy 'tiền lương tháng' để tính mức đóng bảo hiểm xã hội bắt buộc được hiểu như thế nào?
lbhxhq000160,Luật quy định về căn cứ để tính mức đóng bảo hiểm xã hội tự nguyện như thế nào?
lbhxhq000161,"Nếu tôi vừa đóng BHXH ở công ty, vừa tự đóng thêm BHXH tự nguyện thì khi về hưu, thời gian đóng BHXH của cả hai hình thức có được cộng lại để tính hưởng chế độ không?"
