corpus_id,content
lhnvgdc000001,"Điều 1 Phạm vi điều chỉnh
Luật này quy định chế độ hôn nhân và gia đình; chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình; trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình."
lhnvgdc000002,"Luật Hôn nhân và Gia đình quy định về chế độ hôn nhân, ứng xử gia đình và trách nhiệm liên quan."
lhnvgdc000003,"Điều 2 Những nguyên tắc cơ bản của chế độ hôn nhân và gia đình
Hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng."
lhnvgdc000004,Luật Hôn nhân và Gia đình quy định các nguyên tắc cơ bản của chế độ hôn nhân.
lhnvgdc000005,"Điều 2 Những nguyên tắc cơ bản của chế độ hôn nhân và gia đình
Hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng.
Hôn nhân giữa công dân Việt Nam thuộc các dân tộc, tôn giáo, giữa người theo tôn giáo với người không theo tôn giáo, giữa người có tín ngưỡng với người không có tín ngưỡng, giữa công dân Việt Nam với người nước ngoài được tôn trọng và được pháp luật bảo vệ.
Xây dựng gia đình ấm no, tiến bộ, hạnh phúc; các thành viên gia đình có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; không phân biệt đối xử giữa các con.
Nhà nước, xã hội và gia đình có trách nhiệm bảo vệ, hỗ trợ trẻ em, người cao tuổi, người khuyết tật thực hiện các quyền về hôn nhân và gia đình; giúp đỡ các bà mẹ thực hiện tốt chức năng cao quý của người mẹ; thực hiện kế hoạch hóa gia đình.
Kế thừa, phát huy truyền thống văn hóa, đạo đức tốt đẹp của dân tộc Việt Nam về hôn nhân và gia đình."
lhnvgdc000006,"Điều 2 Những nguyên tắc cơ bản của chế độ hôn nhân và gia đình
Hôn nhân giữa công dân Việt Nam thuộc các dân tộc, tôn giáo, giữa người theo tôn giáo với người không theo tôn giáo, giữa người có tín ngưỡng với người không có tín ngưỡng, giữa công dân Việt Nam với người nước ngoài được tôn trọng và được pháp luật bảo vệ."
lhnvgdc000007,"Luật Hôn nhân và Gia đình bảo vệ hôn nhân đa dạng về dân tộc, tôn giáo, tín ngưỡng và quốc tịch."
lhnvgdc000008,"Điều 2 Những nguyên tắc cơ bản của chế độ hôn nhân và gia đình
Xây dựng gia đình ấm no, tiến bộ, hạnh phúc; các thành viên gia đình có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; không phân biệt đối xử giữa các con."
lhnvgdc000009,"Quy định về nguyên tắc xây dựng gia đình hạnh phúc, bình đẳng và nghĩa vụ của các thành viên."
lhnvgdc000010,"Điều 2 Những nguyên tắc cơ bản của chế độ hôn nhân và gia đình
Nhà nước, xã hội và gia đình có trách nhiệm bảo vệ, hỗ trợ trẻ em, người cao tuổi, người khuyết tật thực hiện các quyền về hôn nhân và gia đình; giúp đỡ các bà mẹ thực hiện tốt chức năng cao quý của người mẹ; thực hiện kế hoạch hóa gia đình."
lhnvgdc000011,"Luật quy định trách nhiệm của Nhà nước, xã hội và gia đình trong việc bảo vệ các đối tượng yếu thế và thực hiện kế hoạch hóa gia đình."
lhnvgdc000012,"Điều 2 Những nguyên tắc cơ bản của chế độ hôn nhân và gia đình
Kế thừa, phát huy truyền thống văn hóa, đạo đức tốt đẹp của dân tộc Việt Nam về hôn nhân và gia đình."
lhnvgdc000013,"Luật Hôn nhân và Gia đình nhấn mạnh việc kế thừa và phát huy các giá trị văn hóa, đạo đức tốt đẹp của dân tộc."
lhnvgdc000014,"Điều 3 Giải thích từ ngữ
Trong Luật này, các từ ngữ dưới đây được hiểu như sau:"
lhnvgdc000015,Giải thích các thuật ngữ pháp lý được sử dụng trong Luật Hôn nhân và Gia đình.
