question_id,question
lcdq000001,Một nhóm người lao động tự thành lập hiệp hội để bảo vệ quyền lợi của mình có được coi là công đoàn không?
lcdq000002,Công đoàn có những vai trò cụ thể nào trong việc bảo vệ quyền lợi của người lao động?
lcdq000003,Một công ty không cho phép công đoàn tham gia vào quá trình xây dựng nội quy lao động. Hành vi này có vi phạm pháp luật không?
lcdq000004,Thế nào là 'tổ chức chính trị - xã hội' trong định nghĩa về công đoàn?
lcdq000005,Luật Công đoàn quy định công đoàn có những trách nhiệm gì đối với người lao động?
lcdq000006,"Luật này có áp dụng cho tất cả các loại hình doanh nghiệp, kể cả doanh nghiệp có vốn đầu tư nước ngoài không?"
lcdq000007,Luật này sẽ giúp gì cho người lao động trong việc bảo vệ quyền lợi của mình?
lcdq000008,"Ông A, giám đốc một công ty, cản trở việc thành lập công đoàn cơ sở trong công ty mình. Ông A có vi phạm pháp luật không?"
lcdq000009,Hiểu như thế nào về cụm từ 'hoạt động công đoàn'?
lcdq000010,Luật này quy định về những nội dung chính nào liên quan đến hoạt động công đoàn?
lcdq000011,Một công ty 100% vốn nước ngoài có trụ sở tại Việt Nam có phải tuân thủ Luật Công đoàn không?
lcdq000012,Những ai được coi là đối tượng chịu sự tác động của Luật Công đoàn?
lcdq000013,"Một tổ chức phi chính phủ của nước ngoài hoạt động tại Việt Nam, có thuê lao động Việt Nam, nhưng không muốn cho thành lập công đoàn. Điều này có vi phạm pháp luật không?"
lcdq000014,"Thế nào là 'cơ quan, tổ chức, doanh nghiệp' được nhắc đến trong Luật Công đoàn?"
lcdq000015,Luật Công đoàn quy định những ai là đối tượng áp dụng của luật này?
lcdq000016,Một nhóm người lao động tự thành lập 'Hội bảo vệ quyền lợi' có được coi là công đoàn không?
lcdq000017,Làm sao để biết một tổ chức có phải là công đoàn hợp pháp hay không?
lcdq000018,Công ty X có một nhóm công nhân tự đứng ra thành lập 'Công đoàn độc lập' mà không thông qua Tổng Liên đoàn Lao động Việt Nam. Hành động này có đúng luật không?
lcdq000019,Thế nào là 'đoàn viên công đoàn'?
lcdq000020,Luật Công đoàn định nghĩa về 'Tổ chức công đoàn' như thế nào?
lcdq000021,Một người lao động chưa phải là đoàn viên công đoàn có quyền tham gia các hoạt động do công đoàn tổ chức không?
lcdq000022,Những quyền lợi cụ thể nào mà người lao động có thể thực hiện thông qua 'quyền công đoàn'?
lcdq000023,"Ông A, một công nhân, bị công ty cấm tham gia một cuộc đình công hợp pháp do công đoàn tổ chức. Công ty có vi phạm quyền công đoàn của ông A không?"
lcdq000024,Thế nào là 'quyền công đoàn' theo luật định?
lcdq000025,Luật Công đoàn định nghĩa 'quyền công đoàn' như thế nào?
lcdq000026,"Một nhóm người lao động tự thành lập 'Hội đồng người lao động' trong công ty, như vậy có được coi là công đoàn cơ sở không?"
lcdq000027,Làm thế nào để thành lập một công đoàn cơ sở hợp pháp trong doanh nghiệp?
lcdq000028,Công ty X có nhiều chi nhánh. Mỗi chi nhánh có một 'ban đại diện người lao động'. Vậy mỗi ban này có được xem là một công đoàn cơ sở không?
lcdq000029,Thế nào là 'công đoàn cấp trên trực tiếp cơ sở'?
lcdq000030,Nêu định nghĩa chính xác về công đoàn cơ sở theo Luật Công đoàn?
lcdq000031,Một liên đoàn lao động tỉnh có phải là công đoàn cấp trên trực tiếp cơ sở của tất cả công đoàn cơ sở trong tỉnh đó không?
lcdq000032,Công đoàn cấp trên trực tiếp cơ sở có những vai trò cụ thể nào đối với công đoàn cơ sở?
lcdq000033,Công đoàn cơ sở A muốn tổ chức một cuộc đình công để phản đối chính sách của công ty. Công đoàn cấp trên trực tiếp cơ sở có quyền can thiệp vào quyết định này không?
lcdq000034,Thế nào là 'liên kết công đoàn cơ sở' theo định nghĩa về công đoàn cấp trên trực tiếp cơ sở?
lcdq000035,Đâu là nội dung cốt lõi định nghĩa về công đoàn cấp trên trực tiếp cơ sở?
lcdq000036,"Một người làm công việc công đoàn bán thời gian, ngoài giờ làm việc chính thì có được coi là cán bộ công đoàn chuyên trách không?"
lcdq000037,Để trở thành cán bộ công đoàn chuyên trách thì cần đáp ứng những điều kiện gì?
lcdq000038,"Anh A là nhân viên hành chính của một công ty, đồng thời là chủ tịch công đoàn cơ sở. Anh A có phải là cán bộ công đoàn chuyên trách không?"
lcdq000039,Thế nào là 'công việc thường xuyên' của tổ chức công đoàn mà cán bộ công đoàn chuyên trách đảm nhiệm?
lcdq000040,Luật Công đoàn định nghĩa cán bộ công đoàn chuyên trách như thế nào?
lcdq000041,Một người lao động bình thường có thể trở thành cán bộ công đoàn không chuyên trách không?
lcdq000042,Làm thế nào để một người lao động trở thành cán bộ công đoàn không chuyên trách?
lcdq000043,"Anh A là nhân viên văn phòng, được bầu làm Thủ quỹ công đoàn. Vậy anh A có phải là cán bộ công đoàn không chuyên trách không?"
lcdq000044,Thế nào là 'cán bộ công đoàn không chuyên trách'?
lcdq000045,Điều kiện để một người được coi là cán bộ công đoàn không chuyên trách là gì?
lcdq000046,Một văn phòng đại diện của công ty nước ngoài có được coi là đơn vị sử dụng lao động không?
lcdq000047,Những yếu tố nào xác định một tổ chức là 'đơn vị sử dụng lao động' theo Luật Công đoàn?
lcdq000048,Ông A thuê 3 người làm việc thời vụ tại nhà và trả tiền công theo ngày. Ông A có được xem là đơn vị sử dụng lao động không?
lcdq000049,Thế nào là 'sử dụng lao động' trong định nghĩa về đơn vị sử dụng lao động?
lcdq000050,Luật Công đoàn định nghĩa 'Đơn vị sử dụng lao động' như thế nào?
lcdq000051,"Nếu công ty không cho phép thành lập công đoàn, người lao động có thể coi đây là một dạng tranh chấp về quyền công đoàn không?"
lcdq000052,"Khi phát sinh tranh chấp về quyền công đoàn, người lao động hoặc tổ chức công đoàn cần làm gì để giải quyết?"
lcdq000053,"Anh A, là chủ tịch công đoàn cơ sở, bị công ty kỷ luật vì tổ chức đình công không đúng quy trình. Anh A cho rằng đây là tranh chấp về quyền công đoàn và không chấp nhận quyết định kỷ luật. Điều này có đúng không?"
lcdq000054,Thế nào là 'quyền công đoàn' trong bối cảnh tranh chấp?
lcdq000055,Luật quy định những ai có thể là một bên trong tranh chấp về quyền công đoàn?
lcdq000056,Điều lệ Công đoàn có phải do Tổng Liên đoàn Lao động Việt Nam ban hành không?
lcdq000057,Điều lệ Công đoàn Việt Nam thường đề cập đến những vấn đề gì?
lcdq000058,"Một công nhân muốn biết quyền lợi và nghĩa vụ của mình khi tham gia công đoàn, thì có thể tìm thấy thông tin này ở đâu?"
lcdq000059,"Vậy, 'Điều lệ Công đoàn Việt Nam' có vai trò gì trong hệ thống pháp luật?"
lcdq000060,Điều lệ Công đoàn Việt Nam quy định những gì về 'cơ cấu tổ chức bộ máy của Công đoàn'?
lcdq000061,Người nước ngoài làm việc tại Việt Nam có được tham gia công đoàn Việt Nam không?
lcdq000062,"Tôi muốn thành lập công đoàn tại công ty, tôi cần làm những gì?"
lcdq000063,"Anh A bị công ty ép không được tham gia công đoàn, nếu không sẽ bị cắt thưởng. Hành động này có đúng luật không?"
lcdq000064,Hoạt động công đoàn được hiểu như thế nào?
lcdq000065,Điều luật nào khẳng định quyền thành lập công đoàn của người lao động?
lcdq000066,Người lao động có được tự thành lập công đoàn ở công ty không?
lcdq000067,"Tôi muốn thành lập công đoàn cơ sở tại công ty, tôi cần bắt đầu từ đâu?"
lcdq000068,Anh A bị công ty gây khó dễ khi tham gia công đoàn. Công ty nói rằng việc tham gia công đoàn làm ảnh hưởng đến năng suất làm việc. Công ty có quyền đó không?
lcdq000069,Điều lệ Công đoàn Việt Nam là gì?
lcdq000070,Điều luật nào quy định về trình tự thành lập công đoàn?
lcdq000071,Nếu tôi không muốn tham gia công đoàn thì có bị ép buộc không?
lcdq000072,Nguyên tắc 'tập trung dân chủ' trong hoạt động công đoàn được hiểu như thế nào?
lcdq000073,Một số thành viên công đoàn phản đối quyết định của ban chấp hành về việc sử dụng quỹ công đoàn. Ban chấp hành có quyền bác bỏ ý kiến của họ không?
lcdq000074,Thế nào là 'cơ sở tự nguyện' trong việc thành lập công đoàn?
lcdq000075,Điều luật nào quy định về nguyên tắc tổ chức và hoạt động của công đoàn?
lcdq000076,Công đoàn có thể tự đặt ra quy định trái với luật lao động không?
lcdq000077,Làm thế nào để biết công đoàn hoạt động có đúng quy định không?
lcdq000078,Công đoàn cơ sở tại công ty X tổ chức đình công mà không thông báo trước cho ban giám đốc. Việc này có đúng luật không?
lcdq000079,Vậy 'Điều lệ Công đoàn Việt Nam' là gì?
lcdq000080,Luật quy định như thế nào về mối liên hệ giữa Điều lệ Công đoàn và pháp luật nhà nước?
lcdq000081,"Ngoài Tổng Liên đoàn Lao động Việt Nam, công đoàn cấp tỉnh có phải là một bộ phận của hệ thống tổ chức công đoàn không?"
lcdq000082,Làm thế nào để biết các cấp công đoàn được tổ chức và hoạt động cụ thể như thế nào?
lcdq000083,Một nhóm công nhân muốn thành lập một tổ chức đại diện cho quyền lợi của mình nhưng không muốn gia nhập hệ thống công đoàn hiện tại. Điều này có hợp pháp không?
lcdq000084,Thế nào là 'công đoàn các cấp' trong hệ thống tổ chức công đoàn?
lcdq000085,Luật Công đoàn quy định những cấp công đoàn nào?
lcdq000086,Một văn phòng đại diện của công ty nước ngoài tại Việt Nam có được thành lập công đoàn cơ sở không?
lcdq000087,Những loại hình đơn vị nào có thể thành lập công đoàn cơ sở?
