question_id,question
lbvqlntdq000001,Luật này có áp dụng cho tất cả các giao dịch mua bán hàng hóa và dịch vụ không?
lbvqlntdq000002,Luật này quy định trách nhiệm của người bán hàng đối với người tiêu dùng như thế nào?
lbvqlntdq000003,"Một công ty quảng cáo sai sự thật về tính năng của sản phẩm, gây nhầm lẫn cho người mua. Hành vi này có vi phạm luật không?"
lbvqlntdq000004,Vậy 'người tiêu dùng' được định nghĩa như thế nào trong luật này?
lbvqlntdq000005,Luật này quy định về những nội dung chính nào?
lbvqlntdq000006,"Luật này có bảo vệ quyền lợi của doanh nghiệp khi họ mua hàng hóa, dịch vụ để phục vụ sản xuất không?"
lbvqlntdq000007,Làm thế nào để biết một người có được coi là người tiêu dùng theo luật này không?
lbvqlntdq000008,"Một người mua một chiếc xe máy để chạy xe ôm công nghệ. Sau đó, xe bị lỗi kỹ thuật nghiêm trọng. Người này có được bảo vệ theo Luật Bảo vệ quyền lợi người tiêu dùng không?"
lbvqlntdq000009,"Theo luật này, 'người tiêu dùng' được hiểu như thế nào?"
lbvqlntdq000010,Điều luật nào quy định về đối tượng được bảo vệ bởi Luật Bảo vệ quyền lợi người tiêu dùng?
lbvqlntdq000011,"Luật này có áp dụng cho tất cả các doanh nghiệp, không phân biệt lớn nhỏ hay loại hình kinh doanh không?"
lbvqlntdq000012,"Vậy, khi nào một người bán hàng online trên mạng xã hội được xem là 'cá nhân kinh doanh' theo luật này?"
lbvqlntdq000013,"Một công ty sản xuất đồ chơi trẻ em, dù đã kiểm định chất lượng, nhưng vẫn gây ra tai nạn cho trẻ. Hỏi công ty này có chịu trách nhiệm theo Luật Bảo vệ quyền lợi người tiêu dùng không?"
lbvqlntdq000014,Thế nào là 'tổ chức kinh doanh' theo Luật Bảo vệ quyền lợi người tiêu dùng?
lbvqlntdq000015,Điều nào trong Luật Bảo vệ quyền lợi người tiêu dùng quy định về đối tượng áp dụng?
lbvqlntdq000016,Luật bảo vệ quyền lợi người tiêu dùng có ảnh hưởng đến hoạt động của Mặt trận Tổ quốc Việt Nam không?
lbvqlntdq000017,Các tổ chức chính trị - xã hội cần làm gì để thực hiện Luật Bảo vệ quyền lợi người tiêu dùng?
lbvqlntdq000018,Một tổ chức Đoàn Thanh niên Cộng sản Hồ Chí Minh phát hiện một công ty bán hàng kém chất lượng cho sinh viên. Đoàn có thể làm gì theo Luật Bảo vệ quyền lợi người tiêu dùng?
lbvqlntdq000019,"Theo luật này, 'tổ chức chính trị - xã hội' được hiểu là những tổ chức nào?"
lbvqlntdq000020,Điều nào trong Luật Bảo vệ quyền lợi người tiêu dùng quy định về đối tượng áp dụng là Mặt trận Tổ quốc Việt Nam?
lbvqlntdq000021,Một hội bảo vệ quyền lợi người tiêu dùng cấp tỉnh có được coi là đối tượng áp dụng của luật này không?
lbvqlntdq000022,Những loại hình tổ chức xã hội nào được phép tham gia bảo vệ quyền lợi người tiêu dùng?
lbvqlntdq000023,Một công ty tư vấn luật thành lập một 'Câu lạc bộ người tiêu dùng' để thu phí hội viên và tư vấn pháp luật. Câu lạc bộ này có được xem là đối tượng điều chỉnh của Luật Bảo vệ quyền lợi người tiêu dùng không?
lbvqlntdq000024,Thế nào là một 'tổ chức xã hội' được đề cập trong luật này?
lbvqlntdq000025,Điều luật nào quy định về các tổ chức xã hội tham gia bảo vệ quyền lợi người tiêu dùng là đối tượng áp dụng của Luật Bảo vệ quyền lợi người tiêu dùng?
lbvqlntdq000026,Một công ty nước ngoài bán hàng tại Việt Nam có phải tuân thủ Luật Bảo vệ quyền lợi người tiêu dùng không?
lbvqlntdq000027,Những ai được coi là đối tượng được bảo vệ theo luật này?
lbvqlntdq000028,"Một người Việt Nam mua hàng online từ một trang web bán hàng có trụ sở ở nước ngoài, nếu hàng bị lỗi thì luật bảo vệ người tiêu dùng Việt Nam có áp dụng không?"
